rank,domain,country,description,logo
14,vk.com,Russia,social networking site,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/VK.com-logo.svg/1024px-VK.com-logo.svg.png
23,yandex.ru,Russia,search engine,https://seeklogo.com/images/Y/yandex-logo-455789E4CF-seeklogo.com.gif
44,Mail.ru,Russia,internet portal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Mail.Ru_logo.svg/800px-Mail.Ru_logo.svg.png
51,ok.ru,Russia,social networking,https://upload.wikimedia.org/wikipedia/commons/0/09/Ok_new_logo.png
56,imdb.com,UK|USA,movie database,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/IMDB_Logo_2016.svg/1000px-IMDB_Logo_2016.svg.png
63,pornhub.com,Canada|Germany,porn site,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Pornhub-logo.svg/2000px-Pornhub-logo.svg.png
77,xvideos.com,France,porn site,https://beheader69.files.wordpress.com/2009/09/xvideos_xvideos-com_482fa5488d83e.gif
79,bongacams.com,Russia,porn site,https://upload.wikimedia.org/wikipedia/en/5/54/BongaCams_logo.png
108/115,bbc.com/co.uk,UK,public service broadcaster,http://kandl-genres.files.bbci.co.uk/kandl-genres/1219-1/images/meta-images/bbc_blocks.png
112,Dailymotion.com,France,video sharing site,https://www.underconsideration.com/brandnew/archives/dailymotion_logo_detail.png
119,booking.com,Netherlands|USA,fare aggregator,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Booking.com_logo.svg/1024px-Booking.com_logo.svg.png
120,soundcloud.com,Sweden|Germany,audio distribution platform,https://media.sandiegoreader.com/img/photos/2016/08/29/SoundCloud-Logo.jpg
135,Dailymail.co.uk,UK,tabloid,http://i.dailymail.co.uk/i/sitelogos/logo_mol.gif
138,w3schools.com,Norway,web development portal,https://upload.wikimedia.org/wikipedia/commons/3/3e/W3Schools_logo.png
139,thepiratebay.org,Sweden,torrent index,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/The_Pirate_Bay_logo.svg/904px-The_Pirate_Bay_logo.svg.png
140,bet365.com,UK,gambling site,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Bet365_Logo.svg/1024px-Bet365_Logo.svg.png
