rank,domain,country,description,logo
26,vk.com*,Russia,social networking site,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/VK.com-logo.svg/1024px-VK.com-logo.svg.png
29,w3.org,EU|USA,web standards organization,http://www.paymentscardsandmobile.com/wp-content/uploads/2015/01/W3C.jpg
32,europa.eu,EU,European Union web portal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/1024px-Flag_of_Europe.svg.png
34,statcounter.com,Ireland,web traffic analysis tool,https://pbs.twimg.com/profile_images/918457632716984320/fgVEAVi1_400x400.jpg
35,gov.uk,UK,public sector information,https://assets.publishing.service.gov.uk/static/opengraph-image-a1f7d89ffd0782738b1aeb0da37842d8bd0addbd724b8e58c3edbc7287cc11de.png
36,bbc.co.uk*,UK,public service broadcaster,http://kandl-genres.files.bbci.co.uk/kandl-genres/1219-1/images/meta-images/bbc_blocks.png
39,yandex.ru,Russia,search engine,https://seeklogo.com/images/Y/yandex-logo-455789E4CF-seeklogo.com.gif
42,soundcloud.com,Germany,audio distribution platform,https://media.sandiegoreader.com/img/photos/2016/08/29/SoundCloud-Logo.jpg
43,123-reg.co.uk,UK,domain registrar & web hosting,http://microbizmattersday.rocks/wp-content/uploads/2015/10/NEW-123-reg-logo-blue-reg-sq.png
47,jimdo.com,Germany,web hosting,https://www.i-press.jp/cms/wp-content/uploads/Jimdo_Logo-1-300x88.jpg
48,theguardian.com*,UK,newspaper,http://fontslogo.com/wp-content/uploads/2013/03/The-Guardian-Logo-Font.jpg
62,issuu.com,Denmark,electronic publishing,http://botw-pd.s3.amazonaws.com/styles/logo-thumbnail/s3/072015/issuu-logo-stacked-colour_0.png
64,imdb.com,UK|USA,movie database,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/IMDB_Logo_2016.svg/1000px-IMDB_Logo_2016.svg.png
65,ascii.co.uk,UK,ASCII art host,https://i.pinimg.com/236x/f5/2a/6e/f52a6e63012adadee246cb5cda27d23b--ascii-staircases.jpg
68,Parallels.com,Russia|US,virtualisation software,http://mms.businesswire.com/media/20160818005248/en/263926/5/1_parallels_logo_RGB.jpg
78,E-recht24.de,Germany,internet law portal,https://forum.e-recht24.de/images/metro/red/misc/vbulletin4_logo.png
90,Free.fr,France,telecom company,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Free_logo.svg/1024px-Free_logo.svg.png
91,Telegraph.co.uk,UK,newspaper,https://bathknight.files.wordpress.com/2011/07/telegraph-logo.jpg
96,Livejournal.com,US|Russia,social networking site,http://www.monitis.com/blog/wp-content/uploads/uploads/2012/05/livejournal.jpg
97,Mail.ru,Russia,internet portal,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Mail.Ru_logo.svg/800px-Mail.Ru_logo.svg.png
99,Reuters.com,UK,news agency,https://pbs.twimg.com/profile_images/877554927932891136/ZBEs235N.jpg
