country,date,description,image,alt_flag
UK,1840,Queen Victoria,https://upload.wikimedia.org/wikipedia/commons/3/36/Penny_black.jpg
France,1849,Ceres,https://upload.wikimedia.org/wikipedia/commons/9/91/003-ceres-40c.jpg
Belgium,1849,King Leopold I,https://upload.wikimedia.org/wikipedia/commons/9/9d/Epaulette_10c.jpg
Spain,1850,Queen Isabella II,https://swmedia-4cd6.kxcdn.com/media/catalogue/Spain/Postage-stamps/A-s.jpg
Switzerland*,1850,post horn,https://swmedia-4cd6.kxcdn.com/media/catalogue/Switzerland/Postage-stamps/A-s.jpg
Austria,1850,coat of arms,https://i.colnect.net/f/2996/865/Coat-of-arms.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Habsburg_Monarchy.svg/640px-Flag_of_the_Habsburg_Monarchy.svg.png
Denmark,1851,royal emblem,http://tinyimg.io/i/Z4GcVxx.jpg
Vatican City,1852,coat of arms,https://www.stamp-collecting-world.com/images/Roman_Sc_0011_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Papal_States_%281825-1870%29.svg/1024px-Flag_of_the_Papal_States_%281825-1870%29.svg.png
Netherlands,1852,King William III,https://swmedia-4cd6.kxcdn.com/media/catalogue/Netherlands/Postage-stamps/A-s.jpg
Luxembourg,1852,Grand Duke William III,https://swmedia-4cd6.kxcdn.com/media/catalogue/Luxembourg/Postage-stamps/A-s.jpg
Portugal,1853,Queen Maria II,http://tinyimg.io/i/R3fbS9B.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Portugal_%281830%29.svg/640px-Flag_of_Portugal_%281830%29.svg.png
Sweden,1855,coat of arms,https://jf-stamps.dk/image/550/base250X250/sweden-1855-skilling-banco-sex-6-skill-bco-grey-reprint-october-1868-only-issued.jpg
Norway,1855,coat of arms,https://swmedia-4cd6.kxcdn.com/media/catalogue/Norway/Postage-stamps/A-s.jpg
Russia,1857,coat of arms,https://swmedia-4cd6.kxcdn.com/media/catalogue/Russia/Postage-stamps/A-s.jpg
Malta,1860,Queen Victoria,https://www.linns.com/images/default-source/news/wwc-mb-malta.jpg?sfvrsn=c229ec0f_0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/19th_Century_Flag_of_Malta.svg/800px-19th_Century_Flag_of_Malta.svg.png
Poland,1860,Russian arms,https://i.pinimg.com/236x/29/13/21/2913217f8ca2ce1e4a3c3e2f043bd961--polish-stamps.jpg?nii=t,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg/640px-Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg.png
Finland,1860,national arms,http://tinyimg.io/i/a6cG5MQ.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Russian_Empire_%28black-yellow-white%29.svg/640px-Flag_of_the_Russian_Empire_%28black-yellow-white%29.svg.png
Greece*,1861,Hermes,http://www.cherrystoneauctions.com/auctionscans201112/461.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Greece_%281822-1978%29.svg/640px-Flag_of_Greece_%281822-1978%29.svg.png
Italy*,1861,King Victor Emmanuel II,https://upload.wikimedia.org/wikipedia/commons/f/fb/StampNaples%28Italy%291861.jpg
Turkey,1863,tughra,http://2.bp.blogspot.com/-sIah9FTvbsI/UmhntJvtMzI/AAAAAAAAPhg/jLad7n0TBYk/s1600/stamp1863.jpg
Romania,1865,Prince Cuza,https://assets.catawiki.nl/assets/2018/6/2/8/9/3/89366e1e-f9c1-4937-98e0-8a6bfdd70865.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_the_United_Principalities_of_Romania_%281862_-_1866%29.svg/640px-Flag_of_the_United_Principalities_of_Romania_%281862_-_1866%29.svg.png
Serbia,1866,Prince Michael III,https://i.pinimg.com/originals/23/0f/d6/230fd64f5ea8542434819bfa813230de.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Flag_of_Serbia_%281835-1882%29.svg/640px-Flag_of_Serbia_%281835-1882%29.svg.png
Hungary,1871,King Franz Joseph,http://tinyimg.io/i/1MiK2b5.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Austria-Hungary_%281869-1918%29.svg/800px-Flag_of_Austria-Hungary_%281869-1918%29.svg.png
