country,name,date,description,image,alt_flag
Albania,Skanderbeg,1913,national hero,https://i.colnect.net/b/2313/827/%E2%80%ADSkanderbeg-George-Castriota.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Flag_of_Albanian_Provisional_Government_%281912-1914%29.svg/1024px-Flag_of_Albanian_Provisional_Government_%281912-1914%29.svg.png
Andorra,Charlemagne,1963,emperor,https://i.colnect.net/b/141/814/Charlemagne-crossed-Andorra-with-his-army.jpg
Armenia,Ervand Otian,1994,satirist,https://i.ebayimg.com/images/g/Ja0AAOSwjW5bX3nu/s-l400.jpg
Austria,Maria Theresa,1908,empress,https://i.colnect.net/f/135/409/Empress-Maria-Theresia-1740-80-by-Martin-von-Meytens.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Habsburg_Monarchy.svg/640px-Flag_of_the_Habsburg_Monarchy.svg.png
Azerbaijan,Fuzûlî,1994,poet,https://upload.wikimedia.org/wikipedia/commons/b/be/Stamps_of_Azerbaijan%2C_1994-209.jpg
Belarus,Grigory Romanovich Shirma,1992,composer,https://i.colnect.net/b/3090/583/Birth-Centenary-of-composer-GRShirma.jpg
Belgium,Peter Paul Rubens,1930,painter,https://i.colnect.net/f/183/314/Peter-Paul-Rubens.jpg
Bosnia (bosn'),Husein Gradascevic,1995,military commander,https://i.colnect.net/f/559/265/Husein-Gradascevic.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Bosnia_and_Herzegovina_%281992%E2%80%931998%29.svg/1024px-Flag_of_Bosnia_and_Herzegovina_%281992%E2%80%931998%29.svg.png
Bosnia (croat),Silvije Kranjcevic,1993,poet,https://i.colnect.net/b/6450/121/Silvije-Strahimir-Kranjcevic-1865-1908-Poet.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_the_Croatian_Republic_of_Herzeg-Bosnia.svg/1024px-Flag_of_the_Croatian_Republic_of_Herzeg-Bosnia.svg.png
Bosnia (serb),Peter I,1994,king,https://i.colnect.net/b/569/570/150th-birthday-of-King-Petar-I-Karadjordjevic.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Flag_of_the_Republika_Srpska.svg/1024px-Flag_of_the_Republika_Srpska.svg.png
Bulgaria,Ivan Vazov,1920,poet,https://i.colnect.net/b/3579/566/Portraits-of-Vazow.jpg
Croatia,Katarina Zrinska,1942,conspirator,https://i.pinimg.com/originals/31/21/08/3121085648185952c2699f0f1b862590.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Croatia_%281941%E2%80%931945%29.svg/1024px-Flag_of_Croatia_%281941%E2%80%931945%29.svg.png
Cyprus,Zeno of Kitium,1928,philosopher,https://i.colnect.net/b/5638/583/Zeno-of-Kitium-Philosopher.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Flag_of_Cyprus_%281922%E2%80%931960%29.svg/1024px-Flag_of_Cyprus_%281922%E2%80%931960%29.svg.png
Czech Republic,August Sedláček,1993,historian,https://i.pinimg.com/564x/68/bc/6e/68bc6ee8d9fd8df4c3bc69e9de99e9c5.jpg
Denmark,Christian IV,1924,king,https://i.colnect.net/b/155/911/Postal-service.jpg
Estonia,Friedrich Kreutzwald,1938,writer,https://i.colnect.net/b/5246/950/FRKreutzwald-1803-1882.jpg
Faroe Islands,Jakob Jakobsen,1980,philologist,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Faroe_stamp_047_europe_%28jakob_jakobsen%29.jpg/220px-Faroe_stamp_047_europe_%28jakob_jakobsen%29.jpg
Finland,Elias Lönnrot,1931,poetry collector,https://upload.wikimedia.org/wikipedia/commons/8/8a/Elias-L%C3%B6nnrot-1931.jpg
France,Louis Pasteur,1923,microbiologist,https://i.ebayimg.com/images/g/GrsAAOSwGvhUKwmD/s-l400.jpg
Georgia,Tamar,1920,queen,https://i.pinimg.com/originals/cc/70/91/cc7091a052f0485f404231350e606857.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Georgia_%281918%E2%80%931921%2C_4-5%29.svg/960px-Flag_of_Georgia_%281918%E2%80%931921%2C_4-5%29.svg.png
Germany,Heinrich von Stephan,1924,post director,https://i.colnect.net/b/1291/228/Heinrich-von-Stephan-1831-1897-1st-Germ-Postmaster-Gener.jpg
Gibraltar,William Shakespeare,1964,playwright,https://i.colnect.net/f/120/031/William_Shakespeare.jpg
Greece,Lord Byron,1924,poet & revolutionary,https://i.colnect.net/f/166/561/Centenary-Death-of-Lord-Byron.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Greece_%281822-1978%29.svg/1024px-Flag_of_Greece_%281822-1978%29.svg.png
Greenland,Hans Egede,1958,missionary,https://storage.googleapis.com/hipstamp/p/d098ac3bb0f4cce74b4232af2efdd319-300.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/1016px-Flag_of_Denmark.svg.png
Guernsey,Isaac Brock,1969,governor,https://i.colnect.net/f/5765/266/Isaac-Brook-as-Colonel.jpg
Hungary,Karl Marx,1919,philosopher,http://www.firstissues.org/images/HunSG324A.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Hungary_%281919%29.svg/1024px-Flag_of_Hungary_%281919%29.svg.png
Iceland,Jón Sigurðsson,1911,independence activist,https://i.colnect.net/f/3934/159/J%C3%B3n-Sigur%C3%B0sson.jpg
Ireland,Daniel O'Connell,1929,emancipator,https://i.pinimg.com/originals/c8/7e/71/c87e7178874268148b9091ea48ad3e95.jpg
Isle of Man,Leslie Randles,1973,motorcyclist,https://i.pinimg.com/originals/3c/4d/e2/3c4de29796f46db3b3855bb9233625c8.gif
Italy,Giuseppe Garibaldi,1910,unifier,https://i.colnect.net/f/5782/767/Effigy-of-Giuseppe-Garibaldi-Facing-Left.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Italy_%281861%E2%80%931946%29.svg/1024px-Flag_of_Italy_%281861%E2%80%931946%29.svg.png
Jersey,Winston Churhill,1970,politician,https://i.colnect.net/f/5935/984/Sir_Winston_Churchill_Van_Praag.jpg
Kazakhstan,Bukhar-zhirau Kalmakanov,1993,poet,https://upload.wikimedia.org/wikipedia/commons/2/2e/Kazakhstan_stamp_B.Z.Kalkaman-Uly_1993_15t.jpg
Kosovo,Skanderbeg,2008,national hero,https://i.colnect.net/b/1326/124/Skenderbeu.jpg
Latvia,Atis Kronvalds,1936,writer,https://touchstamps.com/Image/GetImage/392440?width=300
Liechtenstein,Ludwig von Brandis,1937,baron,https://i.pinimg.com/originals/bd/e0/95/bde09552e5f949160971ce417ee77fad.jpg
Lithuania,Vytautas,1920,grand duke,https://i.colnect.net/b/447/639/Grand-Duke-Vytautas.jpg
Luxembourg,William I,1939,grand duke,https://i.pinimg.com/originals/df/96/99/df9699127d8b4dc14c618492698c8a6b.jpg
