City_s,Country_s,Date_s,Fatalities_i,Perpetrator Group_s,Type_s,Year_i
Portadown,United Kingdom,10/01/2000,1,Loyalist Volunteer Forces (LVF),Nationalist,2000
Madrid,Spain,21/01/2000,3,Basque Fatherland and Freedom (ETA),Nationalist,2000
Vitoria,Spain,22/02/2000,2,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Quevert,France,19/04/2000,1,Breton Liberation Front (FLB),Nationalist,2000
Andoain,Spain,07/05/2000,1,Basque Fatherland and Freedom (ETA),Nationalist,2000
Vigo,Spain,08/05/2000,2,First of October Antifascist Resistance Group (GRAPO) (suspected),Far left,2000
Durango,Spain,04/06/2000,1,Basque Fatherland and Freedom (ETA),Nationalist,2000
Athens,Greece,08/06/2000,1,November 17 Revolutionary Organization (N17RO),Far left,2000
Dortmund and Waltrop,Germany,14/06/2000,3,Unknown,Far right,2000
Malaga,Spain,16/07/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Tolosa,Spain,29/07/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Zumaia,Spain,07/08/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Bilbao,Spain,07/08/2000,4,Basque Fatherland and Freedom (ETA),Nationalist,2000
L'Ile Rousse,France,07/08/2000,2,Unknown,Nationalist,2000
Sallent de Gallego,Spain,20/08/2000,2,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Belfast,United Kingdom,21/08/2000,2,Ulster Volunteer Force (UVF) (suspected),Nationalist,2000
Nuremberg,Germany,09/09/2000,1,National Socialist Underground,Far right,2000
Sant Adria de Besos,Spain,21/09/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Magherafelt,United Kingdom,29/09/2000,1,Unknown,Nationalist,2000
Granada,Spain,09/10/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Belfast,United Kingdom,13/10/2000,1,Irish Republican Army (IRA) (suspected),Nationalist,2000
Seville,Spain,16/10/2000,2,Basque Fatherland and Freedom (ETA),Nationalist,2000
Vitoria,Spain,22/10/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Madrid,Spain,30/10/2000,3,Basque Fatherland and Freedom (ETA),Nationalist,2000
Newtownabbey,United Kingdom,01/11/2000,1,Unknown,Nationalist,2000
Madrid,Spain,17/11/2000,1,First of October Antifascist Resistance Group (GRAPO) (suspected),Far left,2000
Barcelona,Spain,21/11/2000,1,Basque Fatherland and Freedom (ETA) (suspected),Nationalist,2000
Baule,France,24/11/2000,1,Unknown,Nationalist,2000
Belfast,United Kingdom,06/12/2000,1,Ulster Freedom Fighters (UFF) (suspected),Nationalist,2000
