Destination,Series,2010,2014,2015,2016*,14/13,15/14,16*/15,2016*,2010,2014,2015,2016*,2016*
Denmark,TF,8744,10267,10424,,20.0,1.5,,,5853,7626,6684,6877,1.5
Finland,TCE,2319,2731,2622,2789,-2.3,-4.0,6.4,0.5,3051,3672,2559,2717,0.6
Iceland,TF,489,998,1289,1792,23.6,29.2,39.0,0.3,561,1371,1617,2415,0.5
Ireland,TF,7134,8813,9528,,6.7,8.1,,,4118,4857,4793,5186,1.2
Norway,TF/TCE,4767,4855,5361,,1.6,10.4,,,4707,5575,4893,5205,1.2
Sweden,TCE/TF,4951,10522,,,-4.2,,,,8366,11835,11322,12614,2.8
United Kingdom,TF,28296,32613,34436,35814,5.0,5.6,4.0,5.8,32892,46539,45462,39615,8.9
Austria,TCE,22004,25291,26728,28121,1.9,5.7,5.2,4.6,18596,20824,18218,19300,4.3
Belgium,TCE,7186,7887,8355,7479,2.6,5.9,-10.5,1.2,11425,13929,11968,11839,2.6
France,TF,77648,83701,84452,82600,0.1,0.9,-2.2,13.4,47015,58147,44858,42481,9.5
Germany,TCE,26875,33005,34971,35579,4.6,6.0,1.7,5.8,34679,43321,36908,37433,8.4
Liechtenstein,TCE,64,61,57,69,2.7,-7.5,21.7,0.0,,,,,
Luxembourg,TCE,793,1038,1091,1054,9.9,5.1,-3.5,0.2,4149,5491,4297,4292,1.0
Monaco,THS,279,329,331,336,0.3,0.7,1.4,0.1,,,,,
Netherlands,TCE,10883,13926,15007,15828,9.0,7.8,5.5,2.6,11732,14704,13176,14054,3.1
Switzerland,THS,8628,9158,9305,10402,2.1,1.6,n/a,1.7,14724,17790,16361,15937,3.6
Armenia,TF,687,1204,1192,1260,11.3,-1.0,5.7,0.2,646,966,936,968,0.2
Azerbaijan,TF,1280,2160,1922,2045,1.4,-11.0,6.4,0.3,657,2432,2309,2714,0.6
Belarus,TCE,677,973,860,,0.7,-11.6,,,440,868,729,710,0.2
Bulgaria,TF,6047,7311,7099,8252,6.0,-2.9,16.2,1.3,3407,3908,3146,3634,0.8
Czech Republic,TF,8629,10617,11619,12090,3.1,9.4,4.1,2.0,7172,6822,6057,6309,1.4
Estonia,TF,2372,2917,2989,3143,1.5,2.5,5.2,0.5,1073,1814,1428,1536,0.3
Georgia,TF,1067,2229,2282,2715,7.9,2.4,19.0,0.4,659,1787,1936,2166,0.5
Hungary,TF,9510,12139,14316,15256,14.3,17.9,6.6,2.5,5628,5872,5326,5653,1.3
Kazakhstan,TF,2991,4560,,,-7.4,,,,1005,1467,1534,1549,0.3
Kyrgyzstan,VF,855,2849,3051,,-7.4,7.1,,,160,423,426,432,0.1
Latvia,TF,1373,1843,2024,1793,20.0,9.8,-11.4,0.3,642,956,896,867,0.2
Lithuania,TF,1507,2063,2071,2296,2.5,0.4,10.8,0.4,967,1384,1155,1185,0.3
Poland,TF,12470,16000,16728,17463,1.3,4.6,4.4,2.8,9576,11848,10474,10977,2.5
Moldova,TCE,64,94,94,121,-1.8,0.5,28.6,0.0,163,228,204,245,0.1
Romania,TCE,1343,1912,2235,2471,11.5,16.9,10.6,0.4,1140,1831,1711,1729,0.4
Russia,VF,22281,25438,26852,24551,-17.4,5.6,-8.6,4.0,8830,11759,8420,7788,1.7
Slovakia,TF,5415,6020,,,-11.7,,,,2233,2578,2363,2748,0.6
Tajikistan,VF,160,213,414,,2.5,94.0,,,2,1,1,4,0.0
Turkmenistan,TF,,,,,,,,,,,,,
Ukraine,TF,21203,12712,12428,13333,-48.5,-2.2,7.3,2.2,3788,1612,1082,1078,0.2
Uzbekistan,TF,975,,,,,,,,121,,,,
Albania,TF,2191,3341,3784,4070,16.9,13.3,7.5,0.7,1613,1705,1500,1691,0.4
Andorra,TF,1808,2363,2663,2831,1.5,12.7,6.3,0.5,,,,,
Bosnia,TCE,365,536,678,777,1.5,26.5,14.5,0.1,594,707,661,709,0.2
Croatia,TCE,9111,11623,12683,13809,6.2,9.1,8.9,2.2,8075,9866,8834,9634,2.2
Cyprus,TF,2173,2441,2659,3187,1.5,8.9,19.8,0.5,2160,2844,2487,2762,0.6
Macedonia,TCE,262,425,486,510,6.4,14.2,5.1,0.1,197,295,267,285,0.1
Greece,TF,15007,22033,23599,24799,23.0,7.1,5.1,4.0,12742,17793,15673,14618,3.3
Israel,TF,2803,2927,2799,2900,-1.2,-4.4,3.6,0.5,5098,5766,5794,5722,1.3
Italy,TF,43626,48576,50732,52372,1.8,4.4,3.2,8.5,38786,45488,39449,40246,9.0
Malta,TF,1339,1690,1783,1966,6.8,5.5,10.2,0.3,1079,1522,1383,1447,0.3
Montenegro,TCE,1088,1350,1560,1662,2.0,15.6,6.5,0.3,732,906,902,925,0.2
Portugal,TCE,6832,9277,10140,11423,11.8,9.3,12.7,1.9,10077,13808,12705,14036,3.1
San Marino,THS,60,75,54,60,6.3,-27.7,10.2,0.0,,,,,
Serbia,TCE,683,1029,1132,1281,11.6,10.1,13.2,0.2,798,1139,1048,1151,0.3
Slovenia,TCE,1869,2411,2707,3032,6.7,12.3,12.0,0.5,2552,2737,2328,2424,0.5
Spain,TF,52677,64939,68519,75563,7.0,5.5,10.3,12.3,54641,65111,56468,60346,13.5
Turkey,TF,31364,39811,39478,,5.3,-0.8,,,22585,29552,26616,18743,4.2
