country,type,battle
Albania,supported,Battle of Durazzo
Austria,invaded,WWI
Belgium,parent,Battle of Blenheim
Bosnia,invaded,Deny Flight
Bulgaria,invaded,WWI
Croatia,parent,Battle of Lissa
Cyprus,invaded,Third Crusade
Czech Republic,supported,Operation Anthropoid
Denmark,invaded,Battle of Copenhagen
Estonia,parent,Anglo-Russian
Finland,invaded,Petsamo Raid
France,invaded,Operation Overlord
Germany,invaded,WWII
Greece,invaded,Don Pacifico affair
Iceland,invaded,WWII
Ireland,invaded,Eleven Years' War
Italy,invaded,WWII
Kosovo,parent,Kosovo
Latvia,parent,Crimean War
Macedonia,supported,Doiran
Malta,supported,Siege of Malta
Montenegro,invaded,Kosovo
Netherlands,invaded,Holme's Bonfire
Norway,invaded,Battle of Lyngør
Poland,supported,interwar Military Mission
Portugal,supported,Restoration War
Romania,invaded,WWII Bucharest bombing
Russia,invaded,Russian Civil War
Serbia,invaded,Kosovo War
Slovenia,parent,WWI
Spain,invaded,Battle of Cádiz
Sweden,supported,Finnish War
Turkey,invaded,Gallipoli Campaign
Ukraine,parent,Crimean War
UK,invaded,War of the Three Kingdoms
