country,ancestry
Albania,216341
Egypt,293251
Iraq,160598
Jordan,93783
Lebanon,532224
Morocco,128410
Palestine,143620
Syria,189872
Armenia,457228
Austria,638372
Belgium,337721
Bulgaria,108331
Croatia,404313
Cyprus,9785
Czech Republic,1301194
Denmark,1211281
Netherlands,3526415
Slovakia,648238
England,26773192
Estonia,29219
Finland,637519
France,7108827
Germany,42298512
Greece,1243592
Hungary,1325923
Iceland,50211
Iran,484675
Ireland,31536194
Israel,148383
Italy,16513339
Latvia,83557
Lithuania,622561
Luxembourg,41777
Macedonia,65062
Malta,40969
Norway,4199299
Poland,8810275
Portugal,1361521
Romania,466462
Russia,2488255
Northern Ireland,2799085
Scotland,5227571
Serbia,193528
Slovenia,177699
Sweden,3544120
Switzerland,891010
Turkey,228876
Ukraine,1017586
Wales,1787935

Yugoslavia,231245
Czechoslovakia,280058
UK,1883506

