country,pc,link
Albania,3,https://www.coca-cola.com/al/sq/brands/fanta
Austria,5,https://www.coca-cola.com/at/de/brands/fanta
Belarus,3,https://www.coca-cola.com/by/be/brands/fanta
Belgium,6,https://www.coca-cola.com/be/fr/brands/fanta
Bosnia,5,https://www.coca-cola.com/ba/bs/brands/fanta
Bulgaria,5,https://www.coca-cola.com/bg/bg/brands/fanta
Croatia,5,https://www.coca-cola.com/hr/hr/brands/fanta
Cyprus,20,https://www.coca-cola.com/cy/el/brands/fanta
Czech Republic,5,https://www.coca-cola.com/cz/cs/brands/fanta
Denmark,5,https://www.coca-cola.com/dk/da/brands/fanta
Estonia,5,https://www.coca-cola.com/ee/et/brands/fanta
Finland,5,https://www.coca-cola.com/fi/fi/brands/fanta
France,12*,https://www.coca-cola.com/fr/fr/brands/fanta
Germany,3,https://www.coca-cola.com/de/de/brands/fanta/fanta
Greece,20,https://www.coca-cola.com/gr/el/brands/fanta
Hungary,5,https://www.coca-cola.com/hu/hu/brands/fanta
Iceland,4.5,https://www.coca-cola.com/is/is/brands/fanta
Ireland,5*,https://www.coca-cola.com/gb/en/brands/fanta
Italy,12,https://www.coca-cola.com/it/it/brands/fanta
Kosovo,5,https://www.coca-cola.com/xk/sq/brands/fanta
Latvia,5,https://www.coca-cola.com/lv/lv/brands/fanta
Lithuania,5,https://www.coca-cola.com/lt/lt/brands/fanta
Luxembourg,6,https://www.coca-cola.com/be/fr/brands/fanta
Moldova,3,https://www.coca-cola.com/md/ro/brands/fanta
Montenegro,5,https://www.coca-cola.com/me/me/brands/fanta
Netherlands,5,https://www.coca-cola.com/nl/nl/brands/fanta
Macedonia,5,https://www.coca-cola.com/mk/mk/brands/fanta
Norway,4.5,https://www.coca-cola.com/no/no/brands/fanta
Poland,5,https://www.coca-cola.com/pl/pl/brands/fanta
Portugal,8,https://www.coca-cola.com/pt/pt/brands/fanta
Romania,5,https://www.coca-cola.com/ro/ro/brands/fanta
Serbia,5,https://www.coca-cola.com/rs/sr/brands/fanta
Slovakia,5,https://www.coca-cola.com/sk/sk/brands/fanta
Slovenia,5,https://www.coca-cola.com/si/sl/brands/fanta
Spain,8,https://www.coca-cola.com/es/es/brands/fanta
Sweden,5,https://www.coca-cola.com/se/sv/brands/fanta
Switzerland,5.3,https://www.coca-cola.com/ch/fr/brands/fanta
Turkey,3,https://www.coca-cola.com/tr/tr/brands/fanta
UK,5*,https://www.coca-cola.com/gb/en/brands/fanta
Ukraine,3,https://www.coca-cola.com/ua/uk/brands/fanta


