year,film,image
1999,Strange Days¹,https://genjipress.com/img/dvd/2015/B00000JSJC-26.jpg
2001,2001: A Space Odyssey,https://savethecat.com/wp-content/uploads/2018/10/1.jpg
2010,2010: The Year We Make Contact,https://www.syfy.com/sites/syfy/files/styles/1200x680_hero/public/wire/legacy/2010yearwemake_0.jpg
2013,Escape from L.A.,https://d13ezvd6yrslxm.cloudfront.net/wp/wp-content/images/ZZ1ADC67A1.jpg
2015,Back to the Future Part II,https://i.pinimg.com/originals/4a/10/2a/4a102aa7d2d2452269995e7f4757b2ae.jpg
2017,Barb Wire,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2017/10/Barb-Wire-1280.jpg
2018,Rollerball,https://m.media-amazon.com/images/M/MV5BYjQzOTRkYjMtYTBiNy00MDgwLWFkYzgtMGViNDUyYTUwODIyXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg
2019,The Running Man,https://jojud265nia2bj9sy4ah9b61-wpengine.netdna-ssl.com/wp-content/uploads/2019/07/MakeMyDay_TheRunningMan_04-1-1600x900-c-default.jpg
2019,Akira,https://i.guim.co.uk/img/media/0280d0ee4bfc91abadaa92ac2dc2624c01a31d1d/13_0_1018_611/master/1018.jpg?width=700&quality=85&auto=format&fit=max&s=f1aefdd3951a4c5710c78a4146f4a831
2019,Blade Runner,https://pmcvariety.files.wordpress.com/2013/10/blade-runner-1982.jpg
2019,The Island,https://cdn.onebauer.media/one/empire-tmdb/films/1635/images/lSFjAP2d4YZA9mcP2A6hTMHPqTY.jpg?quality=50&width=1800&ratio=16-9&resizeStyle=aspectfill&format=jpg
2021,Johnny Mnemonic,https://images.squarespace-cdn.com/content/5c4b70a6506fbe1ddbe5e6a5/1565648615296-BJUSPVT9MIQ93K7G460K/vlcsnap-2019-08-12-18h22m39s428.jpg?content-type=image%2Fjpeg
2022,Soylent Green,https://www.denofgeek.com/wp-content/uploads/2013/01/soylent-green.png?resize=768%2C368
2024,A Boy and His Dog,https://cdn.onebauer.media/one/empire-tmdb/films/4917/images/pTpEjMBxwxUjSkRnz3ufbtZXlcD.jpg?quality=50&width=1800&ratio=16-9&resizeStyle=aspectfill&format=jpg
2025,Her,https://static.rogerebert.com/uploads/review/primary_image/reviews/her-2013/Her-2013-2.jpg
2026,Metropolis,https://netrinoimages.s3.eu-west-2.amazonaws.com/2018/07/25/533793/263653/inspired_robot_maria_scene_from_the_1927_movie_metropolis_3d_model_c4d_max_obj_fbx_ma_lwo_3ds_3dm_stl_2768730_o.jpg
2027,Children of Men,https://static.rogerebert.com/uploads/review/primary_image/reviews/children-of-men-2007/EB20071004REVIEWS710040307AR.jpg
2029,Terminator²,"https://m.media-amazon.com/images/M/MV5BYzAzZThjODItYjlmMS00MGE0LWIwMDMtZTA2NDM0OWUzN2JhXkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_SX1777_CR0,0,1777,961_AL_.jpg"
2029,Ghost in the Shell,https://images.squarespace-cdn.com/content/580a3ed86a49637f149d0219/1527984258610-RL0TJTYOECW308OGCZDN/201703110_1_IMG_FIX_700x700.jpg?content-type=image%2Fjpeg
2031,Snowpiercer,https://www.thewrap.com/wp-content/uploads/2016/05/snowpiercer-jamie-bell.jpg
2032,Demolition Man,https://images.thefacecdn.com/images/demolitionman_stills_FA_1.jpeg
2033,Tank Girl,https://coldfeet-space.nyc3.digitaloceanspaces.com/wsb/2018/03/tank-1.jpg
2035,12 Monkeys²,https://pbs.twimg.com/media/DKBotwUVoAAp3mO.jpg
2035,"I, Robot",https://www.pluggedin.com/wp-content/uploads/2019/12/i-robot-2048x1131.jpg
2035,The Martian,https://cdn.theatlantic.com/thumbor/gWfsQCs_mHmB5r13thYkng0QYxk=/51x30:1243x701/720x405/media/img/mt/2015/10/martian-1/original.jpg
2044\n2074,Looper,https://www.syfy.com/sites/syfy/files/styles/1200x680/public/2017/08/looper_0.jpg
2045,Ready Player One,https://ichef.bbci.co.uk/wwfeatures/live/624_351/images/live/p0/61/qd/p061qdfc.jpg
2046,Doom,https://regmedia.co.uk/2012/08/20/videogamemovies_1.jpg
2047,Event Horizon,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/mv5bztrintgzzmitodnkoc00mwe3ltkzogetmtvmntqynwnhzwyyxkeyxkfqcgdeqxvynzc5njm0naatat-v1-1565117600.jpg
2049,Blade Runner 2049,https://cdn.vox-cdn.com/thumbor/FFtg220CAi4Iilph_ewW4gaCClA=/0x0:2864x1200/1200x800/filters:focal(982x303:1440x761)/cdn.vox-cdn.com/uploads/chorus_image/image/57044477/blade3.0.jpg
2054,Minority Report,https://cdn.patentlyo.com/media/2018/02/MinRep-e1518971378666.jpg
2058,Lost In Space,https://i1.wp.com/www.alcohollywood.com/wp-content/uploads//Screenshot-2017-06-16-15.36.56.png?fit=1256%2C573&ssl=1
2065,Final Fantasy: The Spirits Within,"https://m.media-amazon.com/images/M/MV5BZTY3MzE3NmQtYTI1YS00YjliLWI1MTgtNDhhMTg4MDE5MzU4XkEyXkFqcGdeQXVyMDM5ODIyNw@@._V1_SX1777_CR0,0,1777,999_AL_.jpg"
2065,Interstellar³,https://cdn.onebauer.media/one/empire-tmdb/films/157336/images/xu9zaAevzQ5nnrsXN6JcahLnG4i.jpg?quality=50&width=1800&ratio=16-9&resizeStyle=aspectfill&format=jpg
2084,Total Recall,https://www2.pictures.zimbio.com/mp/fakKhvciLKjx.jpg
2093,Prometheus,https://i.guim.co.uk/img/static/sys-images/Guardian/Pix/audio/video/2012/6/8/1339168314216/Michael-Fassbender-in-Rid-008.jpg?width=445&quality=85&auto=format&fit=max&s=afcff17b98f8152899eb0430b31b7b20


