group,name,description,image
_Historical,"Anguilla, (1967-69)",dolphins,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Anguilla_%281967-1969%29.svg/1024px-Flag_of_Anguilla_%281967-1969%29.svg.png
_Historical,"Burma, (1941-42)",peacock,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_Burma_%281941%E2%80%931942%29.svg/1024px-Flag_of_Burma_%281941%E2%80%931942%29.svg.png
_Historical,"Ethiopia, (1897-1974)",lion,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Flag_of_Ethiopia_%281897-1936%3B_1941-1974%29.svg/1024px-Flag_of_Ethiopia_%281897-1936%3B_1941-1974%29.svg.png
_Historical,"Siam, (1843-1916)",elephant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Siam_%281855%29.svg/1024px-Flag_of_Siam_%281855%29.svg.png
_Historical,"US naval jack, (2002-19)",snake,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Naval_jack_of_the_United_States_%282002%E2%80%932019%29.svg/1024px-Naval_jack_of_the_United_States_%282002%E2%80%932019%29.svg.png

_USA,"California, USA",grizzly bear,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_California.svg/1024px-Flag_of_California.svg.png
_USA,"Iowa, USA",bald eagle,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Iowa.svg/1024px-Flag_of_Iowa.svg.png
_USA,"Oregon, USA",beaver (on reverse),https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Oregon_%28reverse%29.svg/1024px-Flag_of_Oregon_%28reverse%29.svg.png
_USA,"Wyoming, USA",bison,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Wyoming.svg/1024px-Flag_of_Wyoming.svg.png
_USA,"Northwest Territories, Canada",arctic fox,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_the_Northwest_Territories.svg/1024px-Flag_of_the_Northwest_Territories.svg.png

_Russia,"Irkutsk Oblast, Russia",black tiger + sable,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Irkutsk_Oblast.svg/1024px-Flag_of_Irkutsk_Oblast.svg.png
_Russia,"Yaroslavl Oblast, Russia",black bear,https://upload.wikimedia.org/wikipedia/commons/8/8e/Flag_of_Yaroslavl_Oblast.png
_Russia,"Moscow, Russia",horse (+dragon),https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Moscow%2C_Russia.svg/1024px-Flag_of_Moscow%2C_Russia.svg.png
_Russia,"Ufa, Russia",marten,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Ufa.svg/1024px-Flag_of_Ufa.svg.png
_Russia,"Volchansk, Russia",chipmunk,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Volchansk_%28Sverdlovsk_oblast%29.png/1024px-Flag_of_Volchansk_%28Sverdlovsk_oblast%29.png

_Europe,"Buckinghamshire, UK",swan,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/County_Flag_of_Buckinghamshire.png/1024px-County_Flag_of_Buckinghamshire.png
_Europe,"Hertfordshire, UK",hart (+ford),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/County_Flag_of_Hertfordshire.svg/1024px-County_Flag_of_Hertfordshire.svg.png
_Europe,"Uri, Switzerland",bull,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Canton_of_Uri.svg/1022px-Flag_of_Canton_of_Uri.svg.png
_Europe,"Urk, Netherlands",haddock,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Urker_vlag_met_schelvis_25-12-2016.svg/1024px-Urker_vlag_met_schelvis_25-12-2016.svg.png
_Europe,"Viļaka, Latvia",hedgehog,https://upload.wikimedia.org/wikipedia/commons/6/62/Flag_of_Vi%C4%BCaka.png

_Other,"Amazonas Department, Colombia",jaguar,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Amazonas_%28Colombia%29.svg/1024px-Flag_of_Amazonas_%28Colombia%29.svg.png
_Other,"Tierra del Fuego, Argentina",albatross,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bandera_de_la_Provincia_de_Tierra_del_Fuego.svg/1024px-Bandera_de_la_Provincia_de_Tierra_del_Fuego.svg.png

_Other,"Balochistan, Pakistan",camel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Balochistan.svg/1024px-Flag_of_Balochistan.svg.png
_Other,"Dornogovi Province, Mongolia","dinosaur (+fish, camels?)",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Mn_flag_dornogovi_aimag_2011.svg/1024px-Mn_flag_dornogovi_aimag_2011.svg.png
_Other,"Rwenzururu, Uganda",colobus monkey,https://upload.wikimedia.org/wikipedia/commons/9/9c/Rwenzururu_flag.png
