group,name,description,image

_C,Fiji,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/1920px-Flag_of_Fiji.svg.png
_C,Tuvalu,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/1920px-Flag_of_Tuvalu.svg.png
_C,Montserrat,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/1920px-Flag_of_Montserrat.svg.png
_C,Eswatini,1894-1902,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Swaziland_1894.svg/1920px-Flag_of_Swaziland_1894.svg.png
_C,Luhansk People's Republic,proto-state,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_the_Luhansk_People%27s_Republic.svg/1920px-Flag_of_the_Luhansk_People%27s_Republic.svg.png

_e,Cambridgeshire,England,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Cambridgeshire_Flag.svg/1920px-Cambridgeshire_Flag.svg.png
_e,Isle of Wight,England,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Flag_of_the_Isle_of_Wight.svg/1920px-Flag_of_the_Isle_of_Wight.svg.png
_e,Burela,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Bandera_de_Burela.svg/1280px-Bandera_de_Burela.svg.png
_e,Evenkia,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Evenkia.svg/1280px-Flag_of_Evenkia.svg.png
_e,Kostroma,Russia,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Kostroma_%28Kostroma_oblast%29.png

_o,Ibigawa,Japan,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Ibigawa_Gifu.JPG
_o,Katori,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Katori%2C_Chiba.svg/1280px-Flag_of_Katori%2C_Chiba.svg.png
_o,Kiyosu,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Kiyosu%2C_Aichi.svg/1280px-Flag_of_Kiyosu%2C_Aichi.svg.png
_o,Shimanto,Japan,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Shimanto_Kochi.JPG
_o,Toyako,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Toyako%2C_Hokkaido.svg/1280px-Flag_of_Toyako%2C_Hokkaido.svg.png

_c,Lions Bay,British Columbia,https://www.crwflags.com/fotw/images/c/ca-bc-lb.gif
_c,Chapel Hill,North Carolina,https://www.crwflags.com/fotw/images/u/us-ncchh.gif
_c,Crystal,Minnesota,https://www.crwflags.com/fotw/images/u/us-mncry.gif
_c,Duluth,Minnesota,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Duluth%2C_Minnesota_%282019-present%29.png/1920px-Flag_of_Duluth%2C_Minnesota_%282019-present%29.png
_c,Peoria,Arizona,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Peoria%2C_Arizona.svg/1280px-Flag_of_Peoria%2C_Arizona.svg.png

_a,Chubut Province,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bandera_de_la_Provincia_del_Chubut.svg/1920px-Bandera_de_la_Provincia_del_Chubut.svg.png
_a,Santa Cruz Province,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Bandera_de_la_Provincia_de_Santa_Cruz.svg/1920px-Bandera_de_la_Provincia_de_Santa_Cruz.svg.png
_a,Coronel Dorrego Partido,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bandera_del_Partido_de_Coronel_Dorrego.svg/1280px-Bandera_del_Partido_de_Coronel_Dorrego.svg.png
_a,Monte Hermoso Partido,Argentina,https://www.fotw.info/images/a/ar-b-mh.gif
_a,Quilmes Partido,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Bandera_del_Partido_de_Quilmes.svg/1920px-Bandera_del_Partido_de_Quilmes.svg.png
_b,San Vincente Partido,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Bandera_del_Partido_de_San_Vicente.svg/1280px-Bandera_del_Partido_de_San_Vicente.svg.png
_b,Río Gallegos,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Bandera_de_la_Ciudad_de_R%C3%ADo_Gallegos.svg/1280px-Bandera_de_la_Ciudad_de_R%C3%ADo_Gallegos.svg.png
_b,Río Turbio,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/18/Bandera_de_R%C3%ADo_Turbio.jpg
_b,Maldonado,Uruguay,https://www.crwflags.com/fotw/images/u/uy-ma-m.gif
_b,Monagas State,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Monagas_State.svg/1920px-Flag_of_Monagas_State.svg.png

_q,Lower Murray River,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Murray_River_Flag_%28Lower%29.svg/1920px-Murray_River_Flag_%28Lower%29.svg.png
_q,Makatea,French Polynesia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_Makatea.svg/1920px-Flag_of_Makatea.svg.png
_q,Midway Islands,"unofficial flag, USA",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_the_Midway_Islands_%28local%29.svg/1024px-Flag_of_the_Midway_Islands_%28local%29.svg.png
_q,Caribbean Community,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_CARICOM.svg/1920px-Flag_of_CARICOM.svg.png
_q,Deaf Union Flag,,https://www.crwflags.com/fotw/images/i/int-deaf.gif

