orientation,colours,name,description,flag
S,R,China,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/1024px-Flag_of_the_People%27s_Republic_of_China.svg.png
S,G,Saudi Arabia,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/1024px-Flag_of_Saudi_Arabia.svg.png
S,B,Kosovo,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/1024px-Flag_of_Kosovo.svg.png
S,W,Japan,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/1024px-Flag_of_Japan.svg.png
S,K,Islamic State,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/AQMI_Flag_asymmetric.svg/1024px-AQMI_Flag_asymmetric.svg.png
S,Y,New Mexico,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/1024px-Flag_of_New_Mexico.svg.png

H,RG,Burkina Faso,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/1024px-Flag_of_Burkina_Faso.svg.png
H,RB,Ticino,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Canton_of_Tessin.svg/1024px-Flag_of_Canton_of_Tessin.svg.png
H,RW,Indonesia,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/1024px-Flag_of_Indonesia.svg.png
H,RK,Angola,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/1024px-Flag_of_Angola.svg.png
H,RY,Hampshire,UK,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/County_Flag_of_Hampshire.svg/1024px-County_Flag_of_Hampshire.svg.png
H,GR,Landázuri,Colombia,https://www.crwflags.com/fotw/images/c/co-saola.gif
H,GB,Carolina del Príncipe,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Carolina_del_Pr%C3%ADncipe_%28Antioquia%29.svg/1024px-Flag_of_Carolina_del_Pr%C3%ADncipe_%28Antioquia%29.svg.png
H,GW,Sucre,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Sucre_%28Colombia%29.svg/1024px-Flag_of_Sucre_%28Colombia%29.svg.png
H,GK,Angelópolis,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Angel%C3%B3polis_%28Antioquia%29.svg/1024px-Flag_of_Angel%C3%B3polis_%28Antioquia%29.svg.png
H,GY,Saskatchewan,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_Saskatchewan.svg/1024px-Flag_of_Saskatchewan.svg.png
H,BR,Haiti,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/1024px-Flag_of_Haiti.svg.png
H,BG,Romani people,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_the_Romani_people.svg/1024px-Flag_of_the_Romani_people.svg.png
H,BB,Caribbean Community,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_CARICOM.svg/1024px-Flag_of_CARICOM.svg.png
H,BW,Riga,Latvia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Riga.svg/1024px-Flag_of_Riga.svg.png
