group,name,description,image

_c,Sierra Leone,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/1920px-Flag_of_Sierra_Leone.svg.png
_c,Lesotho,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/1920px-Flag_of_Lesotho.svg.png
_c,Uzbekistan,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/1920px-Flag_of_Uzbekistan.svg.png
_c,Vermont Republic,1777-1791,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_the_Vermont_Republic.svg/1280px-Flag_of_the_Vermont_Republic.svg.png
_c,Mountainous Republic of\nthe Northern Caucasus,1917-22,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_the_Mountain_Republic.svg/1024px-Flag_of_the_Mountain_Republic.svg.png

_t,Galápagos Province,Ecuador,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bandera_Provincia_Gal%C3%A1pagos.svg/1024px-Bandera_Provincia_Gal%C3%A1pagos.svg.png
_t,Córdoba Department,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_C%C3%B3rdoba.svg/1280px-Flag_of_C%C3%B3rdoba.svg.png
_t,Komi Republic,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Komi.svg/1024px-Flag_of_Komi.svg.png
_t,Limón Province,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Bandera_de_la_Provincia_de_Lim%C3%B3n.svg/1024px-Bandera_de_la_Provincia_de_Lim%C3%B3n.svg.png
_t,Kępno,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/POL_K%C4%99pno_flag.svg/1024px-POL_K%C4%99pno_flag.svg.png
_t,Tamsalu Parish,Estonia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Tamsalu.svg/1920px-Flag_of_Tamsalu.svg.png

