group,name,description,image
_c1,Estonia,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/1920px-Flag_of_Estonia.svg.png
_c1,Estonia,naval jack,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Naval_Jack_of_Estonia.svg/1024px-Naval_Jack_of_Estonia.svg.png
_c1,Neutral Moresnet,"condominium, 1816-1920",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_Moresnet.svg/1280px-Flag_of_Moresnet.svg.png
_c1,Saar Basin,"League mandate, 1920-35",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Flag_of_Saar_1920-1935.svg/1920px-Flag_of_Saar_1920-1935.svg.png
_c1,European Coal and\nSteel Community,"12 star version, 1986-2002",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_the_European_Coal_and_Steel_Community_12_Star_Version.svg/1920px-Flag_of_the_European_Coal_and_Steel_Community_12_Star_Version.svg.png
_c2,Botswana,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/1280px-Flag_of_Botswana.svg.png
_c2,Botswana,presidential standard,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_President_of_Botswana.svg/1920px-Flag_of_the_President_of_Botswana.svg.png
_c2,Swaziland,1894-1902,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Swaziland_1894.svg/1024px-Flag_of_Swaziland_1894.svg.png
_c2,Ciskei,"Bantustan, 1981-94",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Flag_of_Ciskei.svg/1920px-Flag_of_Ciskei.svg.png
_c2,Maakhir State of Somalia,"quai-state, 2007-9",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_Maakhir_2008.svg/1920px-Flag_of_Maakhir_2008.svg.png

_n,Loire-Atlantique,Brittany,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Drapeau_fr_d%C3%A9partement_Loire-Atlantique.svg/1280px-Drapeau_fr_d%C3%A9partement_Loire-Atlantique.svg.png
_n,Coventry,England,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Coventry_city_flag.svg/1920px-Coventry_city_flag.svg.png
_n,Kehtna Parish,Estonia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Kehtna_valla_lipp.svg/1920px-Kehtna_valla_lipp.svg.png
_n,Connacht,Ireland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Flag_of_Connacht.svg/1280px-Flag_of_Connacht.svg.png
_n,Southern Ostrobothnia,Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Southern_Ostrobothnia.svg/1920px-Flag_of_Southern_Ostrobothnia.svg.png

_d,Kelmis,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flagge_Kelmis.svg/1024px-Flagge_Kelmis.svg.png
_d,Bechtolsheim,Germany,https://www.crwflags.com/fotw/images/d/de-az-bl.gif
_d,Norderney,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Norderney.svg/1920px-Flag_of_Norderney.svg.png
_d,Nederlek,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Nederlek.svg/1024px-Flag_of_Nederlek.svg.png
_d,Aargau,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Flag_of_Canton_of_Aargau.svg/597px-Flag_of_Canton_of_Aargau.svg.png

_cz,Bruntál,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_Bruntal.svg/1280px-Flag_of_Bruntal.svg.png
_cz,Brno-Starý Lískovec,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Brno-Star%C3%BD_L%C3%ADskovec_vlajka.svg/1920px-Brno-Star%C3%BD_L%C3%ADskovec_vlajka.svg.png
_cz,Konětopy,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Kon%C4%9Btopy_Flag.svg/1920px-Kon%C4%9Btopy_Flag.svg.png
_cz,Říčany,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Ricany.svg/1280px-Flag_of_Ricany.svg.png
_cz,Staré Hradiště,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Star%C3%A9_Hradi%C5%A1t%C4%9B.svg/1920px-Flag_of_Star%C3%A9_Hradi%C5%A1t%C4%9B.svg.png

_e,La Baronia de Rialb,Catalonia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Bandera_de_la_Baronia_de_Rialb.svg/1920px-Bandera_de_la_Baronia_de_Rialb.svg.png
_e,La Torre de Cabdella,Catalonia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_La_Torre_de_Cabdella.svg/1920px-Flag_of_La_Torre_de_Cabdella.svg.png
_e,Vallbona de les Monges,Catalonia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Bandera_de_Vallbona_de_les_Monges.svg/1920px-Bandera_de_Vallbona_de_les_Monges.svg.png
_e,Folgoso de la Ribera,Léon,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bandera_de_Folgoso_de_la_Ribera_%28Le%C3%B3n%29.svg/1920px-Bandera_de_Folgoso_de_la_Ribera_%28Le%C3%B3n%29.svg.png
_e,Mrągowo,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/POL_Mr%C4%85gowo_flag.svg/1920px-POL_Mr%C4%85gowo_flag.svg.png

_p,Río Turbio,Argentina,https://upload.wikimedia.org/wikipedia/commons/1/18/Bandera_de_R%C3%ADo_Turbio.jpg
_p,Nova Friburgo,Brazil,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Nova_Friburgo.png
_p,Rennell and Bellona,Solomon Islands,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Rennell_and_Bellona_Province.svg/1920px-Flag_of_Rennell_and_Bellona_Province.svg.png
_p,Thin Blue Line,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Thin_Blue_Line_Flag_%28United_States%29.svg/1920px-Thin_Blue_Line_Flag_%28United_States%29.svg.png
_p,Leather Pride,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Leather%2C_Latex%2C_and_BDSM_pride_-_Light.svg/1920px-Leather%2C_Latex%2C_and_BDSM_pride_-_Light.svg.png

