group,name,description,image
_a,Wust Fischbeck,Germany,https://www.fotw.info/images/d/de-sn-eh-wf.gif
_a,Wust Village,Germany,https://www.fotw.info/images/d/de-sn-eh-wf-wu.gif
_a,Londerzeel,Belgium,https://www.crwflags.com/fotw/images/b/be-vbrlz.gif

_b,Kasendorf,Germany,https://i.imgur.com/xPT8vzB.png
_b,Gata,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Bandera_de_Gata_%28C%C3%A1ceres%29.svg/1280px-Bandera_de_Gata_%28C%C3%A1ceres%29.svg.png
_b,Courfaivre,Switzerland,https://www.crwflags.com/fotw/images/c/ch-ju007.gif

_d,Westernijkerk,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Marrum_vlag.svg/1024px-Marrum_vlag.svg.png
_d,Ried,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Rie_vlag.svg/1024px-Rie_vlag.svg.png
_d,Mathod,Switzerland,https://www.crwflags.com/fotw/images/c/ch-vd373.gif

_e,Kutai Monarchy,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bendera_Kesultanan_Kutai_Kartanegara_ing_Martadipura.png/640px-Bendera_Kesultanan_Kutai_Kartanegara_ing_Martadipura.png
_e,Los Gatos,"California, USA",https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Los_Gatos%2C_California.png
_e,Ropraz,Switzerland,https://www.crwflags.com/fotw/images/c/ch-vd305.gif

_c,Caitherness*,*shortlisted candidate B,https://www.fotw.info/images/g/gb-s!cai2.gif
_c,Sutherland*,*shortlisted candidate C,https://upload.wikimedia.org/wikipedia/commons/0/09/SutherlandFlagOptionC.png
_c,Rovio,Switzerland,https://www.crwflags.com/fotw/images/c/ch-ti170.gif

