group,name,description,image
_a,Volapük,1879,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_Volap%C3%BCk.svg/1920px-Flag_of_Volap%C3%BCk.svg.png
_a,Esperanto,1887,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Esperanto.svg/1920px-Flag_of_Esperanto.svg.png
_a,Ido,1907,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Ido_%28new%29.svg/1920px-Flag_of_Ido_%28new%29.svg.png
_a,Interlingue,1922,https://www.crwflags.com/fotw/images/q/qy-ie!.gif

_b,Novial,1928,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Novial.svg/1280px-Flag_of_Novial.svg.png
_b,Interlingua,1951,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Flag_of_Interlingua.svg/1920px-Flag_of_Interlingua.svg.png
_b,Lingua Franca Nova,1965,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Lingua_Franca_Nova.svg/1920px-Flag_of_Lingua_Franca_Nova.svg.png
_b,Kotava,1978,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_Kotava.svg/1920px-Flag_of_Kotava.svg.png

_c,Uropi,1986,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_Uropi.svg/1280px-Flag_of_Uropi.svg.png
_c,Lojban,1987,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Lojbanlogo.svg/1024px-Lojbanlogo.svg.png
_c,Folkspraak,1995,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Flag_of_Folkspraak.svg/1920px-Flag_of_Folkspraak.svg.png
_c,Pandunia,2005,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Flag_of_Pandunia.svg/1024px-Flag_of_Pandunia.svg.png

_d,Interslavic,2006,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Interslavic.svg/1280px-Flag_of_Interslavic.svg.png
_d,Sambahsa,2007,https://upload.wikimedia.org/wikipedia/commons/4/4d/Sambahsa_flag.jpg
_d,Mundezo,2012,https://upload.wikimedia.org/wikipedia/commons/f/f5/Mundezo.jpg
_d,Globasa,2019,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Flag_of_Globasa.svg/1920px-Flag_of_Globasa.svg.png
