group,name,description,image

_a,Yukon,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Yukon.svg/1024px-Flag_of_Yukon.svg.png
_a,Canary Islands,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_the_Canary_Islands.svg/1024px-Flag_of_the_Canary_Islands.svg.png
_a,Vilobí del Penedès,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Bandera_de_Vilob%C3%AD_del_Pened%C3%A8s.svg/1280px-Bandera_de_Vilob%C3%AD_del_Pened%C3%A8s.svg.png
_a,Żary,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/POL_%C5%BBary_flag_2.svg/1920px-POL_%C5%BBary_flag_2.svg.png
_a,Jämtland\nCounty,Sweden,https://www.crwflags.com/fotw/images/s/se-23.gif

_b,Damme,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Damme_vlag.svg/1280px-Damme_vlag.svg.png
_b,Lovendegem,Belgium,https://www.crwflags.com/fotw/images/b/be-vovlv.gif
_b,Gieten,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Gieten_vlag.svg/1024px-Gieten_vlag.svg.png
_b,Ruurlo,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Ruurlo_vlag.svg/1280px-Ruurlo_vlag.svg.png
_b,Soulce,Switzerland,https://www.crwflags.com/fotw/images/c/ch-ju023.gif

_d,Delbrück,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flagge_der_Stadt_Delbr%C3%BCck.svg/1920px-Flagge_der_Stadt_Delbr%C3%BCck.svg.png
_d,Suckow,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Suckow_Flagge1.svg/1280px-Suckow_Flagge1.svg.png
_d,Welver,Germany,https://www.crwflags.com/fotw/images/d/de-so-wv.gif
_d,Vetschau,Germany,https://www.crwflags.com/fotw/images/d/de-ob-ve.gif
_d,Chénens,Switzerland,https://www.crwflags.com/fotw/images/c/ch-fr181.gif

_c,Bezděkov,Czech Republic,https://rekos.psp.cz/data/images/40564/800x500/368_bezdekov_v.jpg
_c,Bernardov,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Bernardov.svg/1024px-Flag_of_Bernardov.svg.png
_c,Dolní Žandov,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/a/aa/Doln%C3%AD_%C5%BDandov_vlajka.png
_c,Kostelany,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kostelany_Flag.png
_c,Hunzenschwil,Switzerland,https://www.crwflags.com/fotw/images/c/ch-ag146.gif

_e,Lišnice,Czech Republic,https://rekos.psp.cz/data/images/33755/800x500/567248.gif
_e,Odřepsy,Czech Republic,https://rekos.psp.cz/data/images/43122/800x500/odrepsy_oprava-0002.jpg
_e,Úhonice,Czech Republic,https://rekos.psp.cz/data/images/41018/800x500/603_uhonicev.jpg
_e,Žihobce,Czech Republic,http://fotw.fivestarflags.com/images/c/cz-kt-zi.gif
_e,Albligen,Switzerland,https://www.crwflags.com/fotw/images/c/ch-be298.gif

