group,name,description,image
_c,Bhutan,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/1920px-Flag_of_Bhutan.svg.png
_c,Malta,in the George Cross,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/1280px-Flag_of_Malta.svg.png
_c,Wales,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Wales_%281959%E2%80%93present%29.svg/1920px-Flag_of_Wales_%281959%E2%80%93present%29.svg.png
_c,China,1889-1912,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_China_%281889%E2%80%931912%29.svg/1920px-Flag_of_China_%281889%E2%80%931912%29.svg.png
_c,Hong Kong,1959-1997,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_Hong_Kong_%281959%E2%80%931997%29.svg/1024px-Flag_of_Hong_Kong_%281959%E2%80%931997%29.svg.png

_e,Somerset,England,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Somnew.png/1920px-Somnew.png
_e,Wessex,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FlagOfWessex.svg/1024px-FlagOfWessex.svg.png
_e,Pérouges,France,https://www.crwflags.com/fotw/images/f/fr-01-pe.gif
_e,Plomelin,France,https://www.crwflags.com/fotw/images/f/fr-29-pl.gif
_e,Trégor,France,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag-Pays-Tregor.png

_e2,Wachtberg,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flagge_Wachtberg.svg/1920px-Flagge_Wachtberg.svg.png
_e2,Beesel,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Beesel_vlag.svg/1280px-Beesel_vlag.svg.png
_e2,Slochteren,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Slochteren_vlag.svg/1024px-Slochteren_vlag.svg.png
_e2,Stjørdal,Norway,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Stj%C3%B8rdal.png/1280px-Flag_of_Stj%C3%B8rdal.png
_e2,Cardiff,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Flag_of_Cardiff.svg/1920px-Flag_of_Cardiff.svg.png

_z,Dlouhá Třebová,Czech Republic,https://rekos.psp.cz/data/images/36431/800x500/548014.gif
_z,Lukova,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Lukova_CZ.svg/1024px-Flag_of_Lukova_CZ.svg.png
_z,Mírová,Czech Republic,https://rekos.psp.cz/data/images/41056/800x500/617-mirova0002.jpg
_z,Mladějov na Moravě,Czech Republic,https://rekos.psp.cz/data/images/39351/800x500/vlajka.jpg
_z,Suchohrdly,Czech Republic,https://rekos.psp.cz/data/images/33947/800x500/555231.gif

_u,Strzyżów County,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/POL_powiat_sztrzy%C5%BCowski_flag.svg/1920px-POL_powiat_sztrzy%C5%BCowski_flag.svg.png
_u,Ljubljana,Slovenia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Flag_of_Ljubljana.svg/1920px-Flag_of_Ljubljana.svg.png
_u,Navès,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bandera_de_Nav%C3%A8s.svg/1280px-Bandera_de_Nav%C3%A8s.svg.png
_u,Santa Margarida i els Monjos,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Bandera_de_Santa_Margarida_i_els_Monjos.svg/1280px-Bandera_de_Santa_Margarida_i_els_Monjos.svg.png
_u,Kyiv Oblast,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Kyiv_Oblast.svg/1280px-Flag_of_Kyiv_Oblast.svg.png

_s,Kazan,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_Kazan.svg/1920px-Flag_of_Kazan.svg.png
_s,Moscow,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Moscow%2C_Russia.svg/1280px-Flag_of_Moscow%2C_Russia.svg.png
_s,Manipur Kingdom,"1891-1905, India",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Manipur.svg/1280px-Flag_of_Manipur.svg.png
_s,Vietnam,"imperial standard, 1922-45",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Imperial_Standard_of_Nguyen_Dynasty1.svg/1024px-Imperial_Standard_of_Nguyen_Dynasty1.svg.png
_s,Y Wladfa,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_the_Welsh_colony_in_Patagonia.svg/1024px-Flag_of_the_Welsh_colony_in_Patagonia.svg.png
