group,name,description,image

A+,Amsterdam,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Amsterdam.svg/1280px-Flag_of_Amsterdam.svg.png
A+,Berlin,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Berlin.svg/1920px-Flag_of_Berlin.svg.png
A+,Moscow,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Moscow%2C_Russia.svg/1280px-Flag_of_Moscow%2C_Russia.svg.png

A,Kyiv,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Kyiv_Kurovskyi.svg/1280px-Flag_of_Kyiv_Kurovskyi.svg.png
A,London,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_the_City_of_London.svg/1920px-Flag_of_the_City_of_London.svg.png
A,Nicosia,Cyprus,https://www.fotw.info/images/c/cy-nico.gif
A,Podgorica,Montenegro,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Podgorica%2C_Montenegro.svg/1920px-Flag_of_Podgorica%2C_Montenegro.svg.png
A,Tbilisi,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Tbilisi.svg/1920px-Flag_of_Tbilisi.svg.png
A,Bern,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Canton_of_Bern.svg/1024px-Flag_of_Canton_of_Bern.svg.png

B,Andorra la Vella,Andorra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Andorra_la_Vella.svg/1280px-Flag_of_Andorra_la_Vella.svg.png
B,Minsk,Belarus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Minsk%2C_Belarus.svg/1280px-Flag_of_Minsk%2C_Belarus.svg.png
B,Nur-Sultan,Kazakhstan,https://i.imgur.com/MvNUXMN.png
B,Sarajevo,Bosnia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Sarajevo.svg/1920px-Flag_of_Sarajevo.svg.png
B,Tallinn,Estonia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Tallinn.svg/1920px-Flag_of_Tallinn.svg.png
B,Helsinki,Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Helsinki.svg/1024px-Flag_of_Helsinki.svg.png

C,Brussels,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Brussel_vlag.svg/1280px-Brussel_vlag.svg.png
C,Baku,Azerbaijan,https://www.crwflags.com/fotw/images/a/az-baku.gif
C,Budapest,Hungary,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_Budapest_%282011-%29.svg/1280px-Flag_of_Budapest_%282011-%29.svg.png
C,Lisbon,Portugal,https://upload.wikimedia.org/wikipedia/commons/1/16/Bandeira_municipal_de_Lisboa.png
C,Oslo,Norway,https://i.imgur.com/YQfXPrp.png
C,Belgrade,Serbia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flag_of_Belgrade%2C_Serbia.svg/1024px-Flag_of_Belgrade%2C_Serbia.svg.png
C_,Reykjavík,Iceland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Flag_of_Reykjavik%2C_Iceland.svg/1280px-Flag_of_Reykjavik%2C_Iceland.svg.png
C_,Tirana,Albania,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Tirana.svg/1024px-Flag_of_Tirana.svg.png
C_,Valletta,Malta,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Flag_of_Valletta%2C_Malta.svg/1280px-Flag_of_Valletta%2C_Malta.svg.png
