country,name,dates,description,flag

Netherlands,Batavian Republic,1795-1806,French client state,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_the_Batavian_Republic.svg/1024px-Flag_of_the_Batavian_Republic.svg.png
Switzerland,Helvetic Republic,1795-1806,French client state,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_the_Helvetic_Republic_%28French%29.svg/768px-Flag_of_the_Helvetic_Republic_%28French%29.svg.png
Italy,Kingdom of Italy,1805-1814,French client state,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_Napoleonic_Kingdom_of_Italy.svg/1024px-Flag_of_the_Napoleonic_Kingdom_of_Italy.svg.png
Spain,Kingdom of Spain,1808-1813,French client state,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Bandera_de_Espa%C3%B1a_1808-1813.svg/1024px-Bandera_de_Espa%C3%B1a_1808-1813.svg.png
Portugal,Iberian Union,1580-1640,personal union with Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_Portugal_%281578%29.svg/1024px-Flag_Portugal_%281578%29.svg.png
Belgium,Austrian Netherlands,1781-1786,Austrian province,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Austrian_Low_Countries_Flag.svg/1024px-Austrian_Low_Countries_Flag.svg.png
Bosnia and Herzegovina,Austrian Bosnia,1878-1908,Austro-Hungarian rule,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_Bosnia_%281878-1908%29.svg/1024px-Flag_of_Bosnia_%281878-1908%29.svg.png

Russia,Grand Duchy of Moscow,????-1547 [coat of arms],vassal of Golden Horde,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Moscow.svg/1024px-Flag_of_Moscow.svg.png
Norway,United Kingdom of Norway,1818-1844,personal union with Sweden,https://flagspot.net/images/n/no-1818.gif
Iceland,Danish Iceland,1870 [proposed flag],Danish rule,https://guidetoiceland.is/image/341638/x/0/the-icelandic-flag-a-tale-of-identity-9.jpg
Finland,Grand Duchy of Finland,1809-1821,personal union with Russia,http://www.crwflags.com/fotw/images/f/fi~1809.gif
Poland,Congress Poland,1815-1867,personal union with Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg/1024px-Military_ensign_of_Vistula_Flotilla_of_Congress_Poland.svg.png

Ukraine,Ukrainian SSR,1949-91,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Flag_of_Ukrainian_SSR.svg/1024px-Flag_of_Ukrainian_SSR.svg.png
Belarus,Byelorussian SSR,1951-1991,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Byelorussian_SSR.svg/1024px-Flag_of_Byelorussian_SSR.svg.png
Georgia,Georgian SSR,1951-1990,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Georgian_SSR.svg/1024px-Flag_of_Georgian_SSR.svg.png
Armenia,Armenian SSR,1952-1990,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Flag_of_Armenian_SSR.svg/1024px-Flag_of_Armenian_SSR.svg.png
Azerbaijan,Azerbaijan SSR,1952-1991,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_the_Azerbaijan_Soviet_Socialist_Republic.svg/1024px-Flag_of_the_Azerbaijan_Soviet_Socialist_Republic.svg.png
Moldova,Moldavian SSR,1952-1990,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Moldavian_SSR.svg/1024px-Flag_of_Moldavian_SSR.svg.png
Lithuania,Lithuanian SSR,1953-1988,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Flag_of_Lithuanian_SSR.svg/1024px-Flag_of_Lithuanian_SSR.svg.png
Latvia,Latvian SSR,1953-1990,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_Latvian_SSR.svg/1024px-Flag_of_Latvian_SSR.svg.png
Estonia,Estonian SSR,1953-1990,Soviet republic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Flag_of_the_Estonian_Soviet_Socialist_Republic.svg/1024px-Flag_of_the_Estonian_Soviet_Socialist_Republic.svg.png

Greece,Ottoman Greece,????-1821,Ottoman rule,http://www.crwflags.com/fotw/images/t/tr~o-cig.gif
Romania,United Principalities,1859-1881,de jure Ottoman vassal,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_the_United_Principalities_of_Romania_%281862_-_1866%29.svg/1024px-Flag_of_the_United_Principalities_of_Romania_%281862_-_1866%29.svg.png
Albania,Ottoman Albania,????-1912,Ottoman rule,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Ottoman_Albania.png

Ireland,United Kingdom of Ireland,1821-1922,union with Great Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Saint_Patrick%27s_Saltire.svg/1024px-Saint_Patrick%27s_Saltire.svg.png
Cyprus,Crown Colony of Cyprus,1922-1960,British colony,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_Cyprus_%281922-1960%29.svg/1024px-Flag_of_Cyprus_%281922-1960%29.svg.png
Malta,Crown Colony of Malta,1943-1964,British colony,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_Malta_%281943-1964%29.svg/1024px-Flag_of_Malta_%281943-1964%29.svg.png

Germany,Allied Control Council,1945-1949,military occupation,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Merchant_Flag_of_Germany_%281946-1949%29.svg/1024px-Merchant_Flag_of_Germany_%281946-1949%29.svg.png

Czech Republic,Bohemia and Moravia,1939-1945,Nazi protectorate,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Bohmen_und_Mahren.svg/1024px-Flag_of_Bohmen_und_Mahren.svg.png
