group,name,description,image

_e,Vosselaar,"Antwerp, Belgium",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Vosselaar_vlag.svg/1280px-Vosselaar_vlag.svg.png
_e,Groß Gievitz,"Mecklenburg-Vorpommern, Germany",https://www.crwflags.com/fotw/images/d/de-mt-gg.gif
_e,Renkenberge,"Lower Saxony, Germany",https://i.imgur.com/VoEAFyc.jpg
_e,Landesbergen,"Lower Saxony, Germany",https://i.imgur.com/RyxUg1R.jpg
_e,Wulkenzin,"Mecklenburg-Vorpommern, Germany",https://i.imgur.com/mmIToRo.jpg

_c,Skomelno,"Plzeň Region, Czechia",https://rekos.psp.cz/data/images/42544/800x500/123_skomelno-0002.jpg
_c,Lisov,"Plzeň Region, Czechia",https://www.crwflags.com/fotw/images/c/cz-pj-li.gif
_c,Strážov,"Plzeň Region, Czechia,",https://upload.wikimedia.org/wikipedia/commons/e/e0/Str%C3%A1%C5%BEov_vlajka.jpg
_c,Vícenice,"Vysočina Region, Czechia",https://rekos.psp.cz/data/images/41107/800x500/644_vicenice0002.jpg
_c,Leicstershire,"England, UK",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Leicestershire.svg/1024px-Flag_of_Leicestershire.svg.png

_r,Purovsky Raion,"Yamal-Nenetsia, Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Purovsky_rayon_%28Yamal_Nenetsia%29.svg/1280px-Flag_of_Purovsky_rayon_%28Yamal_Nenetsia%29.svg.png
_r,Saransk,"Mordovia, Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Saransk.svg/1280px-Flag_of_Saransk.svg.png
_r,Surgut,"Yugra, Russia",https://upload.wikimedia.org/wikipedia/commons/7/7f/Flag_of_Surgut_%28Khanty-Mansia_%28Yugra%29%29.png
_r,Totma,"Vologda Oblast,Russia",https://www.crwflags.com/fotw/images/r/ru-35-tt.gif
_r,Yeniseysk,"Krasnoyarsk Krai, Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_Eniseysk.svg/1280px-Flag_of_Eniseysk.svg.png

_p,Gmina Lisia Góra,"Małopolska, Poland",https://www.crwflags.com/fotw/images/p/pl-mp-lg.gif
_p,Gmina Grudziądz,"Kujawy-Pomerania, Poland",https://www.crwflags.com/Fotw/images/p/pl-kp-gz.gif
_p,Gmina Tuliszków,"Wielkopolska, Poland",https://www.crwflags.com/fotw/images/p/pl-wp-tl.gif
_p,Dyrøy,"Troms og Finnmark, Norway",https://www.crwflags.com/fotw/images/n/no-19-26.gif
_p,Ivittuut,"Greenland, Denmark",https://www.crwflags.com/fotw/images/g/gl-vg-iv.gif

_a,Northwest Territories,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_the_Northwest_Territories.svg/1024px-Flag_of_the_Northwest_Territories.svg.png
_a,Fox Creek,"Alberta, Canada",https://www.crwflags.com/fotw/images/c/ca-abfxc.gif
_a,Alberton,"Prince Edward Island, Canada",https://www.crwflags.com/fotw/images/c/ca-pealb.gif
_a,St. Charles,"Illinois, USA",https://www.crwflags.com/fotw/images/u/us-ilsch.gif
_a,Arctic Council,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Flag_of_the_Arctic_Council.svg/1280px-Flag_of_the_Arctic_Council.svg.png

