group,name,description,image

_c,Bahamas,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/1920px-Flag_of_the_Bahamas.svg.png
_c,Barbados,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/1280px-Flag_of_Barbados.svg.png
_c,Guadeloupe,unofficial local flag,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Unofficial_flag_of_Guadeloupe_%28local%29.svg/1280px-Unofficial_flag_of_Guadeloupe_%28local%29.svg.png
_c,European Coal &\nSteel Community,6 star version,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Flag_of_the_European_Coal_and_Steel_Community_6_Star_Version.svg/1024px-Flag_of_the_European_Coal_and_Steel_Community_6_Star_Version.svg.png

_tr,Gelderland,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Gelderland.svg/1280px-Flag_of_Gelderland.svg.png
_tr,Placilla,Chile,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Placilla%2C_Chile.svg/1280px-Flag_of_Placilla%2C_Chile.svg.png
_tr,Simití,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Simit%C3%AD_%28Bol%C3%ADvar%29.svg/1280px-Flag_of_Simit%C3%AD_%28Bol%C3%ADvar%29.svg.png
_tr,Chojnice County,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/POL_powiat_chojnicki_flag.svg/1920px-POL_powiat_chojnicki_flag.svg.png
_tr,Eschweiler,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flagge_Eschweiler.svg/1024px-Flagge_Eschweiler.svg.png

_uk,Caithness,Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Caithness.svg/1920px-Flag_of_Caithness.svg.png
_uk,Monmouthshire,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Monmouthshire.svg/1920px-Flag_of_Monmouthshire.svg.png
_uk,Shropshire,England,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_Shropshire.svg/1920px-Flag_of_Shropshire.svg.png
_uk,Flemish Community Commission,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Flemish_Community_Commission.svg/1280px-Flag_of_the_Flemish_Community_Commission.svg.png
_uk,Machelen,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/MachelenVlag.svg/1024px-MachelenVlag.svg.png

_eu,Düren district,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flagge_Kreis_Dueren.svg/1920px-Flagge_Kreis_Dueren.svg.png
_eu,Landkreises Parchim,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flagge_des_Landkreises_Parchim.svg/1024px-Flagge_des_Landkreises_Parchim.svg.png
_eu,Leipzig,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Leipzig.svg/1920px-Flag_of_Leipzig.svg.png
_eu,Wertheim am Main,Germany,https://www.fotw.info/images/d/de-tb-wh1.gif
_eu,Veenendaal,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Veenendaal_Netherlands_flag.svg/1280px-Veenendaal_Netherlands_flag.svg.png

_cz,Bořanovice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Boranovice.svg/1280px-Flag_of_Boranovice.svg.png
_cz,Brno-Útěchov,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Brno-%C3%9At%C4%9Bchov_vlajka.svg/1024px-Brno-%C3%9At%C4%9Bchov_vlajka.svg.png
_cz,Chyne,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/8/87/Chyne_CZ_flag.png
_cz,Dobříň,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Dobrin.svg/1280px-Flag_of_Dobrin.svg.png
_cz,Vlčková,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Vl%C4%8Dkov%C3%A1.svg/1280px-Flag_of_Vl%C4%8Dkov%C3%A1.svg.png

_ua,Donetsk Oblast,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_Donetsk_Oblast.svg/1280px-Flag_of_Donetsk_Oblast.svg.png
_ua,Balta Raion,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Balta_Raion_flag.svg/1280px-Balta_Raion_flag.svg.png
_ua,Puck County,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/POL_powiat_pucki_flag.svg/1920px-POL_powiat_pucki_flag.svg.png
_ua,Kõo Parish,Estonia,https://www.fotw.info/images/e/ee-koo.gif
_ua,Satakunta,Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Satakunta-flag.svg/1920px-Satakunta-flag.svg.png

_am,Jamundí,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_Jamund%C3%AD_%28Valle_del_Cauca%29.svg/1280px-Flag_of_Jamund%C3%AD_%28Valle_del_Cauca%29.svg.png
_am,Porto Velho,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bandeira_de_Porto_Velho.svg/1280px-Bandeira_de_Porto_Velho.svg.png
_am,Burnaby,British Columbia,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Flag_of_Burnaby%2C_BC.svg/1920px-Flag_of_Burnaby%2C_BC.svg.png
_am,Fernie,British Columbia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_Fernie%2C_British_Columbia.svg/1920px-Flag_of_Fernie%2C_British_Columbia.svg.png
_am,Earth Flag,"James Cadle, 1970",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Earth.svg/1024px-Flag_of_Earth.svg.png

