group,name,description,image
_countries,Jamaica,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/1920px-Flag_of_Jamaica.svg.png
_countries,Sultanate of\nSiak Sri Indrapura,"1772-1949",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Sultanate_of_Siak_Sri_Indrapura.svg/1280px-Flag_of_Sultanate_of_Siak_Sri_Indrapura.svg.png
_countries,Tanganyika,1961-1964,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Tanganyika_%281961%E2%80%931964%29.svg/1280px-Flag_of_Tanganyika_%281961%E2%80%931964%29.svg.png
_countries,Republic of\nBenin (Biafra),19 September 1967,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Flag_of_the_Republic_of_Benin.svg/1280px-Flag_of_the_Republic_of_Benin.svg.png
_countries,Princely State of\nSwat,1849-1969,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Swat.svg/1280px-Flag_of_Swat.svg.png

_t,Saxe-Weimar-Eisenach,"1813-1897",https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flagge_Gro%C3%9Fherzogtum_Sachsen-Weimar-Eisenach_%281813-1897%29.svg/1280px-Flagge_Gro%C3%9Fherzogtum_Sachsen-Weimar-Eisenach_%281813-1897%29.svg.png
_t,Saxe-Weimar-Eisenach,"1897-1920",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flagge_Gro%C3%9Fherzogtum_Sachsen-Weimar-Eisenach_%281897-1920%29.svg/1280px-Flagge_Gro%C3%9Fherzogtum_Sachsen-Weimar-Eisenach_%281897-1920%29.svg.png
_t,Bagadó,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Bagad%C3%B3_%28Choc%C3%B3%29.svg/1920px-Flag_of_Bagad%C3%B3_%28Choc%C3%B3%29.svg.png
_t,Remedios,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Remedios_%28Antioquia%29.svg/1920px-Flag_of_Remedios_%28Antioquia%29.svg.png
_t,Santa Rosa de Aguán,Honduras,https://www.crwflags.com/fotw/images/h/hn-cl-07.gif
