group,name,description,image
_s,Nigeria,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/1920px-Flag_of_Nigeria.svg.png
_s,Pakistan,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/1920px-Flag_of_Pakistan.svg.png
_s,Saudi Arabia,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/1920px-Flag_of_Saudi_Arabia.svg.png
_s,Norfolk Island,Australian territory,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Norfolk_Island.svg/1920px-Flag_of_Norfolk_Island.svg.png
_s,North Caucasian Emirate,1919-20,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_North_Caucasian_Emirate.svg/1920px-Flag_of_North_Caucasian_Emirate.svg.png
_s,Egypt,1922-53,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Egypt_%281922%E2%80%931953%29.svg/1920px-Flag_of_Egypt_%281922%E2%80%931953%29.svg.png
_s,Comoros,1978-92,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Flag_of_the_Comoros_%281978%E2%80%931992%29.svg/1920px-Flag_of_the_Comoros_%281978%E2%80%931992%29.svg.png
_s,Rhodesia,1968-79,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Rhodesia_%281968%E2%80%931979%29.svg/1920px-Flag_of_Rhodesia_%281968%E2%80%931979%29.svg.png

_r,Andalusia,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_Andaluc%C3%ADa.svg/1920px-Flag_of_Andaluc%C3%ADa.svg.png
_r,Barra,Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Isle_of_Barra_flag.svg/1920px-Isle_of_Barra_flag.svg.png
_r,Kirkcudbrightshire,Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_Kirkcudbrightshire.svg/1920px-Flag_of_Kirkcudbrightshire.svg.png
_r,Lombardy,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Lombardy.svg/1920px-Flag_of_Lombardy.svg.png
_r,Macau,China,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Flag_of_Macau.svg/1920px-Flag_of_Macau.svg.png
_r,Saxony,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Saxony.svg/1920px-Flag_of_Saxony.svg.png
_r,Wiltshire,England,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/County_Flag_of_Wiltshire.svg/1024px-County_Flag_of_Wiltshire.svg.png
_r,Esperanto,conlang,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Esperanto.svg/1920px-Flag_of_Esperanto.svg.png

_j,Aomori,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Aomori_Prefecture.svg/1024px-Flag_of_Aomori_Prefecture.svg.png
_j,Gifu,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Gifu_Prefecture.svg/1024px-Flag_of_Gifu_Prefecture.svg.png
_j,Kagawa,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Kagawa_Prefecture.svg/1024px-Flag_of_Kagawa_Prefecture.svg.png
_j,Mie,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Mie_Prefecture.svg/1024px-Flag_of_Mie_Prefecture.svg.png
_j,Miyagi,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Miyagi_Prefecture.svg/1024px-Flag_of_Miyagi_Prefecture.svg.png
_j,Tochigi,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_Tochigi_Prefecture.svg/1024px-Flag_of_Tochigi_Prefecture.svg.png
