group,name,description,image
_Country,Malta,(George Cross),https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/1024px-Flag_of_Malta.svg.png
_Country,Vatican City,(Keys of Heaven),https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/1024px-Flag_of_the_Vatican_City.svg.png
_Country,Northern Marianas,(latte stone),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_the_Northern_Mariana_Islands.svg/1024px-Flag_of_the_Northern_Mariana_Islands.svg.png
_Country,New Caledonia,(Pacific Games flag),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/New_Caledonia_Sports_Flag.svg/1024px-New_Caledonia_Sports_Flag.svg.png
_Europe,Brussels,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_Brussels-Capital_Region.svg/1024px-Flag_of_the_Brussels-Capital_Region.svg.png
_Europe,Wanze,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Wanze.svg/1024px-Flag_of_Wanze.svg.png
_Europe,Swieqi,Malta,https://upload.wikimedia.org/wikipedia/commons/6/68/SwieqiHTML.gif
_Europe,Ibi,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Ibi_Spain.svg/1024px-Flag_of_Ibi_Spain.svg.png
_East,Barysaw,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/8e/Flag_of_Barysau.gif
_East,Alūksne,Latvia,https://upload.wikimedia.org/wikipedia/commons/0/09/Bandera_Aluksne.png
_East,Magnitogorsk,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Flag_of_Magnitogorsk_%28Chelyabinsk_oblast%29.svg/1024px-Flag_of_Magnitogorsk_%28Chelyabinsk_oblast%29.svg.png
_East,Kružná,Slovakia,http://tinyimg.io/i/64WP4Ov.png
_Americas,Campana,Argentina,https://upload.wikimedia.org/wikipedia/commons/8/8b/Campana_city_flag.jpg
_Americas,Medio San Juan,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Medio_San_Juan_%28Choc%C3%B3%29.svg/1024px-Flag_of_Medio_San_Juan_%28Choc%C3%B3%29.svg.png
_Americas,Puerto Boyacá,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Puerto_Boyac%C3%A1.svg/1024px-Flag_of_Puerto_Boyac%C3%A1.svg.png
_Americas,Vale del Cauca,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Valle_del_Cauca.svg/1024px-Flag_of_Valle_del_Cauca.svg.png
_Americas2,Pimenta Bueno,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_rondonia_pimenta_bueno.svg/1024px-Flag_rondonia_pimenta_bueno.svg.png
_Americas2,Santiago Region,Chile,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_the_Metropolitan_Region%2C_Chile.svg/1024px-Flag_of_the_Metropolitan_Region%2C_Chile.svg.png
_Americas2,Aguadulce,Panama,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Bandera_de_Aguadulce_%28Panam%C3%A1%29.svg/1024px-Bandera_de_Aguadulce_%28Panam%C3%A1%29.svg.png
_Americas2,Coclé Province,Panama,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bandera_de_la_Provincia_de_Cocl%C3%A9.svg/1024px-Bandera_de_la_Provincia_de_Cocl%C3%A9.svg.png
_Americas3,Las Vegas,Nevada,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Las_Vegas%2C_Nevada.svg/1024px-Flag_of_Las_Vegas%2C_Nevada.svg.png
_Americas3,Montgomery,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Flag_of_Montgomery%2C_Alabama.svg/1024px-Flag_of_Montgomery%2C_Alabama.svg.png
_Americas3,Iribarren,Venezuela,https://www.crwflags.com/fotw/images/v/ve-k-ba.gif
_Americas3,Pasir Puteh,Malaysia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Flag_of_Pasir_Puteh%2C_Kelantan.svg/1024px-Flag_of_Pasir_Puteh%2C_Kelantan.svg.png
_Other,Bear Pride,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Bear_Brotherhood_flag.svg/1024px-Bear_Brotherhood_flag.svg.png
_Other,Agender Pride,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Agender_pride_flag.svg/1024px-Agender_pride_flag.svg.png
_Other,Asexual Pride,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Asexual_Pride_Flag.svg/1024px-Asexual_Pride_Flag.svg.png
_Other,Demisexual Pride,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Demisexual_Pride_Flag.svg/1024px-Demisexual_Pride_Flag.svg.png
