group,name,description,image

_i,Mozambique,Kalashnikov,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/1280px-Flag_of_Mozambique.svg.png
_i,Guatemala,Remington rifles,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/1024px-Flag_of_Guatemala.svg.png
_i,Bolivia,"cannons, rifles",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Bandera_de_Bolivia_%28Estado%29.svg/1024px-Bandera_de_Bolivia_%28Estado%29.svg.png
_i,Haiti,"cannons, rifles",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/1024px-Flag_of_Haiti.svg.png
_i,"Afghanistan (1901-1919)",cannons,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Afghanistan_%281901%E2%80%931919%29.svg/1024px-Flag_of_Afghanistan_%281901%E2%80%931919%29.svg.png

_i2,"Zimbabwe presidential flag",Kalashnikov,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_the_President_of_Zimbabwe.svg/1024px-Flag_of_the_President_of_Zimbabwe.svg.png
_i2,"Panama presidential flag",rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Presidential_Flag_of_Panama.svg/1024px-Presidential_Flag_of_Panama.svg.png
_i2,"Hezbollah, Lebanon",assault rifle,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Flag_of_Hezbollah.svg/1024px-Flag_of_Hezbollah.svg.png
_i2,"MRTA, Peru",assault rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_MRTA.svg/1024px-Flag_of_the_MRTA.svg.png
_i2,"Tamil Eelam, Sri Lanka","bayonets, bullets",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Tamil_Eelam_Flag.svg/1920px-Tamil_Eelam_Flag.svg.png

_u,"Delaware, USA",musket,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/1024px-Flag_of_Delaware.svg.png
_u,"Michigan, USA",long gun,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Flag_of_Michigan.svg/1024px-Flag_of_Michigan.svg.png
_u,"Minnesota, USA",rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Minnesota.svg/1024px-Flag_of_Minnesota.svg.png
_u,"West Virginia, USA",hunting rifles,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_West_Virginia.svg/1024px-Flag_of_West_Virginia.svg.png
_u,"Edmonton, Canada",musket,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Flag_of_Edmonton.svg/1024px-Flag_of_Edmonton.svg.png

_r,"Kamensk-Uralsky, Russia",cannon,https://media.istockphoto.com/vectors/flag-of-kamenskuralsky-in-sverdlovsk-oblast-in-russian-federation-vector-id1278310976?k=6&m=1278310976&s=170667a&w=0&h=v1ccOLfWQsWIn0F6qAXRT_NbhfHCbkJ-AhRIyB5j4Ws=
_r,"Kirovsky Raion, Russia",cannons,https://upload.wikimedia.org/wikipedia/commons/5/5f/Flag_of_Kirovsky_rayon_%28Stavropol_krai%29.png
_r,"Smolensk Oblast, Russia",cannon,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Smolensk_oblast.svg/1024px-Flag_of_Smolensk_oblast.svg.png
_r,"Stary Oskol, Russia",rifle,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Stary_Oskol_%28Belgorod_oblast%29.png
_r,"Büchslen, Switzerland",matchlocks rifles,https://www.crwflags.com/fotw/images/c/ch-fr140.gif

_e,"Dnipropetrovsk Oblast, Ukraine",rifle,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Dnipropetrovsk_Oblast.svg/1280px-Flag_of_Dnipropetrovsk_Oblast.svg.png
_e,"Zaporzhzhia, Ukraine",muskets,https://ukrainetrek.com/images/flag/zaporozhye-city-flag.gif
_e,"Hajdúböszörmény, Hungary",pistol discharging,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Flag_of_Hajd%C3%BAb%C3%B6sz%C3%B6rm%C3%A9ny.svg/1024px-Flag_of_Hajd%C3%BAb%C3%B6sz%C3%B6rm%C3%A9ny.svg.png
_e,"Kapuvár, Hungary","gun, cannon",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_Kapuv%C3%A1r.svg/1024px-Flag_of_Kapuv%C3%A1r.svg.png
_e,"Kunszentmiklos, Hungary",pistols,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_Kunszentmikl%C3%B3s.svg/1920px-Flag_of_Kunszentmikl%C3%B3s.svg.png

