group,name,description,image
_countries,Brunei,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/1920px-Flag_of_Brunei.svg.png
_countries,San Marcos,1971 film Bananas,https://www.crwflags.com/fotw/images/f/fic(smar.gif
_countries,Belka,Ace Combat game,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_Principality_of_Belka.svg/800px-Flag_of_the_Principality_of_Belka.svg.png

_triband,Russian Empire,1858–1896,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Russian_Empire_%28black-yellow-white%29.svg/1280px-Flag_of_the_Russian_Empire_%28black-yellow-white%29.svg.png
_triband,Waslala,Nicaragua,https://www.crwflags.com/fotw/images/n/ni-zn-06.gif
_triband,Tarnowskie Góry,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/POL_Tarnowskie_G%C3%B3ry_flag.svg/1920px-POL_Tarnowskie_G%C3%B3ry_flag.svg.png
_triband,Perak,Malaysia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Perak.svg/1920px-Flag_of_Perak.svg.png
_triband,Garifuna people,Saint Vincent,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Garifuna.svg/1024px-Flag_of_Garifuna.svg.png

_cz,Bobrová,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/6/6a/Bobrova_CZ_flag.png
_cz,Budišovice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/1/1f/Budi%C5%A1ovice_flag.jpg
_cz,Černá Voda,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Cerna_Voda_CZ_flag.svg/1280px-Cerna_Voda_CZ_flag.svg.png
_cz,Černolice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/2/2d/Cernolice_CZ_flag.png
_cz,Křižanov,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/9/9f/K%C5%99i%C5%BEanov_ZR_flag.gif
_cz,Lomnice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/9/97/Lomnice_BO_CZ_flag.gif

_cz2,Moravské Budějovice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Moravsk%C3%A9_Bud%C4%9Bjovice_TR_flag.svg/1280px-Moravsk%C3%A9_Bud%C4%9Bjovice_TR_flag.svg.png
_cz2,Olešnice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/d/d8/Ole%C5%A1nice-vlajka.gif
_cz2,Panenský Týnec,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/a/ab/Panensk%C3%BD_T%C3%BDnec_vlajka.jpg
_cz2,Radostín nad Oslavou,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/8/80/Flag_of_Radost%C3%ADn_nad_Oslavou.jpg
_cz2,Ralsko,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/a/ac/Ralsko_CZ_flag.gif
_cz2,Světec,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sv%C4%9Btec.svg/1280px-Flag_of_Sv%C4%9Btec.svg.png

_a,Norfolk,England,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Flag_of_Norfolk.svg/1920px-Flag_of_Norfolk.svg.png
_a,Sutherland,Scotland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Flag_of_Sutherland_2018.svg/1920px-Flag_of_Sutherland_2018.svg.png
_a,Großheide,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flagge_Gro%C3%9Fheide.svg/1024px-Flagge_Gro%C3%9Fheide.svg.png
_a,Zollernalbkreis,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flagge_Zollernalbkreis.svg/1920px-Flagge_Zollernalbkreis.svg.png
_a,Gmina Zakliczyn,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/POL_gmina_Zakliczyn_flag.svg/1024px-POL_gmina_Zakliczyn_flag.svg.png
_a,Lower Silesia,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/POL_wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie_flag.svg/1920px-POL_wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie_flag.svg.png

_b,Raalte,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Raalte_vlag.svg/1024px-Raalte_vlag.svg.png
_b,South Savo,Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_South_Savonia.svg/1024px-Flag_of_South_Savonia.svg.png
_b,Hoeselt,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_Hoeselt.svg/1280px-Flag_of_Hoeselt.svg.png
_b,Isla,Malta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Isla.svg/1024px-Flag_of_Isla.svg.png
_b,Volta Redonda,Brazil,https://www.crwflags.com/fotw/images/b/br-rj-vr.gif
_b,Yogyakarta,Indonesia,https://upload.wikimedia.org/wikipedia/commons/0/02/5._Flag_of_Yogyakarta_City.png

_y,Arcachon,France,https://www.crwflags.com/fotw/images/f/fr-33-ar.gif
_y,Tourcoing,France,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Tourcoing.svg/1280px-Flag_of_Tourcoing.svg.png
_y,Margraten,Netherlands,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Margraten.png
_y,Devín,Slovakia,https://www.crwflags.com/fotw/images/s/sk-ba-dv.gif
_y,Otepää Parish,Estonia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Otep%C3%A4%C3%A4_Parish.svg/1920px-Flag_of_Otep%C3%A4%C3%A4_Parish.svg.png
_y,Tootsi,Estonia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Tootsi_Parish.svg/1024px-Flag_of_Tootsi_Parish.svg.png

