group,name,description,image

_s,Marshall Islands,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/1920px-Flag_of_the_Marshall_Islands.svg.png
_s,Prince's Flag,"1572–1795, Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Prinsenvlag.svg/1024px-Prinsenvlag.svg.png
_s,South Africa,1928-1994,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_South_Africa_%281928%E2%80%931994%29.svg/1920px-Flag_of_South_Africa_%281928%E2%80%931994%29.svg.png
_s,Republic of Anguilla,1967-1969,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Anguilla_%281967-1969%29.svg/1920px-Flag_of_Anguilla_%281967-1969%29.svg.png

_c,Albany,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Albany%2C_New_York.svg/1920px-Flag_of_Albany%2C_New_York.svg.png
_c,New York City,"New York",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_New_York_City.svg/1920px-Flag_of_New_York_City.svg.png
_c,Milwaukee,"People's Flag, Wisconsin",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/People%27s_Flag_of_Milwaukee.svg/1920px-People%27s_Flag_of_Milwaukee.svg.png
_c,Redding,California,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Redding%2C_California.svg/1920px-Flag_of_Redding%2C_California.svg.png

_j,Shizuoka Prefecture,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Shizuoka_Prefecture.svg/1024px-Flag_of_Shizuoka_Prefecture.svg.png
_j,Hanamaki,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Hanamaki%2C_Iwate.svg/1920px-Flag_of_Hanamaki%2C_Iwate.svg.png
_j,Nagiso,Japan,https://www.crwflags.com/fotw/images/j/jp-20-ns.gif
_j,Nishiizu,Japan,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Nishiizu_Shizuoka.JPG

_o,Ludwin,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/POL_gmina_Ludwin_flag.svg/1024px-POL_gmina_Ludwin_flag.svg.png
_o,Netanya,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Netanya.svg/1024px-Flag_of_Netanya.svg.png
_o,Cockermouth,UK,https://web.archive.org/web/20131215110323im_/http://cockermouthcivictrust.co.uk/wp-content/uploads/2012/11/Cockermouth-Flag-0.3.2-1024x614.jpg
_o,Isles of Scilly,UK,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/ScillonianCross.svg/1024px-ScillonianCross.svg.png

_r,Bophuthatswana,"Bantustan, 1977-1984",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Bophuthatswana_%281972%E2%80%931994%29.svg/1920px-Flag_of_Bophuthatswana_%281972%E2%80%931994%29.svg.png
_r,Tocantins,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bandeira_do_Tocantins.svg/1280px-Bandeira_do_Tocantins.svg.png
_r,Tierra del Fuego,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bandera_de_la_Provincia_de_Tierra_del_Fuego.svg/1024px-Bandera_de_la_Provincia_de_Tierra_del_Fuego.svg.png
_r,World Association of\nGirl Guides and Girl Scouts,,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/World_Association_of_Girl_Guides_and_Girl_Scouts_flag.svg/1920px-World_Association_of_Girl_Guides_and_Girl_Scouts_flag.svg.png


