group,name,description,image

_ind,Western Thrace,1913,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_TRWT.svg/1280px-Flag_of_TRWT.svg.png
_ind,Syria,1932-1958,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Syria_%281932%E2%80%931958%2C_1961%E2%80%931963%29.svg/1024px-Flag_of_Syria_%281932%E2%80%931958%2C_1961%E2%80%931963%29.svg.png
_ind,Iraq,1959-1963,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Iraq_%281959%E2%80%931963%29.svg/1024px-Flag_of_Iraq_%281959%E2%80%931963%29.svg.png
_ind,Afghanistan,2001-2002,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Afghanistan_%282001%E2%80%932002%29.svg/1024px-Flag_of_Afghanistan_%282001%E2%80%932002%29.svg.png
_ind,Zielebach,Switzerland,https://www.fotw.info/images/c/ch-be146.gif

_tri,Zipacón,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Zipac%C3%B3n_%28Cundinamarca%29.svg/1280px-Flag_of_Zipac%C3%B3n_%28Cundinamarca%29.svg.png
_tri,Putumayo Department,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_Putumayo.svg/1280px-Flag_of_Putumayo.svg.png
_tri,Stochov,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_Stochov.svg/1280px-Flag_of_Stochov.svg.png
_tri,Gelsenkirchen,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flagge_der_kreisfreien_Stadt_Gelsenkirchen.svg/1920px-Flagge_der_kreisfreien_Stadt_Gelsenkirchen.svg.png
_tri,Mur,Switzerland,https://www.crwflags.com/fotw/images/c/ch-vd042.gif

_be,East Flanders,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Oost-Vlaanderen.svg/1920px-Flag_of_Oost-Vlaanderen.svg.png
_be,Merksplas,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Merksplas.svg/1280px-Flag_of_Merksplas.svg.png
_be,Torhout,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Torhout.svg/1280px-Flag_of_Torhout.svg.png
_be,Bloemendaal,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Bloemendaal_vlag_2019.svg/1280px-Bloemendaal_vlag_2019.svg.png
_be,Thayngen,Switzerland,https://www.fotw.info/images/c/ch-sh015.gif

_eu,Devon,England,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Devon.svg/1920px-Flag_of_Devon.svg.png
_eu,Heathfield,England,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Heathfield_Village_Flag.svg/1920px-Heathfield_Village_Flag.svg.png
_eu,Nenthead,England,https://www.crwflags.com/fotw/images/g/gb-enthd.gif
_eu,Ahrweiler county,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flagge_Landkreis_Ahrweiler.svg/1920px-Flagge_Landkreis_Ahrweiler.svg.png
_eu,Bourrignon,Switzerland,https://www.fotw.info/images/c/ch-ju003.gif

_se,Bourg-en-Bresse,France,https://www.fotw.info/images/f/fr-01-bb.gif
_se,Marche,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Marche.svg/1280px-Flag_of_Marche.svg.png
_se,Extremadura,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Extremadura_%28with_coat_of_arms%29.svg/1280px-Flag_of_Extremadura_%28with_coat_of_arms%29.svg.png
_se,Vidrà,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Bandera_de_Vidr%C3%A0.svg/1280px-Bandera_de_Vidr%C3%A0.svg.png
_se,Hasle,Switzerland,https://www.fotw.info/images/c/ch-lu005.gif

_ee,Asipovichy,Belarus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Osipovichi%2C_Belarus.svg/1920px-Flag_of_Osipovichi%2C_Belarus.svg.png
