group,name,description,image

_ind,Cocos (Keeling) Islands,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Cocos_%28Keeling%29_Islands.svg/1920px-Flag_of_the_Cocos_%28Keeling%29_Islands.svg.png
_ind,Iran,1576-1732,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Safavid_Flag.svg/1024px-Safavid_Flag.svg.png
_ind,Empire of Brazil,1822-1889,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flag_of_Brazil_%281870%E2%80%931889%29.svg/1280px-Flag_of_Brazil_%281870%E2%80%931889%29.svg.png
_ind,Rampur State,1774-1947,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_the_Rampur_State.svg/1920px-Flag_of_the_Rampur_State.svg.png
_ind,Senegal,1958-1959,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Senegal_%281958%E2%80%931959%29.svg/1920px-Flag_of_Senegal_%281958%E2%80%931959%29.svg.png
_ind,Mauritania,1959–2017,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Mauritania_%281959%E2%80%932017%29.svg/1920px-Flag_of_Mauritania_%281959%E2%80%932017%29.svg.png

_eth,Erin go bragh,Ireland,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Erin_Go_Bragh_Banner.svg/1920px-Erin_Go_Bragh_Banner.svg.png
_eth,Pirin Macedonians,Bulgaria,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Pirin_Macedonia_%28Ethnic_Macedonians_in_Bulgaria%29.svg/1024px-Flag_of_Pirin_Macedonia_%28Ethnic_Macedonians_in_Bulgaria%29.svg.png
_eth,Circassian people,North Caucasus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Circassian_flag.svg/1920px-Circassian_flag.svg.png
_eth,Siberian Tatars,Siberia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Flag_of_the_Sybyr_people.svg/1024px-Flag_of_the_Sybyr_people.svg.png
_eth,Rohingya people,Myanmar,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Rohingya_flag.png/1024px-Rohingya_flag.png
_eth,Boxing kangaroo,Australia,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Boxingkangaroo.svg/1920px-Boxingkangaroo.svg.png

_uk,Evenley,England,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Evenley_village_flag.svg/1920px-Evenley_village_flag.svg.png
_uk,Finchfield,England,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Finchfield_village_flag.svg/1920px-Finchfield_village_flag.svg.png
_uk,Four Elms,England,https://www.crwflags.com/fotw/images/g/gb-e4elms.gif
