group,name,description,image
_ind,Brazil,,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/1280px-Flag_of_Brazil.svg.png
_ind,Gabon,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/1280px-Flag_of_Gabon.svg.png
_ind,Rwanda,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Rwanda.svg/1280px-Flag_of_Rwanda.svg.png
_ind,Saint Vincent and\nthe Grenadines,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/1280px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png
_ind,Solomon Islands,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/1920px-Flag_of_the_Solomon_Islands.svg.png
_ind,Namibia,presidential standard,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_the_President_of_Namibia.svg/1280px-Flag_of_the_President_of_Namibia.svg.png

_ind2,Sudan,1957-70,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Sudan_%281956%E2%80%931970%29.svg/1024px-Flag_of_Sudan_%281956%E2%80%931970%29.svg.png
_ind2,Uganda,"1962, unofficial",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Flag_of_Uganda_1962.svg/1024px-Flag_of_Uganda_1962.svg.png
_ind2,Grenada,"1967-74",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Grenada_%281967%E2%80%931974%29.svg/1024px-Flag_of_Grenada_%281967%E2%80%931974%29.svg.png
_ind2,Saint Christopher-\nNevis-Anguilla,1967-83,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Saint_Christopher-Nevis-Anguilla.svg/1920px-Flag_of_Saint_Christopher-Nevis-Anguilla.svg.png
_ind2,Christmas Island,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Christmas_Island.svg/1024px-Flag_of_Christmas_Island.svg.png
_ind2,Southern African\nDevelopment Community,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_SADC.svg/1920px-Flag_of_SADC.svg.png

_tri,Bandung,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Municipal_Flag_of_Bandung%2C_Indonesia.svg/1920px-Municipal_Flag_of_Bandung%2C_Indonesia.svg.png
_tri,Bełchatów,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/POL_Be%C5%82chat%C3%B3w_flag.svg/1024px-POL_Be%C5%82chat%C3%B3w_flag.svg.png
_tri,Guainía Department,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Guain%C3%ADa.svg/1280px-Flag_of_Guain%C3%ADa.svg.png
_tri,San Roque,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_San_Roque_%28Antioquia%29.svg/1920px-Flag_of_San_Roque_%28Antioquia%29.svg.png
_tri,Zaamar,Mongolia,https://www.fotw.info/images/m/mn-tov-zaa.gif
_tri,El Guamo,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flag_of_El_Guamo_%28Bol%C3%ADvar%29.svg/1280px-Flag_of_El_Guamo_%28Bol%C3%ADvar%29.svg.png

_a,Berber flag,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Berber_flag.svg/1024px-Berber_flag.svg.png
_a,Ogoni people,Nigeria,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_the_Ogoni_people.svg/1024px-Flag_of_the_Ogoni_people.svg.png
_a,Rwenzururu Kingdom,Uganda,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Rwenzururu.svg/1280px-Flag_of_Rwenzururu.svg.png
_a,KwaNdebele,"Bantustan, 1981-94",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_KwaNdbele.svg/1920px-Flag_of_KwaNdbele.svg.png
_a,Touho,New Caledonia,https://www.crwflags.com/fotw/images/n/nc-to.gif
_a,Peguis First Nation,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Peguis_First_Nation.svg/1920px-Flag_of_the_Peguis_First_Nation.svg.png

_s,Buenos Aires Province,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Bandera_de_la_Provincia_de_Buenos_Aires.svg/1920px-Bandera_de_la_Provincia_de_Buenos_Aires.svg.png
_s,Amapá,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Bandeira_do_Amap%C3%A1.svg/1280px-Bandeira_do_Amap%C3%A1.svg.png
_s,Goiás,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_Goi%C3%A1s.svg/1024px-Flag_of_Goi%C3%A1s.svg.png
_s,Rondônia,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Bandeira_de_Rond%C3%B4nia.svg/1280px-Bandeira_de_Rond%C3%B4nia.svg.png
_s,Bolívar,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Bol%C3%ADvar_State.svg/1280px-Flag_of_Bol%C3%ADvar_State.svg.png
_s,Nueva Esparta,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Nueva_Esparta.svg/1280px-Flag_of_Nueva_Esparta.svg.png

_e,Kutaisi,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kutaisi%2C_Georgia.svg/1024px-Flag_of_Kutaisi%2C_Georgia.svg.png
_e,Saulkrasti,Latvia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Saulkrasti.svg/1920px-Flag_of_Saulkrasti.svg.png
_e,Bar,Montenegro,https://www.fotw.info/images/m/me-bar.gif
_e,Bosilovo,North Macedonia,https://www.fotw.info/images/m/mk-bosi.gif
