group,name,description,image

_tr,Sucumbíos Province,Ecuador,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Bandera_Provincia_Sucumb%C3%ADos.svg/1280px-Bandera_Provincia_Sucumb%C3%ADos.svg.png
_tr,Sesquilé,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Sesquil%C3%A9_%28Cundinamarca%29.svg/1024px-Flag_of_Sesquil%C3%A9_%28Cundinamarca%29.svg.png
_tr,San Ramón,Nicaragua,https://fotw.info/images/n/ni-mt-10.gif
_tr,Františkovy Lázně,Czechia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Frantiskovy_Lazne.svg/1024px-Flag_of_Frantiskovy_Lazne.svg.png
_tr,Hulia Department,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Flag_of_Huila.svg/1280px-Flag_of_Huila.svg.png
_tr,Guayanilla,Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Guayanilla.svg/1280px-Flag_of_Guayanilla.svg.png

_eu,Anthisnes,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Anthisnes_Belgium.svg/1280px-Anthisnes_Belgium.svg.png
_eu,Soest,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Soest_flag.svg/1024px-Soest_flag.svg.png
_eu,Winsum,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/VlagWinsum.svg/1024px-VlagWinsum.svg.png
_eu,Lentegí,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Bandera_de_Lenteg%C3%AD_%28Granada%29.svg/1280px-Bandera_de_Lenteg%C3%AD_%28Granada%29.svg.png
_eu,Vilanova del Vallès,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Vilanova_del_Vall%C3%A8s.svg/1280px-Flag_of_Vilanova_del_Vall%C3%A8s.svg.png
_eu,Wiltshire,UK,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/County_Flag_of_Wiltshire.svg/1920px-County_Flag_of_Wiltshire.svg.png

_ee,Luková,Czechia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Lukova_CZ.svg/1024px-Flag_of_Lukova_CZ.svg.png
_ee,Rohovládova Bělá,Czechia,https://www.crwflags.com/fotw/images/c/cz-pu-rv.gif
_ee,Hoštice-Heroltice,Czechia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Vlajka_obce_Hostice-Heroltice.svg/1280px-Vlajka_obce_Hostice-Heroltice.svg.png
_ee,Cantemir District,Moldova,https://www.fotw.info/images/m/md-ct.gif
_ee,Zielona Góra,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/POL_Zielona_G%C3%B3ra_flag.svg/1920px-POL_Zielona_G%C3%B3ra_flag.svg.png
_ee,Vaud,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_Canton_of_Vaud.svg/1020px-Flag_of_Canton_of_Vaud.svg.png

_as,Macau,China,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Flag_of_Macau.svg/1280px-Flag_of_Macau.svg.png
_as,Ehime Prefecture,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_Ehime_Prefecture.svg/1024px-Flag_of_Ehime_Prefecture.svg.png
_as,Aya,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_Aya_Miyazaki.svg/1280px-Flag_of_Aya_Miyazaki.svg.png
_as,Sarabetsu,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Sarabetsu%2C_Hokkaido.svg/1024px-Flag_of_Sarabetsu%2C_Hokkaido.svg.png
_as,Aceh,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Aceh%2C_Indonesia.svg/1280px-Flag_of_Aceh%2C_Indonesia.svg.png
_as,Eastern Sumatra,"United States of Indonesia, 1947-50",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_East_Sumatra.svg/1024px-Flag_of_East_Sumatra.svg.png

_co,Amazonas Department,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Amazonas_%28Colombia%29.svg/1280px-Flag_of_Amazonas_%28Colombia%29.svg.png
_co,Caquetá Department,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_Caquet%C3%A1.svg/1280px-Flag_of_Caquet%C3%A1.svg.png
