group,name,description,image

union,Bulgaria,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Naval_Jack_of_Bulgaria.svg/1024px-Naval_Jack_of_Bulgaria.svg.png
union,Estonia,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Naval_Jack_of_Estonia.svg/1024px-Naval_Jack_of_Estonia.svg.png
union,Georgia,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Naval_Ensign_of_Georgia.svg/1024px-Naval_Ensign_of_Georgia.svg.png
union,Latvia,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Naval_Jack_of_Latvia.svg/1024px-Naval_Jack_of_Latvia.svg.png
union,Russia,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Naval_Jack_of_Russia.svg/1024px-Naval_Jack_of_Russia.svg.png
union,United Kingdom,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/1024px-Flag_of_the_United_Kingdom.svg.png

arms,Croatia,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Naval_Jack_of_Croatia.svg/1024px-Naval_Jack_of_Croatia.svg.png
arms,France,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/1024px-Flag_of_France.svg.png
arms,Lithuania,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Flag_of_Lithuania_%28state%29.svg/1024px-Flag_of_Lithuania_%28state%29.svg.png
arms,Ireland,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Naval_jack_of_Ireland.svg/1024px-Naval_jack_of_Ireland.svg.png
arms,Netherlands,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Naval_Jack_of_the_Netherlands.svg/1024px-Naval_Jack_of_the_Netherlands.svg.png
arms,Slovenia,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Naval_jack_of_Slovenia.svg/1024px-Naval_jack_of_Slovenia.svg.png
arms,Ukraine,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/1024px-Flag_of_Ukraine.svg.png

flag,Denmark,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Naval_Ensign_of_Denmark.svg/1024px-Naval_Ensign_of_Denmark.svg.png
flag,Germany,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Naval_Ensign_of_Germany.svg/1024px-Naval_Ensign_of_Germany.svg.png
flag,Sweden,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Naval_Ensign_of_Sweden.svg/1024px-Naval_Ensign_of_Sweden.svg.png
flag,Belgium,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Naval_Jack_of_Belgium.svg/1024px-Naval_Jack_of_Belgium.svg.png
flag,Greece,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Naval_Jack_of_Greece.svg/1024px-Naval_Jack_of_Greece.svg.png
flag,Norway,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Naval_Jack_of_Norway.svg/1024px-Naval_Jack_of_Norway.svg.png
flag,Romania,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Naval_Jack_of_Romania.svg/1024px-Naval_Jack_of_Romania.svg.png

square,Finland,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Naval_Jack_of_Finland.svg/1024px-Naval_Jack_of_Finland.svg.png
square,Kazakhstan,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Naval_Jack_of_Kazakhstan.svg/1024px-Naval_Jack_of_Kazakhstan.svg.png
square,Italy,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Naval_Jack_of_Italy.svg/1024px-Naval_Jack_of_Italy.svg.png
square,Montenegro,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Naval_Jack_of_Montenegro.svg/768px-Naval_Jack_of_Montenegro.svg.png
square,Poland,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Naval_Jack_of_Poland.svg/922px-Naval_Jack_of_Poland.svg.png
square,Portugal,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Naval_Jack_of_Portugal.svg/1024px-Naval_Jack_of_Portugal.svg.png
square,Spain,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Naval_Jack_of_Spain.svg/1024px-Naval_Jack_of_Spain.svg.png


