name,etymology,flag
Aichi,stylised あ (A),https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Aichi_Prefecture.svg/1024px-Flag_of_Aichi_Prefecture.svg.png
Akita,stylised ア (A),https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Akita_Prefecture.svg/1024px-Flag_of_Akita_Prefecture.svg.png
Aomori,stylised map,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Aomori_Prefecture.svg/1024px-Flag_of_Aomori_Prefecture.svg.png
Chiba,stylised チハ (CHIHA),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Chiba_Prefecture.svg/1024px-Flag_of_Chiba_Prefecture.svg.png
Ehime,prefecture flower,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_Ehime_Prefecture.svg/1024px-Flag_of_Ehime_Prefecture.svg.png
Fukui,stylised フクイ (FUKUI),https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Fukui_Prefecture.svg/1024px-Flag_of_Fukui_Prefecture.svg.png
Fukuoka,prefecture flower,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Fukuoka_Prefecture.svg/1280px-Flag_of_Fukuoka_Prefecture.svg.png
Fukushima,stylised ふ (FU),https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Fukushima_Prefecture.svg/1280px-Flag_of_Fukushima_Prefecture.svg.png
Gifu,stylised 岐 (GI),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Gifu_Prefecture.svg/1280px-Flag_of_Gifu_Prefecture.svg.png
Gunma,stylised 群 (GUN) + 3 mountains,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Gunma_Prefecture.svg/1280px-Flag_of_Gunma_Prefecture.svg.png
Hiroshima,stylised ヒ (HI),https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Hiroshima_Prefecture.svg/1280px-Flag_of_Hiroshima_Prefecture.svg.png
Hokkaidō,star,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_Hokkaido_Prefecture.svg/1280px-Flag_of_Hokkaido_Prefecture.svg.png
Hyōgo,stylised 兵 (HYO),https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Hyogo_Prefecture.svg/1280px-Flag_of_Hyogo_Prefecture.svg.png
Ibaraki,prefecture flower,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Ibaraki_Prefecture.svg/1024px-Flag_of_Ibaraki_Prefecture.svg.png
Ishikawa,stylised 石川 (ISHIKAWA),https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Ishikawa_Prefecture.svg/1280px-Flag_of_Ishikawa_Prefecture.svg.png
Iwate,stylised 岩 (IWA),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Iwate_Prefecture.svg/1280px-Flag_of_Iwate_Prefecture.svg.png
Kagawa,stylised カ (KA),https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Kagawa_Prefecture.svg/1024px-Flag_of_Kagawa_Prefecture.svg.png
Kagoshima,stylised map,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Flag_of_Kagoshima_Prefecture.svg/1024px-Flag_of_Kagoshima_Prefecture.svg.png
Kanagawa,stylised 神 (KA),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Kanagawa_Prefecture.svg/1024px-Flag_of_Kanagawa_Prefecture.svg.png
Kōchi,stylised コ (KO) + old name 土 (TO),https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Kochi_Prefecture.svg/1024px-Flag_of_Kochi_Prefecture.svg.png
Kumamoto,stylised ク (KU),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Kumamoto_Prefecture.svg/1024px-Flag_of_Kumamoto_Prefecture.svg.png
Kyōto,stylised 京 (KYO),https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Kyoto_Prefecture.svg/1024px-Flag_of_Kyoto_Prefecture.svg.png
Mie,stylised み (MI),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Mie_Prefecture.svg/1024px-Flag_of_Mie_Prefecture.svg.png
