letter,name,description,image
A,Aldana,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Aldana.svg/1280px-Flag_of_Aldana.svg.png
B,Bocas del Toro Province,Panama,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Bandera_de_la_Provincia_de_Bocas_del_Toro.svg/1280px-Bandera_de_la_Provincia_de_Bocas_del_Toro.svg.png
C,Colorado,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Colorado.svg/1280px-Flag_of_Colorado.svg.png
D,Douai,France,https://www.fotw.info/images/f/fr-59-do.gif
E,Queen Elizbeth II,personal flag,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Personal_flag_of_Queen_Elizabeth_II_%28rectangular%29.svg/1920px-Personal_flag_of_Queen_Elizabeth_II_%28rectangular%29.svg.png
F,Budišov nad Budišovkou,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/f/fc/Vlajka_obce_Budi%C5%A1ov_nad_Budi%C5%A1ovkou.gif
G,Kraslice,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_Kraslice.svg/1024px-Flag_of_Kraslice.svg.png
H,Hergiswil,Switzerland,https://www.fotw.info/images/c/ch-lu089.gif
I,Ingalls Shipbuilding,Mississippi,https://www.crwflags.com/fotw/images/u/us~ingal.gif
J,Jesenice,Slovenia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Jesenice.svg/1024px-Flag_of_Jesenice.svg.png
K,Kinshasa,DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kinshasa_Flag.svg/1920px-Kinshasa_Flag.svg.png
L,Lichtensteig,Switzerland,https://www.fotw.info/images/c/ch-sg018.gif
M,Majšperk,Slovenia,https://www.crwflags.com/fotw/images/s/si-069.gif
N,Noble County,Ohio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Noble_County%2C_Ohio.svg/1920px-Flag_of_Noble_County%2C_Ohio.svg.png
O,Ohio,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/1920px-Flag_of_Ohio.svg.png
P,Spain pilot flag,1931-39,https://www.fotw.info/images/e/es~p1931.gif
Q,Queenstown,Maryland,http://areciboweb.50megs.com/fotw/images/u/us-mdque.gif
R,Rwanda,1962-2001,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_Rwanda_%281962%E2%80%932001%29.svg/1280px-Flag_of_Rwanda_%281962%E2%80%932001%29.svg.png
S,Sano,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Sano_Tochigi.svg/1920px-Flag_of_Sano_Tochigi.svg.png
T,Els Pallaresos,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Flag_of_Els_Pallaresos.svg/1280px-Flag_of_Els_Pallaresos.svg.png
U,Urayasu,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Urayasu%2C_Chiba.svg/1280px-Flag_of_Urayasu%2C_Chiba.svg.png
V,Venda,"Bantustan, 1973-94",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Venda_%281973%E2%80%931994%29.svg/1280px-Flag_of_Venda_%281973%E2%80%931994%29.svg.png
W,Gmina Michałowice,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/POL_gmina_Micha%C5%82owice_flag.svg/1920px-POL_gmina_Micha%C5%82owice_flag.svg.png
X,Montfoort,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Montfoort_vlag.svg/1280px-Montfoort_vlag.svg.png
Y,Kobyaysky District,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Kobyaysky_District.svg/1024px-Flag_of_Kobyaysky_District.svg.png
Z,Zevenaar,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Zevenaar.svg/1280px-Flag_of_Zevenaar.svg.png
