group,name,description,image
countries,Djibouti,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/1024px-Flag_of_Djibouti.svg.png
countries,Fiji,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/1024px-Flag_of_Fiji.svg.png
countries,Togo,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Togo.svg/1024px-Flag_of_Togo.svg.png

capitals,Quito,Ecuador,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Quito.svg/1024px-Flag_of_Quito.svg.png
capitals,St. John's,Antigua and Barbuda
capitals,Tunis,Tunisia,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Flag_of_Tunis.svg/1024px-Flag_of_Tunis.svg.png

regions,Junín,Peru,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Bandera_Jun%C3%ADn.png/1024px-Bandera_Jun%C3%ADn.png
regions,Quindío,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Quind%C3%ADo.svg/1024px-Flag_of_Quind%C3%ADo.svg.png
regions,Ohio,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/1024px-Flag_of_Ohio.svg.png

_regions,Doubs,France,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Doubs.svg/1024px-Flag_of_Doubs.svg.png
_regions,Hyōgo,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Hyogo_Prefecture.svg/1024px-Flag_of_Hyogo_Prefecture.svg.png
_regions,Bong,Liberia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Bong_County.svg/1024px-Flag_of_Bong_County.svg.png

