group,name,description,image

_c,Bosnia,triangle,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/1920px-Flag_of_Bosnia_and_Herzegovina.svg.png
_c,Cyprus,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/1280px-Flag_of_Cyprus.svg.png
_c,Kosovo,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/1280px-Flag_of_Kosovo.svg.png
_c,Tuvalu,stars,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/1920px-Flag_of_Tuvalu.svg.png
_c,Bangladesh,1971,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Bangladesh_%281971%29.svg/1920px-Flag_of_Bangladesh_%281971%29.svg.png
_c,Cambodia,1992–93; UN authority,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Flag_of_Cambodia_%281992%E2%80%931993%29.svg/1280px-Flag_of_Cambodia_%281992%E2%80%931993%29.svg.png

_i,Antarctica,"Bartram flag, emoji",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Proposed_flag_of_Antarctica_%28Graham_Bartram%29.svg/1280px-Proposed_flag_of_Antarctica_%28Graham_Bartram%29.svg.png
_i,Chatham Islands,New Zealand; unofficial,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_Chatham_Islands.svg/1280px-Flag_of_Chatham_Islands.svg.png
_i,Christmas Island,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Christmas_Island.svg/1920px-Flag_of_Christmas_Island.svg.png
_i,Isle of Wight,UK,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Flag_of_the_Isle_of_Wight.svg/1920px-Flag_of_the_Isle_of_Wight.svg.png
#_i,Loyalty Islands,New Caledonia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Iles-Loyaut%C3%A9_drapeau.svg/1920px-Iles-Loyaut%C3%A9_drapeau.svg.png
_i,Moorea-Maiao,French Polynesia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Flag_of_Moorea-Maiao.svg/1280px-Flag_of_Moorea-Maiao.svg.png
_i,Wake Island,USA; unofficial,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Wake_Island.svg/1280px-Flag_of_Wake_Island.svg.png

_r2,Aomori Prefecture,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Aomori_Prefecture.svg/1280px-Flag_of_Aomori_Prefecture.svg.png
_r2,Kagoshima Prefecture,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Flag_of_Kagoshima_Prefecture.svg/1280px-Flag_of_Kagoshima_Prefecture.svg.png
_r2,Shizuoka Prefecture,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Shizuoka_Prefecture.svg/1280px-Flag_of_Shizuoka_Prefecture.svg.png
_r2,Naypyidaw,Myanmar,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_Naypyidaw_Union_Territory.svg/1280px-Flag_of_Naypyidaw_Union_Territory.svg.png
_r2,Sakhalin Oblast,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flag_of_Sakhalin_Oblast.svg/1280px-Flag_of_Sakhalin_Oblast.svg.png
_r2,Taiwan Province,Taiwan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Taiwan_Province.svg/1280px-Flag_of_Taiwan_Province.svg.png

_r,São Paulo State,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg/1280px-Bandeira_do_estado_de_S%C3%A3o_Paulo.svg.png
_r,Veraguas Province,Panama,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Bandera_de_la_Provincia_de_Veraguas.svg/1280px-Bandera_de_la_Provincia_de_Veraguas.svg.png
_r,Amazonas State,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Flag_of_Amazonas_Indigenous_State.svg/1280px-Flag_of_Amazonas_Indigenous_State.svg.png
_r,Anzoátegui State,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Anzo%C3%A1tegui_State_%28original_version%29.svg/1280px-Flag_of_Anzo%C3%A1tegui_State_%28original_version%29.svg.png
_r,Delta Amacuro State,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_Delta_Amacuro_State.svg/1280px-Flag_of_Delta_Amacuro_State.svg.png
_r,Guárico State,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Flag_of_Gu%C3%A1rico_State.svg/1280px-Flag_of_Gu%C3%A1rico_State.svg.png

_y,Pergamino,Argentina,https://www.crwflags.com/fotw/images/a/ar-b-pr.gif
