colour,name,years,flag
red,Muscat and Oman,1650-1970,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_Muscat.svg/1024px-Flag_of_Muscat.svg.png
red,Morocco,1656-1915,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Morocco_1666_1915.svg/1024px-Flag_of_Morocco_1666_1915.svg.png
red,Bahrain,1783-1820,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Bahrain_%28before_1820%29.svg/1024px-Flag_of_Bahrain_%28before_1820%29.svg.png
red,Maldives,1796-1903,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Earliest_Flag_of_the_Maldives.svg/1024px-Earliest_Flag_of_the_Maldives.svg.png
red,Zanzibar,1896-1963,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Zanzibar_Under_British_Rule.svg/1024px-Flag_of_Zanzibar_Under_British_Rule.svg.png
red,Yemen,1918-1923,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_Yemen_1918.svg/1024px-Flag_of_Yemen_1918.svg.png
red,Hungary,1919,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Hungary_%281919%29.svg/1024px-Flag_of_Hungary_%281919%29.svg.png
orange,Maratha Empire,1674-1818,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_the_Maratha_Empire.svg/1024px-Flag_of_the_Maratha_Empire.svg.png
yellow,Brunei,1368-1806,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Old_Flag_of_Brunei.svg/1024px-Old_Flag_of_Brunei.svg.png
white,France,1814-1830,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_the_Kingdom_of_France_%281814-1830%29.svg/1024px-Flag_of_the_Kingdom_of_France_%281814-1830%29.svg.png
white,Afghanistan,1996-97,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Taliban_%28original%29.svg/1024px-Flag_of_Taliban_%28original%29.svg.png
black,Afghanistan,"1709-1739, 1880-1901",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Black_flag.svg/1024px-Black_flag.svg.png
green,Abu Dhabi,1899-1901,https://fotw.info/images/a/ae-abu~g.gif
green,Libya,1977-2011,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Libya_%281977%E2%80%932011%29.svg/1024px-Flag_of_Libya_%281977%E2%80%932011%29.svg.png





