group,name,description,image

_1,Bonghwang,"Presidential flag, Korea",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_the_President_of_South_Korea.svg/1024px-Flag_of_the_President_of_South_Korea.svg.png
_1,Centaur,"Butyrsky District, Russia",https://upload.wikimedia.org/wikipedia/commons/5/5d/Flag_of_Butyrsky_District.png
_1,Chimera,"Tuscan Autonomist Movement",https://www.crwflags.com/fotw/images/i/it%7Dmat1.gif
_1,Double-headed eagle,Albania,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/1280px-Flag_of_Albania.svg.png
_1,Dragon,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Flag_of_Wales.svg/1920px-Flag_of_Wales.svg.png
_1,Druk (thunder dragon),Bhutan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/1280px-Flag_of_Bhutan.svg.png
_1,Flying moose,"Kuzhenersky District, Russia",https://www.crwflags.com/fotw/images/r/ru-12-ku.gif
_2,Gamayun,"Smolensk Oblast, Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Smolensk_Oblast.svg/1024px-Flag_of_Smolensk_Oblast.svg.png
_2,Garuda,"Ulaanbaatar, Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Flag_ulaanbaatar.svg/1024px-Flag_ulaanbaatar.svg.png
_2,Griffin,"Pomeranian Voivodeship, Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/POL_wojew%C3%B3dztwo_pomorskie_flag.svg/1024px-POL_wojew%C3%B3dztwo_pomorskie_flag.svg.png
_2,Hamsa,"Mon State, Myanmar",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Mon_State_%282018%29.svg/1280px-Flag_of_Mon_State_%282018%29.svg.png
_2,Huma,"Presidential flag, Uzbekistan",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_President_of_Uzbekistan.svg/1024px-Flag_of_the_President_of_Uzbekistan.svg.png
_2,Kanglasha,"Manipur, 1891–1905",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Manipur.svg/1280px-Flag_of_Manipur.svg.png
_2,Kinnara,"Kayah State, Myanmar",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Kayah_State.svg/1024px-Flag_of_Kayah_State.svg.png
_3,Lion of St Mark,"Venice, Italy",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Venice.svg/1920px-Flag_of_Venice.svg.png
_3,Lóng (Chinese dragon),"China, 1889–1912",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_China_%281889%E2%80%931912%29.svg/1280px-Flag_of_China_%281889%E2%80%931912%29.svg.png
_3,Medusa,"Sicily, Italy",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Sicilian_Flag.svg/1920px-Sicilian_Flag.svg.png
_3,Mermaid,"Eemsmond, Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Flag_of_Eemsmond.svg/1280px-Flag_of_Eemsmond.svg.png
_3,Morse,"Presidential flag, Philippines",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_the_President_of_the_Philippines.svg/1280px-Flag_of_the_President_of_the_Philippines.svg.png
_3,Naga,"Tanintharyi Region, Myanmar",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Tanintharyi_Region_%282010-2021%29.svg/1280px-Flag_of_Tanintharyi_Region_%282010-2021%29.svg.png
_3,Panther (heraldic),"Lower Bavaria, Bavaria, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Lower_Bavaria.svg/1280px-Flag_of_Lower_Bavaria.svg.png
_4,Pegasus,"Tuscany, Italy",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Tuscany.svg/1280px-Flag_of_Tuscany.svg.png
_4,Peng,"Suwa, Nagano Japan",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Suwa%2C_Nagano.svg/1280px-Flag_of_Suwa%2C_Nagano.svg.png
_4,Phoenix,"Phoenix, Arizona USA",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Flag_of_Phoenix%2C_Arizona.svg/1920px-Flag_of_Phoenix%2C_Arizona.svg.png
_4,Snowlion,Tibet,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_Tibet.svg/1920px-Flag_of_Tibet.svg.png
_4,Unicorn,"Merkinė, Lithuania",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LTU_Merkin%C4%97_flag.svg/1920px-LTU_Merkin%C4%97_flag.svg.png
_4,Wyvern,"Trégor, Brittany France",https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Banniel_Bro_Dreger_1998.svg/1280px-Banniel_Bro_Dreger_1998.svg.png
_4,Zilant,"Kazan, Tatarstan, Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_Kazan.svg/1280px-Flag_of_Kazan.svg.png
