group,name,image,description
aquitaine,Aquitaine,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Aquitaine.svg/1024px-Flag_of_Aquitaine.svg.png,France
aquitaine,Nouvelle Aquitaine,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Nouvelle-Aquitaine.svg/1024px-Flag_of_Nouvelle-Aquitaine.svg.png,France
biscay,Biscay,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bandera_de_Vizcaya.svg/1280px-Bandera_de_Vizcaya.svg.png,Spain
biscay,Nueva Vizcaya,https://upload.wikimedia.org/wikipedia/commons/5/58/PH-NUV_Flag.png,Philippines
brunswick,Braunschweig,https://www.crwflags.com/fotw/images/d/de-ni-bs.gif,Germany
brunswick,New Brunswick,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_New_Brunswick.svg/1920px-Flag_of_New_Brunswick.svg.png,Canada
britain,Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Great_Britain_%281707%E2%80%931800%29.svg/1920px-Flag_of_Great_Britain_%281707%E2%80%931800%29.svg.png,1707-1801
britain,East New Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_East_New_Britain.svg/1920px-Flag_of_East_New_Britain.svg.png,Papua New Guinea
britain,West New Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_West_New_Britain.svg/1280px-Flag_of_West_New_Britain.svg.png,Papua New Guinea
colon,Colón,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Bandera_de_la_Provincia_de_Col%C3%B3n.svg/1280px-Bandera_de_la_Provincia_de_Col%C3%B3n.svg.png,Panama
colon,Nuevo Colón,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_Nuevo_Col%C3%B3n_%28Boyac%C3%A1%29.svg/1280px-Flag_of_Nuevo_Col%C3%B3n_%28Boyac%C3%A1%29.svg.png,Colombia
ecija,Écija,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Bandera_de_%C3%89cija_%28Sevilla%29.svg/1280px-Bandera_de_%C3%89cija_%28Sevilla%29.svg.png,Spain
ecija,Nueva Ecija,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Vlag_Fil_NuevaEcija.gif/1920px-Vlag_Fil_NuevaEcija.gif,Philippines
england,England,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/1920px-Flag_of_England.svg.png
england,New England,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Ensign_of_New_England_%28pine_only%29.svg/1280px-Ensign_of_New_England_%28pine_only%29.svg.png,USA
friburgo,Fribourg,https://www.crwflags.com/fotw/images/c/ch-fr.gif,Switzerland
friburgo,Nova Friburgo,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Nova_Friburgo.png,Brazil
guinea,Guinea,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/1920px-Flag_of_Guinea.svg.png
guinea,Papua New Guinea,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/1280px-Flag_of_Papua_New_Guinea.svg.png
