group,name,description,image

_a,Bhutan,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/1280px-Flag_of_Bhutan.svg.png
_a,Sri Lanka,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/1920px-Flag_of_Sri_Lanka.svg.png
_a,India,"'Calcutta flag', 1906",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Flag_of_India_1906_%28Calcutta_Flag%29.svg/1920px-Flag_of_India_1906_%28Calcutta_Flag%29.svg.png
_a,Republic of Cabinda,1975-76,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Cabinda_%28FLEC_propose%29.svg/1920px-Flag_of_Cabinda_%28FLEC_propose%29.svg.png
_a,Atlantium,micronation,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Bandera_d%27Atlantium.svg/1920px-Bandera_d%27Atlantium.svg.png

_a2,Raigarh State,to 1947,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_the_Raigarh_State.svg/1920px-Flag_of_the_Raigarh_State.svg.png
_a2,Gwalior State,"royal flag, to 1948",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Gwalior_Royal_Flag.svg/1024px-Gwalior_Royal_Flag.svg.png
_a2,Sultanate of Deli,to 1946,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Flag_of_the_Sultanate_of_Deli.svg/1280px-Flag_of_the_Sultanate_of_Deli.svg.png
_a2,Indonesia,old presidential flag,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Presidential_Standard_of_Indonesia.svg/1920px-Presidential_Standard_of_Indonesia.svg.png
_a2,Kutai Monarchy,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bendera_Kesultanan_Kutai_Kartanegara_ing_Martadipura.png/640px-Bendera_Kesultanan_Kutai_Kartanegara_ing_Martadipura.png

_c,Berazategui Partido,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Bandera_del_Partido_de_Berazategui.svg/1920px-Bandera_del_Partido_de_Berazategui.svg.png
_c,Capixaba,Brazil,https://www.crwflags.com/fotw/images/b/br-ac-005.gif
_c,Canalete,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Canalete_%28C%C3%B3rdoba%29.svg/1280px-Flag_of_Canalete_%28C%C3%B3rdoba%29.svg.png
_c,Ciríaco,Brazil,https://www.crwflags.com/fotw/images/b/br-rs-110.gif
_c,Viña del Mar,Chile,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Flag_of_Vi%C3%B1a_del_Mar%2C_Chile.svg/1280px-Flag_of_Vi%C3%B1a_del_Mar%2C_Chile.svg.png

_c2,Cherokee Nation,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_the_Cherokee_Nation.svg/1920px-Flag_of_the_Cherokee_Nation.svg.png
_c2,Jacksonville,Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Jacksonville%2C_Florida.svg/1280px-Flag_of_Jacksonville%2C_Florida.svg.png
_c2,Lauderdale Lakes,Florida,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_Lauderdale_Lakes%2C_Florida.png
_c2,Manhattan Beach,California,https://www.crwflags.com/fotw/images/u/us-camhb.gif
_c2,Orange County,California,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Orange_County%2C_California.svg/1920px-Flag_of_Orange_County%2C_California.svg.png

_j,Rincon,Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Rincon_Flag.svg/1280px-Rincon_Flag.svg.png
_j,Yorkton,Saskatchewan,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Yorkton.png
_j,Niemcza,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/POL_Niemcza_flag.svg/1920px-POL_Niemcza_flag.svg.png
_j,Turnišče,Slovenia,https://www.fotw.info/images/s/si-132.gif
_j,Uoshima,Japan,https://www.fotw.info/images/j/jp-38-kj-uo.gif

