group,name,description,image
national,Spain,lion rampant,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/1024px-Flag_of_Spain.svg.png
national,Mexico,prickly pears,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/1024px-Flag_of_Mexico.svg.png
national,Turks & Caicos Islands,conch shell,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg/1024px-Flag_of_the_Turks_and_Caicos_Islands.svg.png

regional,Espírito Santo,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Bandeira_do_Esp%C3%ADrito_Santo.svg/1024px-Bandeira_do_Esp%C3%ADrito_Santo.svg.png
regional,Newfoundland,Canada; unofficial,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Newfoundland_Tricolour.svg/1024px-Newfoundland_Tricolour.svg.png
regional,Gua Musang,Malaysia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Flag_of_Gua_Musang%2C_Kelantan.svg/1920px-Flag_of_Gua_Musang%2C_Kelantan.svg.png
regional,Chai Nat,Thailand,https://upload.wikimedia.org/wikipedia/commons/b/bf/Chai_Nat_Flag.png

_municipal,El Chaltén,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Bandera_del_Municipio_de_El_Chalt%C3%A9n.svg/1024px-Bandera_del_Municipio_de_El_Chalt%C3%A9n.svg.png
_municipal,La Tebaida,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_La_Tebaida_%28Quind%C3%ADo%29.svg/1024px-Flag_of_La_Tebaida_%28Quind%C3%ADo%29.svg.png
_municipal,Cartago,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Cartago_%28Valle%29.svg/1920px-Flag_of_Cartago_%28Valle%29.svg.png
_municipal,Santa Ana,Costa Rica,https://www.fotw.info/images/c/cr-sj-15.gif

_m,Idar State,"princely state, ??-1948",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Idar_Flag.svg/1920px-Idar_Flag.svg.png
_m,Mohanpur State,"princely state, ??-1948",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_the_Mohanpur_State.svg/1280px-Flag_of_the_Mohanpur_State.svg.png
_m,Jalal-Abad,Kyrgyzstan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Jalal_abad_flag.svg/1024px-Jalal_abad_flag.svg.png
_m,Hsinchu,Taiwan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Hsinchu_City.svg/1920px-Flag_of_Hsinchu_City.svg.png

pride,LGBT,original 1978 design,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Gay_flag_8.svg/1024px-Gay_flag_8.svg.png
pride,bisexual,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Bisexual_Pride_Flag.svg/1024px-Bisexual_Pride_Flag.svg.png
pride,pansexual,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Pansexuality_Pride_Flag.svg/1920px-Pansexuality_Pride_Flag.svg.png
pride,transgender,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Transgender_Pride_flag.svg/1024px-Transgender_Pride_flag.svg.png

