group,name,description,image
a,Brazil,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Presidential_Standard_of_Brazil.svg/1280px-Presidential_Standard_of_Brazil.svg.png
a,Peru,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Presidential_Standard_of_Peru.svg/1024px-Presidential_Standard_of_Peru.svg.png
a,Philippines,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_the_President_of_the_Philippines.svg/1280px-Flag_of_the_President_of_the_Philippines.svg.png
a,USA,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_the_President_of_the_United_States.svg/1280px-Flag_of_the_President_of_the_United_States.svg.png

b,Afghanistan,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Standard_of_the_President_of_Afghanistan.svg/1024px-Standard_of_the_President_of_Afghanistan.svg.png
b,Bangladesh,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_the_President_of_Bangladesh.svg/1024px-Flag_of_the_President_of_Bangladesh.svg.png
b,South Korea,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_the_President_of_South_Korea.svg/1920px-Flag_of_the_President_of_South_Korea.svg.png
b,Turkmenistan,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_President_of_Turkmenistan.svg/1024px-Flag_of_the_President_of_Turkmenistan.svg.png

c,Hungary,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flag_of_the_President_of_Hungary.svg/1920px-Flag_of_the_President_of_Hungary.svg.png
c,Ireland,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_the_President_of_Ireland.svg/1024px-Flag_of_the_President_of_Ireland.svg.png
c,Kosovo,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Dardania.svg/1920px-Flag_of_Dardania.svg.png
c,Latvia,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_the_President_of_Latvia.svg/1920px-Flag_of_the_President_of_Latvia.svg.png

d,Botswana,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_President_of_Botswana.svg/1920px-Flag_of_the_President_of_Botswana.svg.png
d,Kenya,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Kenya_presidential_standard_UHURU_KENYATTA.svg/1024px-Kenya_presidential_standard_UHURU_KENYATTA.svg.png
d,Liberia,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_the_President_of_Liberia.svg/1920px-Flag_of_the_President_of_Liberia.svg.png
d,Malawi,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_the_President_of_Malawi.svg/1920px-Flag_of_the_President_of_Malawi.svg.png

e,Namibia,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_the_President_of_Namibia.svg/1280px-Flag_of_the_President_of_Namibia.svg.png
e,Rwanada,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_President_of_Rwanda.svg/1024px-Flag_of_the_President_of_Rwanda.svg.png
e,Uganda,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Flag_of_the_President_of_Uganda.svg/1920px-Flag_of_the_President_of_Uganda.svg.png
e,Zambia,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_President_of_Zambia.svg/1280px-Flag_of_the_President_of_Zambia.svg.png

a,Argentina,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Standard_of_the_President_of_Argentina_Land.svg/1024px-Standard_of_the_President_of_Argentina_Land.svg.png
a,Cuba,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_the_President_of_Cuba.svg/1024px-Flag_of_the_President_of_Cuba.svg.png
a,Venezuela,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Presidential_Standard_of_Venezuela.svg/1024px-Presidential_Standard_of_Venezuela.svg.png

b,Croatia,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_the_President_of_Croatia.svg/1024px-Flag_of_the_President_of_Croatia.svg.png
b,Czech Republic,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_the_President_of_the_Czech_Republic.svg/1024px-Flag_of_the_President_of_the_Czech_Republic.svg.png
b,Georgia,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_the_President_of_Georgia.svg/1024px-Flag_of_the_President_of_Georgia.svg.png

c,Germany,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_the_President_of_Germany.svg/1024px-Flag_of_the_President_of_Germany.svg.png
c,Greece,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_the_President_of_Greece.svg/1024px-Flag_of_the_President_of_Greece.svg.png
c,Israel,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Israel_President.svg/1024px-Flag_of_Israel_President.svg.png

