group,name,description,image
national,Dominica,on the parrot,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/1024px-Flag_of_Dominica.svg.png
national,Nicaragua,on the rainbow,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/1024px-Flag_of_Nicaragua.svg.png
national,Belize?,on the tools?,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/1024px-Flag_of_Belize.svg.png
national,Bolivia,variant flag since 2009,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Banner_of_the_Qulla_Suyu.svg/1024px-Banner_of_the_Qulla_Suyu.svg.png
gender,Suffragettes,WSPU,https://www.crwflags.com/fotw/images/g/gb_suffr1.gif
gender,LGBT,rainbow flag,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Gay_flag.svg/1024px-Gay_flag.svg.png
gender,bisexual,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Bi_flag.svg/1024px-Bi_flag.svg.png
gender,asexual,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Asexual_flag.svg/1024px-Asexual_flag.svg.png
gender,intersex,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Intersex_flag.svg/1024px-Intersex_flag.svg.png
gender,nonbinary,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Nonbinary_flag.svg/1024px-Nonbinary_flag.svg.png
Spanish,Spanish Republic,1931–1939,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Flag_of_Spain_%281931_-_1939%29.svg/1024px-Flag_of_Spain_%281931_-_1939%29.svg.png
Spanish,Balearic Islands,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Flag_of_the_Balearic_Islands.svg/1024px-Flag_of_the_Balearic_Islands.svg.png
Spanish,Majorca,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Mallorca.svg/1024px-Flag_of_Mallorca.svg.png
Spanish,Castile and León,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_Castile_and_Le%C3%B3n.svg/1280px-Flag_of_Castile_and_Le%C3%B3n.svg.png
Spanish,Málaga,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Flag_of_M%C3%A1laga%2C_Spain.svg/1024px-Flag_of_M%C3%A1laga%2C_Spain.svg.png
Spanish,Cádiz,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bandera_de_C%C3%A1diz.svg/1024px-Bandera_de_C%C3%A1diz.svg.png
Japanese,Gunma,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Gunma_Prefecture.svg/1024px-Flag_of_Gunma_Prefecture.svg.png
Japanese,Kyoto,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Kyoto_Prefecture.svg/1024px-Flag_of_Kyoto_Prefecture.svg.png
Japanese,Okayama,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Flag_of_Okayama_Prefecture.svg/1024px-Flag_of_Okayama_Prefecture.svg.png
Japanese,Tokyo,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Flag_of_Tokyo_Prefecture.svg/1024px-Flag_of_Tokyo_Prefecture.svg.png
Japanese,Yamanashi,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Yamanashi_Prefecture.svg/1024px-Flag_of_Yamanashi_Prefecture.svg.png
Japanese,Kawasaki,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Flag_of_Kawasaki.svg/1024px-Flag_of_Kawasaki.svg.png
Indian,Baudh State,1???–1948,https://upload.wikimedia.org/wikipedia/commons/d/d6/Drapeau_Baudh.png
Indian,Dungarpur State,1???–1947,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Dungarp.svg/1024px-Flag_of_Dungarp.svg.png
Indian,Jaisalmer State,1???–1947,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Flag_of_Jaisalmer.svg/1024px-Flag_of_Jaisalmer.svg.png
Indian,Kutlehar Estate,1???–1957,https://upload.wikimedia.org/wikipedia/commons/c/c6/Kutlehar_state_flag.png
Indian,Mansa State,1???–1948,https://www.crwflags.com/Fotw/images/i/in_mansa.gif
Indian,Rajpipla State,1???–1948,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Rajpipla.svg/1024px-Flag_of_Rajpipla.svg.png
other,Iroquois,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_the_Iroquois_Confederacy.svg/1024px-Flag_of_the_Iroquois_Confederacy.svg.png
other,Connecticut,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Connecticut.svg/994px-Flag_of_Connecticut.svg.png
other,Jewish Autonomous Oblast,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Flag_of_the_Jewish_Autonomous_Oblast.svg/1024px-Flag_of_the_Jewish_Autonomous_Oblast.svg.png
other,Kuban People's Republic,1918–1920,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Kuban_People%27s_Republic.svg/1024px-Flag_of_Kuban_People%27s_Republic.svg.png
