group,name,description,image
_Nepal,Nepal,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/840px-Flag_of_Nepal.svg.png
_Nepal,Nepal,before 1962,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_Nepal_%281775%E2%80%931962%29.svg/519px-Flag_of_Nepal_%281775%E2%80%931962%29.svg.png
_Nepal,Qing Dynasty China,1862-1912,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_China_%281862%E2%80%931889%29.svg/1024px-Flag_of_China_%281862%E2%80%931889%29.svg.png
_Mongolia,Bogd Khanate of Mongolia,1911-1924,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Flag_of_Bogd_Khaanate_Mongolia.svg/1024px-Flag_of_Bogd_Khaanate_Mongolia.svg.png
_Mongolia,Mongolian People's Republic,1924-1930,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_the_Mongolian_People%27s_Republic_%281924%E2%80%931930%29.svg/1024px-Flag_of_the_Mongolian_People%27s_Republic_%281924%E2%80%931930%29.svg.png
_Mongolia,Mongolian People's Republic,1930-1940,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Flag_of_the_Mongolian_People%27s_Republic_%281930%E2%80%931940%29.svg/1024px-Flag_of_the_Mongolian_People%27s_Republic_%281930%E2%80%931940%29.svg.png
_Europe,Republic of Venice,until 1797; current city flag,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Republic_of_Venice_%281659-1675%29.svg/1024px-Flag_of_Republic_of_Venice_%281659-1675%29.svg.png
_Europe,Ottoman Tunisia,18th century,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Tunisian_flag_till_1831.svg/1024px-Tunisian_flag_till_1831.svg.png
_Europe,"Zamora, Spain",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Bandera_de_Zamora.svg/1024px-Bandera_de_Zamora.svg.png
_Nordic,Denmark,state flag,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Denmark_%28state%29.svg/1024px-Flag_of_Denmark_%28state%29.svg.png
_Nordic,Norway,state flag,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Flag_of_Norway%2C_state.svg/1024px-Flag_of_Norway%2C_state.svg.png
_Nordic,Iceland,state flag,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Iceland_%28state%29.svg/1024px-Flag_of_Iceland_%28state%29.svg.png
_Europe2,"Bratislava, Slovakia",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Bratislava.svg/1024px-Flag_of_Bratislava.svg.png
_Europe2,"Borgerhout, Belgium",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Borgerhout_%28district%29.svg/1024px-Flag_of_Borgerhout_%28district%29.svg.png
_Europe2,"Irkutsk, Russia",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Irkutsk_%28Irkutsk_oblast%29.svg/1024px-Flag_of_Irkutsk_%28Irkutsk_oblast%29.svg.png
_USA,"Ohio, USA",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/1024px-Flag_of_Ohio.svg.png
_USA,"Nantucket, Massachusetts",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Nantucket%2C_Massachusetts.svg/1024px-Flag_of_Nantucket%2C_Massachusetts.svg.png
_USA,"Tampa, Florida",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_Tampa%2C_Florida.svg/1024px-Flag_of_Tampa%2C_Florida.svg.png
_Europe3,German Merchant Flag,1946-49,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Merchant_flag_of_Germany_%281946%E2%80%931949%29.svg/1024px-Merchant_flag_of_Germany_%281946%E2%80%931949%29.svg.png
_Europe3,"Jutland, Denmark",unofficial flag,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Jutland.svg/1024px-Flag_of_Jutland.svg.png
_Europe3,Romania,1989 Revolution flag,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Romania_flag_1989_revolution.svg/1024px-Romania_flag_1989_revolution.svg.png
