group,name,description,image


_r,Karelo-Finnish SSR,"USSR, 1940-56",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_the_Karelo-Finnish_SSR.svg/1920px-Flag_of_the_Karelo-Finnish_SSR.svg.png
_r,Karelia,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Karelia.svg/1280px-Flag_of_Karelia.svg.png
_r,Dagestan,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Dagestan.svg/1280px-Flag_of_Dagestan.svg.png
_r,Karachay-Cherkessia,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Karachay-Cherkessia.svg/1920px-Flag_of_Karachay-Cherkessia.svg.png
_r,Pushchino,Russia,http://fotw.fivestarflags.com/images/r/ru-mospu.gif

_r2,Azerbaijan,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/1920px-Flag_of_Azerbaijan.svg.png
_r2,Baghdati,Georgia,https://www.crwflags.com/fotw/images/g/ge-bagh.gif
_r2,Sachkhere,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Sachkhere_Municipality.svg/1920px-Flag_of_Sachkhere_Municipality.svg.png
_r2,Liguria,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Liguria.svg/1024px-Flag_of_Liguria.svg.png
_r2,Bakhmut,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_Bakhmut_%28Donetsk_Oblast%29.svg/1024px-Flag_of_Bakhmut_%28Donetsk_Oblast%29.svg.png

_a,Eritrea,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/1024px-Flag_of_Eritrea.svg.png
_a,Gambia,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/1280px-Flag_of_The_Gambia.svg.png
_a,Tunisia,until 1831,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Tunisian_flag_till_1831.svg/1024px-Tunisian_flag_till_1831.svg.png
_a,Sidama,Ethiopia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Sidama.svg/1920px-Flag_of_Sidama.svg.png
_a,Southwestern Somalia,Somalia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Southwestern_Somalia.svg/1024px-Flag_of_Southwestern_Somalia.svg.png

_i,Romani people,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_the_Romani_people.svg/1280px-Flag_of_the_Romani_people.svg.png
_i,Bnei Menashe people,India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Bnei_Menashe.svg/1280px-Flag_of_Bnei_Menashe.svg.png
_i,State of Makran,"Princely State, until 1955",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_the_State_of_Makran.svg/1024px-Flag_of_the_State_of_Makran.svg.png
_i,United Suvadive Republic,"Maldives, 1959-1963",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Flag_of_the_United_Suvadive_Republic.svg/1280px-Flag_of_the_United_Suvadive_Republic.svg.png
_i,Chin State,Myanmar,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Chin_State.svg/1280px-Flag_of_Chin_State.svg.png

_l,Ambalema,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_Ambalema_%28Tolima%29.svg/1280px-Flag_of_Ambalema_%28Tolima%29.svg.png
_l,Mariscal Nieto Province,Peru,https://www.fotw.info/images/p/pe-moq.gif
_l,Ketio,Kiribati,https://www.fotw.info/images/k/ki-betio.gif
_l,New Caledonia,semi-official,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_FLNKS.svg/1920px-Flag_of_FLNKS.svg.png
_l,Mars,Pascal Lee design,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/FlagOfMars-OriginalColors.svg/1024px-FlagOfMars-OriginalColors.svg.png
