group,name,description,image

_ind,Libya,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/1024px-Flag_of_Libya.svg.png
_ind,Kenya,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/1920px-Flag_of_Kenya.svg.png
_ind,Malawi,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/1920px-Flag_of_Malawi.svg.png
_ind,Vanuatu,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Vanuatu_%28official%29.svg/1920px-Flag_of_Vanuatu_%28official%29.svg.png

_ind2,Biafra,1967-1970,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Biafra.svg/1024px-Flag_of_Biafra.svg.png
_ind2,Afghanistan,1987-1992,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Afghanistan_%281987%E2%80%931992%29.svg/1024px-Flag_of_Afghanistan_%281987%E2%80%931992%29.svg.png
_ind2,Afghanistan,2013-2021,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg/1024px-Flag_of_Afghanistan_%282013%E2%80%932021%29.svg.png
_ind2,Pan-African flag,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_the_UNIA.svg/1920px-Flag_of_the_UNIA.svg.png

_e,East Karelia,1918-1920,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Karelian_National_Flag.svg/1280px-Karelian_National_Flag.svg.png
_e,Morašice,Czechia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_Mora%C5%A1ice_%28okres_Znojmo%29.svg/1280px-Flag_of_Mora%C5%A1ice_%28okres_Znojmo%29.svg.png
_e,Makedonska Kamenica,North Macedonia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_Makedonska_Kamenica_Municipality%2C_North_Macedonia.svg/1920px-Flag_of_Makedonska_Kamenica_Municipality%2C_North_Macedonia.svg.png
_e,Debaltsevo,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Flag_of_Debalcevo.svg/1280px-Flag_of_Debalcevo.svg.png

_o,Ipixuna,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Bandeira_de_Ipixuna_AM.svg/1280px-Bandeira_de_Ipixuna_AM.svg.png
_o,Duitama,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Duitama.svg/1280px-Flag_of_Duitama.svg.png
_o,Mars,Mars Attacks! film,https://upload.wikimedia.org/wikipedia/commons/f/fb/Martian_Flag_from_Mars_Attack%21.jpg
_o,San Theodoros,Tintin,https://static.wikia.nocookie.net/tintin/images/4/42/San_Theodoros_Flag.png/revision/latest/scale-to-width-down/1000?cb=20200313112919
