name,flag,type
Adygea,http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Adygea.svg/360px-Flag_of_Adygea.svg.png,republic
Altai Republic,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Altai_Republic.svg/360px-Flag_of_Altai_Republic.svg.png,republic
Bashkortostan,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Bashkortostan.svg/360px-Flag_of_Bashkortostan.svg.png,republic
Buryatia,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Buryatia.svg/360px-Flag_of_Buryatia.svg.png,republic
Chechen Republic,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_the_Chechen_Republic.svg/360px-Flag_of_the_Chechen_Republic.svg.png,republic
Chuvashia,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Chuvashia.svg/360px-Flag_of_Chuvashia.svg.png,republic
Crimea*,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Crimea.svg/360px-Flag_of_Crimea.svg.png,republic
Dagestan,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Dagestan.svg/360px-Flag_of_Dagestan.svg.png,republic
Ingushetia,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Ingushetia.svg/360px-Flag_of_Ingushetia.svg.png,republic
Kabardino-Balkaria,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Flag_of_Kabardino-Balkaria.svg/360px-Flag_of_Kabardino-Balkaria.svg.png,republic
Kalmykia,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Kalmykia.svg/360px-Flag_of_Kalmykia.svg.png,republic
Karachay-Cherkessia,http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Karachay-Cherkessia.svg/360px-Flag_of_Karachay-Cherkessia.svg.png,republic
Karelia,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Karelia.svg/360px-Flag_of_Karelia.svg.png,republic
Khakassia,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Khakassia.svg/360px-Flag_of_Khakassia.svg.png,republic
Komi,http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Komi.svg/360px-Flag_of_Komi.svg.png,republic
Mari El,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Mari_El.svg/360px-Flag_of_Mari_El.svg.png,republic
Mordovia,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Mordovia.svg/360px-Flag_of_Mordovia.svg.png,republic
North Ossetia,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_North_Ossetia.svg/360px-Flag_of_North_Ossetia.svg.png,republic
Sakha,http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Sakha.svg/360px-Flag_of_Sakha.svg.png,republic
Tatarstan,http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Tatarstan.svg/360px-Flag_of_Tatarstan.svg.png,republic
Tuva,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Tuva.svg/360px-Flag_of_Tuva.svg.png,republic
Udmurtia,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Udmurtia.svg/360px-Flag_of_Udmurtia.svg.png,republic
Moscow,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Moscow.svg/360px-Flag_of_Moscow.svg.png,federal city
Saint Petersburg,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Saint_Petersburg_Russia.svg/360px-Flag_of_Saint_Petersburg_Russia.svg.png,federal city
Sevastopol*,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_of_Sevastopol.svg/360px-Flag_of_Sevastopol.svg.png,federal city
Altai Krai,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Altai_Krai.svg/360px-Flag_of_Altai_Krai.svg.png,krai
Kamchatka Krai,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Kamchatka_Krai.svg/360px-Flag_of_Kamchatka_Krai.svg.png,krai
Khabarovsk Krai,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Khabarovsk_Krai.svg/360px-Flag_of_Khabarovsk_Krai.svg.png,krai
Krasnodar Krai,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Krasnodar_Krai.svg/360px-Flag_of_Krasnodar_Krai.svg.png,krai
