group,name,description,image

_a,Trinidad and Tobago,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/1920px-Flag_of_Trinidad_and_Tobago.svg.png
_a,Yemen,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/1920px-Flag_of_Yemen.svg.png
_a,Gibraltar,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/1920px-Flag_of_Gibraltar.svg.png
_a,Sealand,micronation,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Flag_of_Sealand.svg/1280px-Flag_of_Sealand.svg.png
_a,Roman Republic,1798-1799,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_the_Repubblica_Romana_1798.svg/1920px-Flag_of_the_Repubblica_Romana_1798.svg.png
_a2,Georgia,1919-24 & 1990-2004,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Georgia_%281990%E2%80%932004%29.svg/1280px-Flag_of_Georgia_%281990%E2%80%932004%29.svg.png
_a2,Belarus,"gov't in exile, 1919-1925",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Belarus_%28government_in_exile%2C_1919-1925%29.svg/1024px-Flag_of_Belarus_%28government_in_exile%2C_1919-1925%29.svg.png
_a2,Germany,1867–1918,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg/1920px-Flag_of_Germany_%281867%E2%80%931918%29.svg.png
_a2,German East Africa Company,1884-1920,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_German_East_Africa_Company.svg/1920px-Flag_of_the_German_East_Africa_Company.svg.png
_a2,Germany,1935-1945,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Germany_%281935%E2%80%931945%29.svg/1920px-Flag_of_Germany_%281935%E2%80%931945%29.svg.png

_d,Fredonia Rebellion,1826-1827,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Republic_of_Fredonia_flag.png/1024px-Republic_of_Fredonia_flag.png
_d,Republic of the Rio Grande,1840,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Flag_of_the_Republic_of_the_Rio_Grande.svg/1920px-Flag_of_the_Republic_of_the_Rio_Grande.svg.png
_d,Independent Guiana,1887-1891,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Flag_of_the_Republic_of_Independent_Guyana_%281887-1904%29.svg/1920px-Flag_of_the_Republic_of_Independent_Guyana_%281887-1904%29.svg.png
_d,Shilluk Kingdom,??-1861,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_the_Shilluk.svg/1024px-Flag_of_the_Shilluk.svg.png
_d,Sarangarh State,"princely state, ??-1948",https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_the_Sarangarh_State.svg/1920px-Flag_of_the_Sarangarh_State.svg.png
_d2,Marshall Islands,1878-1894,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ralik-Inseln.svg/1024px-Ralik-Inseln.svg.png
_d2,Maldives,1926-1953,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Old_National_Flag_of_the_Maldives.svg/1024px-Old_National_Flag_of_the_Maldives.svg.png
_d2,Emirate of Afghanistan,1929,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_Afghanistan_%281929%29.svg/1024px-Flag_of_Afghanistan_%281929%29.svg.png
_d2,Upper Volta,1958-1984,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Upper_Volta.svg/1920px-Flag_of_Upper_Volta.svg.png
_d2,Arab Islamic Republic,"attempted union, 1974",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Drapeau_de_la_R%C3%A9publique_Arabe_Islamique_%28Union_tuniso-libyenne%29.svg/1024px-Drapeau_de_la_R%C3%A9publique_Arabe_Islamique_%28Union_tuniso-libyenne%29.svg.png

_m,Berlin,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Berlin.svg/1920px-Flag_of_Berlin.svg.png
