group,name,description,image

_c,Guernsey,Crown Dependency,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Guernsey.svg/1024px-Flag_of_Guernsey.svg.png
_c,Isle of Man,Crown Dependency,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_the_Isle_of_Mann.svg/1920px-Flag_of_the_Isle_of_Mann.svg.png
_c,Jersey,Crown Dependency,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Jersey.svg/1920px-Flag_of_Jersey.svg.png
_c,Sark,"Guernesy",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Sark.svg/1920px-Flag_of_Sark.svg.png

_g,Dorset,"England, UK",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Flag_of_Dorset.svg/1920px-Flag_of_Dorset.svg.png
_g,Essex,"England, UK",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Essex.svg/1280px-Flag_of_Essex.svg.png
_g,Middlesex,"England, UK",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_Middlesex.svg/1920px-Flag_of_Middlesex.svg.png
_g,Westmorland,"England, UK",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Westmorland.svg/1920px-Flag_of_Westmorland.svg.png

_f,Lorraine,France,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Lorraine.svg/1920px-Flag_of_Lorraine.svg.png
_f,Hérault,France,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Drapeau_non-officiel_fr_d%C3%A9partement_H%C3%A9rault.svg/1920px-Drapeau_non-officiel_fr_d%C3%A9partement_H%C3%A9rault.svg.png
_f,Lot-et-Garonne,France,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Drapeau_fr_d%C3%A9partement_Lot-et-Garonne.svg/1024px-Drapeau_fr_d%C3%A9partement_Lot-et-Garonne.svg.png
_f,Barcelona,"Catalonia, Spain",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Barcelona.svg/1280px-Flag_of_Barcelona.svg.png

_b,Austrian Netherlands,1714-1797,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Austrian_Low_Countries_Flag.svg/1024px-Austrian_Low_Countries_Flag.svg.png
_b,Carinthia,Austria,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Carinthia.svg/1280px-Flag_of_Carinthia.svg.png
_b,Limburg,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Limburg_%28Belgium%29.svg/1024px-Flag_of_Limburg_%28Belgium%29.svg.png
_b,Haarlem,"North Holland, Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Flag_Haarlem.svg/1280px-Flag_Haarlem.svg.png

_e,Kingdom of Hanover,"1837-1866",https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Hanover_1837-1866.svg/1024px-Flag_of_Hanover_1837-1866.svg.png
_e,Kaunas,Lithuania,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/LTU_Kaunas_flag.svg/1280px-LTU_Kaunas_flag.svg.png
_e,Małopolska,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/POL_wojew%C3%B3dztwo_ma%C5%82opolskie_flag.svg/1920px-POL_wojew%C3%B3dztwo_ma%C5%82opolskie_flag.svg.png
_e,Odessa,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_Odessa.svg/1280px-Flag_of_Odessa.svg.png

_z,North Karelia,Finland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/North_karelia_flag.svg/1280px-North_karelia_flag.svg.png
_z,Chelyabinsk Oblast,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Chelyabinsk_Oblast.svg/1280px-Flag_of_Chelyabinsk_Oblast.svg.png
