group,name,description,image


_r,Muscat and Oman,1856-1970,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_Muscat.svg/1024px-Flag_of_Muscat.svg.png
_r,Morocco,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/1024px-Flag_of_Morocco.svg.png
_r,Turkey,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/1024px-Flag_of_Turkey.svg.png
_r,Vietnam,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/1024px-Flag_of_Vietnam.svg.png
_r,China,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/1024px-Flag_of_the_People%27s_Republic_of_China.svg.png

_g,Libya,1977-2011,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Libya_%281977%E2%80%932011%2C_3-2%29.svg/1024px-Flag_of_Libya_%281977%E2%80%932011%2C_3-2%29.svg.png
_g,Saudi Arabia,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/1280px-Flag_of_Saudi_Arabia.svg.png
_g,Bangladesh,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/1024px-Flag_of_Bangladesh.svg.png
_g,Zaire,1971-1997,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Zaire_%281971%E2%80%931997%29.svg/1024px-Flag_of_Zaire_%281971%E2%80%931997%29.svg.png
_g,Washington,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Washington.svg/1024px-Flag_of_Washington.svg.png

_b,Salinas Canton,Ecuador,https://www.crwflags.com/fotw/images/e/ec-g-sal.gif
_b,Europe,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/1024px-Flag_of_Europe.svg.png
_b,Oregon (reverse),USA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Oregon_%28reverse%29.svg/1024px-Flag_of_Oregon_%28reverse%29.svg.png
_b,South Carolina,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/1024px-Flag_of_South_Carolina.svg.png
_b,Alaska,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/1024px-Flag_of_Alaska.svg.png

_y,Brunei,1368-1906,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Old_Flag_of_Brunei.svg/1920px-Old_Flag_of_Brunei.svg.png
_y,China,1889-1912,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_China_%281889%E2%80%931912%29.svg/800px-Flag_of_China_%281889%E2%80%931912%29.svg.png
_y,New Mexico,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/1024px-Flag_of_New_Mexico.svg.png
_y,Anchorage,"Alaska",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Anchorage%2C_Alaska.svg/1280px-Flag_of_Anchorage%2C_Alaska.svg.png
