group,name,description,image

_nz,Vanuatu,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Vanuatu_%28official%29.svg/1920px-Flag_of_Vanuatu_%28official%29.svg.png
_nz,New Zealand,Hundertwasser koru proposal,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Koru_flag.svg/1920px-Koru_flag.svg.png
_nz,New Zealand,koru fern proposal,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Koru_Fern_NZ_Flag.png/1024px-Koru_Fern_NZ_Flag.png
_nz,Tino Rangatiratanga,"Maori flag, New Zealand",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Tino_Rangatiratanga_Maori_sovereignty_movement_flag.svg/1920px-Tino_Rangatiratanga_Maori_sovereignty_movement_flag.svg.png

_ee,Kosovo,shortlisted proposal,https://www.crwflags.com/fotw/images/r/rs!kosf3.gif
_ee,Balakirevo,"Vladimir Oblast, Russia",https://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_Balakirevo_%28Vladimirskaya_oblast%29.gif
_ee,Dmitrovskoe Rural Settlement,"Moscow Oblast, Russia",https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Dmitrovskoe_rural_settlement_%28Moscow_Oblast%29.jpg
_ee,Ust-Orda Buryat Okrug,"Irkutsk Oblast, Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Ust-Orda_Buryat_Autonomous_Okrug.svg/1024px-Flag_of_Ust-Orda_Buryat_Autonomous_Okrug.svg.png

_eu,Kirkel,"Saarland, Germany",https://www.crwflags.com/FotW/images/d/de-sp-ki.gif
_eu,Paola,Malta,https://upload.wikimedia.org/wikipedia/en/5/54/Flag_of_Paola%2C_Malta.gif
_eu,Moskenes,"Nordland, Norway",https://www.crwflags.com/fotw/images/n/no-18-74.gif
_eu,Fusa,"Hordaland, Norway",https://www.crwflags.com/fotw/images/n/no-12-41.gif

_as,Ibaraki Prefecture,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Flag_of_Ibaraki_Prefecture.svg/1280px-Flag_of_Ibaraki_Prefecture.svg.png
_as,Naruto,"Tokushima, Japan",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Flag_of_Naruto%2C_Tokushima.svg/1280px-Flag_of_Naruto%2C_Tokushima.svg.png
_as,Noheji,"Aomori, Japan",https://www.crwflags.com/fotw/images/j/jp-02-nh.gif
_as,Omitama,"Ibaraki, Japan",https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Omitama_Ibaraki.JPG

_am,Ottawa,"Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_Ottawa%2C_Ontario.svg/1920px-Flag_of_Ottawa%2C_Ontario.svg.png
_am,Altos del Rosario,"Bolívar, Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Altos_del_Rosario_%28Bol%C3%ADvar%29.svg/1920px-Flag_of_Altos_del_Rosario_%28Bol%C3%ADvar%29.svg.png
_am,Apalachee Nation,"Florida, USA",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Apalachee_Nation_flag.svg/1920px-Apalachee_Nation_flag.svg.png
_am,Oro Valley,"Arizona, USA",https://www.crwflags.com/fotw/images/u/us-az-ov.gif
