group,name,description,image,size
_1,(Australian Antarctic),Australia*,,"5,896,500"
_1,1. Yakutia,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Sakha.svg/1024px-Flag_of_Sakha.svg.png,"3,083,523"
_1,(Queen Maud Land),Norway*,,"2,700,000"
_1,2. Western Australia,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_Western_Australia.svg/1024px-Flag_of_Western_Australia.svg.png,"2,645,615"
_1,3. Krasnoyarsk,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_Krasnoyarsk_Krai.svg/1024px-Flag_of_Krasnoyarsk_Krai.svg.png,"2,339,700"
_2,4. Greenland,Kingdom of Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Greenland.svg/1024px-Flag_of_Greenland.svg.png,"2,166,086"
_2,5. Nunavut,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Flag_of_Nunavut.svg/1024px-Flag_of_Nunavut.svg.png,"2,038,722"
_2,6. Queensland,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Queensland.svg/1024px-Flag_of_Queensland.svg.png,"1,851,856"
_2,7. Alaska,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/1024px-Flag_of_Alaska.svg.png,"1,717,854"
_2,(British Antarctic),United Kingdom*,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_the_British_Antarctic_Territory.svg/1024px-Flag_of_the_British_Antarctic_Territory.svg.png,"1,709,400"
_3,8. Xinjiang,China,,"1,664,897"
_3,9. Amazonas,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bandeira_do_Amazonas.svg/1024px-Bandeira_do_Amazonas.svg.png,"1,570,745"
_3,10. Quebec,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flag_of_Quebec.svg/1024px-Flag_of_Quebec.svg.png,"1,542,056"
_3,(Tierra del Fuego),Argentina*,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bandera_de_la_Provincia_de_Tierra_del_Fuego.svg/1024px-Bandera_de_la_Provincia_de_Tierra_del_Fuego.svg.png,"1,482,860"
_3,11. Northern Territory,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_the_Northern_Territory.svg/1024px-Flag_of_the_Northern_Territory.svg.png,"1,419,630"
