group,name,description,image
_a,Jainism,,https://upload.wikimedia.org/wikipedia/commons/5/56/In-jain.png
_a,Gilgit-Baltistan\nUnited Movement,"Kashmir, Pakistan",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_Gilgit-Baltistan_United_Movement.svg/1920px-Flag_of_Gilgit-Baltistan_United_Movement.svg.png
_a,Scindia Steam\nNavigation Company,"founded 1919, India",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Scindia_house_flag.svg/1024px-Scindia_house_flag.svg.png
_a,Hirosaki,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Hirosaki%2C_Aomori.svg/1920px-Flag_of_Hirosaki%2C_Aomori.svg.png

_r,Arrieta,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Arrieta_bandera.svg/1024px-Arrieta_bandera.svg.png
_r,Basque Nationalist Action,"banned political party, Spain",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Lauburu_flag_of_Eusko_Abertzale_Ekintza.svg/1280px-Lauburu_flag_of_Eusko_Abertzale_Ekintza.svg.png
_r,Romuva,Baltic paganism,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Romuva_flag.svg/1024px-Romuva_flag.svg.png
_r,Republic of Tule,"proclaimed 1925, Panama",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Kuna_Yala.svg/1024px-Flag_of_Kuna_Yala.svg.png

_b,Finnish Air Force,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Finland_Air_force_squadrons_without_squadron_emblem.svg/1280px-Flag_of_Finland_Air_force_squadrons_without_squadron_emblem.svg.png
_b,Utti Jaeger Regiment,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/UtJR_flag.gif/943px-UtJR_flag.gif
_b,Finnish Presidential Flag,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_President_of_Finland.svg/1024px-Flag_of_the_President_of_Finland.svg.png


