group,name,description,image

_c,Lebanon,cedar tree,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/1024px-Flag_of_Lebanon.svg.png
_c,British Indian Ocean Territory,palm tree,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg/1024px-Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg.png
_c,Cocos (Keeling) Islands,palm tree,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Cocos_%28Keeling%29_Islands.svg/1024px-Flag_of_the_Cocos_%28Keeling%29_Islands.svg.png
_c,Norfolk Island,Norfolk Island pine,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Norfolk_Island.svg/1024px-Flag_of_Norfolk_Island.svg.png

_c2,Belize,mahogany tree,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/1920px-Flag_of_Belize.svg.png
_c2,Equatorial Guinea,silk cotton tree,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/1024px-Flag_of_Equatorial_Guinea.svg.png
_c2,Fiji,coconut palm,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/1920px-Flag_of_Fiji.svg.png
_c2,Haiti,royal palm,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/1920px-Flag_of_Haiti.svg.png

_e,"Berkshire, England",oak tree,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Flag_of_Berkshire.svg/1024px-Flag_of_Berkshire.svg.png
_e,"Oxfordshire, England",oak tree,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Flag_of_Oxfordshire.svg/1024px-Flag_of_Oxfordshire.svg.png
_e,"Westmorland, England",apple tree,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Flag_of_Westmorland.svg/1024px-Flag_of_Westmorland.svg.png
_e,"Żebbuġ, Malta",olive tree,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_%C5%BBebbu%C4%A1%2C_Gozo.svg/1024px-Flag_of_%C5%BBebbu%C4%A1%2C_Gozo.svg.png

_e3,"Hagen, Germany",oak tree,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flagge_der_Stadt_Hagen.svg/1024px-Flagge_der_Stadt_Hagen.svg.png
_e3,"Offenbach am Main, Germany",oak tree,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Flagge_Offenbach_am_Main.svg/1920px-Flagge_Offenbach_am_Main.svg.png
_e3,"Waalwijk, Netherlands",oak tree,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Waalwijk_vlag.svg/1280px-Waalwijk_vlag.svg.png
_e3,"'s Hertogenbosch, Netherlands",'forest tree',https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_%27s-Hertogenbosch.svg/1280px-Flag_of_%27s-Hertogenbosch.svg.png

_e2,"Chuvashia, Russia","Tree of Life, oak tree?",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Chuvashia.svg/1920px-Flag_of_Chuvashia.svg.png
_e2,"Lipetsk Oblast, Russia",lime tree,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Lipetsk_Oblast.svg/1024px-Flag_of_Lipetsk_Oblast.svg.png
_e2,"Avinurme, Estonia",pine trees,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Avinurme_valla_lipp.svg/1024px-Avinurme_valla_lipp.svg.png
_e2,"Lindas, Norway",linden tree,https://www.crwflags.com/fotw/images/n/no-12-63.gif

_f,"Vosges, France",pine trees,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Vosges.svg/1280px-Vosges.svg.png
_f,"Alcoletge, Spain",elm tree,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Bandera_d%27Alcoletge.svg/1024px-Bandera_d%27Alcoletge.svg.png
_f,"Tripolitanian Republic","1918-22, palm tree",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Flag_of_the_Tripolitanian_Republic.svg/1024px-Flag_of_the_Tripolitanian_Republic.svg.png
_f,"Oromiya, Ethiopia",sycamore,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_the_Oromia_Region.svg/800px-Flag_of_the_Oromia_Region.svg.png

