colours,name,description,flag
RWR,"Austria",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/1024px-Flag_of_Austria.svg.png
RWG,"Hungary",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/1024px-Flag_of_Hungary.svg.png
RWB,"Netherlands",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/1024px-Flag_of_the_Netherlands.svg.png
RWK,"Libya (1969-72)",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Libya_%281969%E2%80%931972%29.svg/1024px-Flag_of_Libya_%281969%E2%80%931972%29.svg.png
RWY,"Świebodzin","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/POL_%C5%9Awiebodzin_flag.svg/1024px-POL_%C5%9Awiebodzin_flag.svg.png
GWR,"North Rhine-Westphalia","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_North_Rhine-Westphalia.svg/1024px-Flag_of_North_Rhine-Westphalia.svg.png
GWG,"Rotterdam","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Rotterdam.svg/1024px-Flag_of_Rotterdam.svg.png
GWB,"Sierra Leone",,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/1024px-Flag_of_Sierra_Leone.svg.png
GWK,"Hereroland (1968-89)","South West Africa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Flag_of_Hereroland.svg/1024px-Flag_of_Hereroland.svg.png
GWY,"Armenia","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Armenia%2C_Colombia.svg/1024px-Flag_of_Armenia%2C_Colombia.svg.png
BWR,"Mannheim","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Mannheim-Flagge.svg/1024px-Mannheim-Flagge.svg.png
BWG,"Córdoba","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_C%C3%B3rdoba.svg/1024px-Flag_of_C%C3%B3rdoba.svg.png
BWB,"Tienen","Belgium",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_Tienen.svg/1024px-Flag_of_Tienen.svg.png
BWK,"Saar Mandate (1920-35)",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Flag_of_Saar_1920-1935.svg/1024px-Flag_of_Saar_1920-1935.svg.png
BWY,"Zgorzelec","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/POL_Zgorzelec_flag.svg/1024px-POL_Zgorzelec_flag.svg.png
KWR,"Germany (1871-1918)",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_the_German_Empire.svg/1024px-Flag_of_the_German_Empire.svg.png
KWG,"Gelsenkirchen","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flagge_der_kreisfreien_Stadt_Gelsenkirchen.svg/1024px-Flagge_der_kreisfreien_Stadt_Gelsenkirchen.svg.png
KWB,"Neutral Moresnet (1816-1920)",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_Moresnet.svg/1024px-Flag_of_Moresnet.svg.png
KWK,"West Prussia (1886-1920)","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flagge_Preu%C3%9Fen_-_Provinz_Westpreu%C3%9Fen.svg/1024px-Flagge_Preu%C3%9Fen_-_Provinz_Westpreu%C3%9Fen.svg.png
KWY,"Waslala","Nicaragua",https://fotw.info/images/n/ni-zn-06.gif
YWR,"Nová Říše","Czech Republic",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Nova_Rise.svg/1024px-Flag_of_Nova_Rise.svg.png
YWG,"San Ramón","Nicaragua",https://fotw.info/images/n/ni-mt-10.gif
YWB,"Prince's Flag","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Prinsenvlag.svg/1024px-Prinsenvlag.svg.png
YWK,"Cabinda","Angola",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Flag_of_Cabinda_Province.svg/1024px-Flag_of_Cabinda_Province.svg.png
YWY,"Alianza","Honduras",https://fotw.info/images/h/hn-va-01.gif

GRG,"Garriguella","Spain",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Garriguella.svg/1024px-Flag_of_Garriguella.svg.png
GRB,"Ancuya","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Ancuya_%28Nari%C3%B1o%29.svg/1024px-Flag_of_Ancuya_%28Nari%C3%B1o%29.svg.png
GRW,"Heligoland","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_Helgoland.svg/1024px-Flag_of_Helgoland.svg.png
GRK,"Rucphen*","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rucphen.svg/1024px-Flag_of_Rucphen.svg.png
GRY,"Żarów","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/POL_%C5%BBar%C3%B3w_flag.svg/1024px-POL_%C5%BBar%C3%B3w_flag.svg.png
BRG,"Hellevoetsluis","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Hellevoetsluis.svg/1024px-Flag_of_Hellevoetsluis.svg.png
BRB,"Prague 6","Czech Republic",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Flag_of_Prague_6.svg/1024px-Flag_of_Prague_6.svg.png
BRW,"Sorbian people","Lusatia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Sorbs.svg/1024px-Flag_of_Sorbs.svg.png
BRK,"Carbonari society (early 1800s)","Italy",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Carbonari.svg/1024px-Carbonari.svg.png
BRY,"Galicia and Lodomeria (1849-90)","Austrian Empire",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Galicia_and_Lodomeria_%281849-1890%29.svg/1024px-Flag_of_Galicia_and_Lodomeria_%281849-1890%29.svg.png
