group,name,description,image
_europe,Isle of Man,British Crown dependency,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_the_Isle_of_Mann.svg/1024px-Flag_of_the_Isle_of_Mann.svg.png
_europe,Sicily,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Sicilian_Flag.svg/1024px-Sicilian_Flag.svg.png
_europe,Füssen,"Bavaria, Germany",https://www.crwflags.com/fotw/images/d/de-ou-fs.gif
_europe,Süderbrarup,Germany,https://i.ibb.co/CHQQszn/sl-suderbrarup.jpg
_russia,Opočno,Czech Republic,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Flag_of_Opo%C4%8Dno_%28okres_Louny%29.svg/1280px-Flag_of_Opo%C4%8Dno_%28okres_Louny%29.svg.png
_russia,Ingushetia,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Ingushetia.svg/1024px-Flag_of_Ingushetia.svg.png
_russia,Ust-Orda Buryat Okrug,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Ust-Orda_Buryat_Autonomous_Okrug.svg/1024px-Flag_of_Ust-Orda_Buryat_Autonomous_Okrug.svg.png
_russia,Balezinsky District,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Balezino_Region_%28Udmurtia%29.svg/1024px-Flag_of_Balezino_Region_%28Udmurtia%29.svg.png
_other,Republic of Anguilla,(1967-69),https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Anguilla_%281967-1969%29.svg/1280px-Flag_of_Anguilla_%281967-1969%29.svg.png
_other,Ryuku Kingdom,(1466-1876),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Ryukyu.svg/1024px-Flag_of_Ryukyu.svg.png
_other,Jeju Province,South Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_Jeju_%281969%E2%80%932009%29.svg/1024px-Flag_of_Jeju_%281969%E2%80%932009%29.svg.png
_other,BDSM rights,pride flag,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/BDSM-rights-flag-Tanos.svg/1920px-BDSM-rights-flag-Tanos.svg.png
