group,name,description,image
_1,Baltimore,Maryland,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Baltimore%2C_Maryland.svg/1024px-Flag_of_Baltimore%2C_Maryland.svg.png
_1,Buffalo,New York,https://qph.fs.quoracdn.net/main-qimg-633b8efbfc178578e32017c3208633ad
_1,Chicago,Illinois,https://qph.fs.quoracdn.net/main-qimg-be7318bfcb4ee4414f939bb6e3905cf0
_1,Cincinnati,Ohio,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Cincinnati%2C_Ohio.svg/1024px-Flag_of_Cincinnati%2C_Ohio.svg.png
_2,Denver,Colorado,https://qph.fs.quoracdn.net/main-qimg-a756326e74453ab630fd27792cf52c66
_2,Des Moines,Iowa,https://qph.fs.quoracdn.net/main-qimg-a04f53fb118534b1837488dc10d1af13
_2,Indianopolis,Indiana,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Indianapolis.svg/1024px-Flag_of_Indianapolis.svg.png
_2,Mesa,Arizona,https://qph.fs.quoracdn.net/main-qimg-35694917d96780d6c617803dfc0f71a4
_3,New Orelans,Louisiana,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_New_Orleans%2C_Louisiana.svg/1024px-Flag_of_New_Orleans%2C_Louisiana.svg.png
_3,Orlando,Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Orlando%2C_Florida.svg/1024px-Flag_of_Orlando%2C_Florida.svg.png
_3,Phoenix,Arizona,https://qph.fs.quoracdn.net/main-qimg-fa0e74edc34b64402576cde5bee96868
_3,Portland,Oregon,https://qph.fs.quoracdn.net/main-qimg-12189bf76df21512191325dc80fb6e8f
_4,Saint Louis,Missouri,https://qph.fs.quoracdn.net/main-qimg-c4e641460961a24075c2e593fa05c47a
_4,Tulsa,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_Tulsa%2C_Oklahoma_%282018%29.svg/1024px-Flag_of_Tulsa%2C_Oklahoma_%282018%29.svg.png
_4,Wichita,Kansas,https://qph.fs.quoracdn.net/main-qimg-25b1b9d09258499f6e737ce63a40d624
_4,Washington,District of Columbia,https://qph.fs.quoracdn.net/main-qimg-35d0ad402c06c0e8fa7293930075451a
