group,name,description,image
national flags,Mozambique,AK47,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/1024px-Flag_of_Mozambique.svg.png
national flags,Guatemala,rifles,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/1024px-Flag_of_Guatemala.svg.png
national flags,Angola,machete,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/1024px-Flag_of_Angola.svg.png
_national flags,Saudi Arabia,sword,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/1024px-Flag_of_Saudi_Arabia.svg.png
_national flags,Eswatini,spears,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_Swaziland.svg/1024px-Flag_of_Swaziland.svg.png
_national flags,Barbados,trident,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/1024px-Flag_of_Barbados.svg.png
regional flags,Amazonas Department,Colombia; bow & arrow,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Amazonas_%28Colombia%29.svg/1024px-Flag_of_Amazonas_%28Colombia%29.svg.png
regional flags,Lapland,Finland; club,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Lapland.svg/1024px-Flag_of_Lapland.svg.png
regional flags,Essex,England; seaxes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Essex.svg/1024px-Flag_of_Essex.svg.png
_regional flags,Yaroslavl Oblast,Russia; halberd,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Yaroslavl_Oblast.svg/1024px-Flag_of_Yaroslavl_Oblast.svg.png
_regional flags,Kamensk-Uralsky,Russia; cannon,https://files.voenpro.ru/products/flag-kamenska-uralskogo-sverdlovskoj-oblasti.655x459.jpg
_regional flags,Kiev,Ukraine; flaming sword,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Kyiv_Kurovskyi.svg/1024px-Flag_of_Kyiv_Kurovskyi.svg.png
historical flags,Banganapalle State,India; zulfiqar,https://upload.wikimedia.org/wikipedia/commons/b/b9/Drapeau_Banganapalle.png
historical flags,Barwani State,India; dagger,https://upload.wikimedia.org/wikipedia/commons/e/e5/Drapeau_Barwani.png
historical flags,Itsekiri flag,Benin Empire; sword,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_the_Benin_Empire.svg/1024px-Flag_of_the_Benin_Empire.svg.png
