group,name,description,image
_Caucasus,Mountainous Republic of\nthe Northern Caucasus,1917-1921,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_the_Mountain_Republic.svg/1024px-Flag_of_the_Mountain_Republic.svg.png
_Caucasus,Transcaucasian Democratic\nFederative Republic,1918,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_the_Transcaucasian_Federation.svg/1024px-Flag_of_the_Transcaucasian_Federation.svg.png
_Caucasus,Kuban\nPeople's Republic,1918-1920,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Kuban_People%27s_Republic.svg/1024px-Flag_of_Kuban_People%27s_Republic.svg.png
_Caucasus,Idel-Ural State,1918,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Idel-Ural_State.svg/1024px-Flag_of_Idel-Ural_State.svg.png
_White,Crimean\nPeople's Republic,1917-1918,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_the_Crimean_Republic.svg/1024px-Flag_of_the_Crimean_Republic.svg.png
_White,Belarusian\nPeople's Republic,1918-1919,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Belarus_%281918%2C_1991%E2%80%931995%29.svg/1024px-Flag_of_Belarus_%281918%2C_1991%E2%80%931995%29.svg.png
_White,Moldavian\nDemocratic Republic,1917-1918,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_the_Moldavian_Democratic_Republic.svg/1024px-Flag_of_the_Moldavian_Democratic_Republic.svg.png
_White,Don Republic,1918-1920,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Don_Cossacks.svg/1024px-Flag_of_Don_Cossacks.svg.png
_Soviets,Russian Soviet Feder-\native Socialist Republic,1917-1922,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_the_Russian_Soviet_Federative_Socialist_Republic_%281918%E2%80%931937%29.svg/1024px-Flag_of_the_Russian_Soviet_Federative_Socialist_Republic_%281918%E2%80%931937%29.svg.png
_Soviets,Ukranian People's\nRepublic of Soviets,1917-1918,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_Ukrainian_People%27s_Republic_of_the_Soviets.svg/1024px-Flag_of_Ukrainian_People%27s_Republic_of_the_Soviets.svg.png
_Soviets,Alsace Soviet Republic,1918,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Republic_of_Alsace-Lorraine.svg/1024px-Flag_of_the_Republic_of_Alsace-Lorraine.svg.png
_Soviets,Hungarian\nSoviet Republic,1919,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Hungary_%281919%29.svg/1024px-Flag_of_Hungary_%281919%29.svg.png
_Black,Soviet Republic\nof Naissar,1917-1918,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Petropavlovsk-Krondstadt_flag.svg/1024px-Petropavlovsk-Krondstadt_flag.svg.png
_Black,Makhnovia\n(Free Territory),1918-1921,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/%D0%9C%D0%B0%D1%85%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B7%D0%BD%D0%B0%D0%BC%D1%8F.svg/1024px-%D0%9C%D0%B0%D1%85%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B5_%D0%B7%D0%BD%D0%B0%D0%BC%D1%8F.svg.png
_Black,Free State\nBottleneck,1919-1923,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_the_Free_State_of_Bottleneck.png
_Black,Albona Republic,1921,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Flag_of_Albona_Republic.svg/1047px-Flag_of_Albona_Republic.svg.png
_West,Lemko-Rusyn\nPeople's Republic,1918-1920,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/%D0%9F%D1%80%D0%B0%D0%BF%D0%BE%D1%80_%D0%9B%D0%B5%D0%BC%D0%BA%D0%BE-%D0%A0%D1%83%D1%81%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B8.svg/1024px-%D0%9F%D1%80%D0%B0%D0%BF%D0%BE%D1%80_%D0%9B%D0%B5%D0%BC%D0%BA%D0%BE-%D0%A0%D1%83%D1%81%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B8.svg.png
_West,Italian Regency\nof Carnaro,1919-1920,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Reggenza_Italiana_del_Carnaro.png/498px-Reggenza_Italiana_del_Carnaro.png
_West,Free State of Fiume,1920-1924,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_the_Free_State_of_Fiume.svg/1024px-Flag_of_the_Free_State_of_Fiume.svg.png
_West,Memel Territory,1920-1923,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Memelland.png

