group,name,description,image

_a,Holy Roman Empire,c.1430-1806,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Banner_of_the_Holy_Roman_Emperor_%28after_1400%29.svg/1920px-Banner_of_the_Holy_Roman_Emperor_%28after_1400%29.svg.png
_a,Electoral Palatinate,"?-1803, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Banner_of_the_Palatinate.svg/1920px-Banner_of_the_Palatinate.svg.png
_a,Flanders,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_Flanders.svg/1920px-Flag_of_Flanders.svg.png
_a,Pomeranian Voivodeship,Poland,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/POL_wojew%C3%B3dztwo_pomorskie_flag.svg/1920px-POL_wojew%C3%B3dztwo_pomorskie_flag.svg.png
_a,Yaroslavl Oblast,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Yaroslavl_Oblast.svg/1920px-Flag_of_Yaroslavl_Oblast.svg.png
_a,Uri,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Canton_of_Uri.svg/1024px-Flag_of_Canton_of_Uri.svg.png

_a2,Sultanate of Gowa,?-1945,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_the_Sultanate_of_Gowa.svg/1920px-Flag_of_the_Sultanate_of_Gowa.svg.png
_a2,Brabant,"1830-1995, Belgium",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Brabant.svg/1280px-Brabant.svg.png
_a2,Evergem,Belgium,https://upload.wikimedia.org/wikipedia/commons/a/aa/Evergemvlag.gif
_a2,Meulebeke,Belgium,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Meulebeke_vlag.svg/1280px-Meulebeke_vlag.svg.png
_a2,Loppa,Norway,https://www.fotw.info/images/n/no-20-14.gif
_a2,Schaffhausen,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_Canton_of_Schaffhausen.svg/1022px-Flag_of_Canton_of_Schaffhausen.svg.png

_b,Habsburg Monarchy,1806-1918,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Habsburg_Monarchy.svg/1920px-Flag_of_the_Habsburg_Monarchy.svg.png
_b,Baden-Württemberg,"state flag, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Baden-W%C3%BCrttemberg_%28state%2C_lesser_arms%29.svg/1920px-Flag_of_Baden-W%C3%BCrttemberg_%28state%2C_lesser_arms%29.svg.png
_b,Dresden,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Dresden.svg/1024px-Flag_of_Dresden.svg.png
