group,name,description,image

_c,Vatican City,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/1024px-Flag_of_the_Vatican_City.svg.png
_c,Kingdom of Jerusalem,"1099-1187, 1192-1291",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Vexillum_Regni_Hierosolymae.svg/1024px-Vexillum_Regni_Hierosolymae.svg.png
_c,France,"1365–1792, 1815–1830",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Pavillon_royal_de_France.svg/1280px-Pavillon_royal_de_France.svg.png
_c,Kingdom of Hanover,1814-1866,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Hanover_1837-1866.svg/1024px-Flag_of_Hanover_1837-1866.svg.png

_c2,Mamluk Sultanate,1250-1517,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Mameluke_Flag.svg/1280px-Mameluke_Flag.svg.png
_c2,Banten Sultanate,1527-1813,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_the_Sultanate_of_Banten.svg/1280px-Flag_of_the_Sultanate_of_Banten.svg.png
_c2,Kooki Kingdom,1740-1896,https://www.crwflags.com/fotw/images/u/ug_kooki3.gif
_c2,Faridkot State,1803-1947,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Faridkot_flag.svg/1280px-Faridkot_flag.svg.png

_g,Lower Silesia,"Germany, 1920-35",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_Silesia_and_Lower_Silesia_%28with_eagle%29.png/1280px-Flag_of_Silesia_and_Lower_Silesia_%28with_eagle%29.png
_g,Vukovar-Syrmia County,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Vukovar-Syrmia_County.svg/1920px-Flag_of_Vukovar-Syrmia_County.svg.png
_g,Retuerta del Bullaque,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Bandera_de_Retuerta_del_Bullaque_%28Ciudad_Real%29.svg/1024px-Bandera_de_Retuerta_del_Bullaque_%28Ciudad_Real%29.svg.png
_g,Rebollar,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Bandera_de_Rebollar_%28C%C3%A1ceres%29.svg/1024px-Bandera_de_Rebollar_%28C%C3%A1ceres%29.svg.png

_j,Nord-Trøndelag,Norway,https://www.crwflags.com/fotw/images/n/no-17-v.gif
_j,Stavropol Krai,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Stavropol_Krai.svg/1280px-Flag_of_Stavropol_Krai.svg.png
_j,Inba,Japan,https://www.crwflags.com/fotw/images/j/jp-12-ib.gif
_j,Namdrik Atoll,Marshall Islands,https://www.fotw.info/images/m/mh-nmat.gif

_a,Gaspar,Brazil,https://www.crwflags.com/fotw/images/b/br-sc-gs.gif
_a,Porto Real do Colégio,Brazil,https://www.crwflags.com/fotw/images/b/br-al-081.gif
_a,Corredores,Costa Rica,https://www.crwflags.com/fotw/images/c/cr-p-04.gif
_a,Comayagua,Honduras,https://www.crwflags.com/fotw/images/h/hn-cm-cm.gif

_a2,Capitán Sarmiento Partido,Argentina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Bandera_del_partido_de_Capit%C3%A1n_Sarmiento.svg/1920px-Bandera_del_partido_de_Capit%C3%A1n_Sarmiento.svg.png
_a2,Nunavut,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Flag_of_Nunavut.svg/1920px-Flag_of_Nunavut.svg.png
_a2,Anchorage,Alaska,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Anchorage%2C_Alaska.svg/1280px-Flag_of_Anchorage%2C_Alaska.svg.png
_a2,San Francisco,California,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_San_Francisco.svg/1024px-Flag_of_San_Francisco.svg.png
