year,country,food,image
1940,Mexico,nachos,https://images.ctfassets.net/vmuke7sdou62/63w8odYB6FJUYKktIQFC9I/10f7a953789ca12bf47c7315582879ad/image_-_2022-06-02T165731.828.jpeg
1940s,UK,apple crumble,https://i0.wp.com/thetwincookingproject.net/wp-content/uploads/2020/04/Small-batch-apple-crumble-for-two-16-scaled.jpg?fit=1707%2C2560&ssl=1
1944,Italy,spaghetti carbonara,https://www.insidetherustickitchen.com/wp-content/uploads/2020/03/Spaghetti-alla-Carbonara-square-Inside-the-Rustic-Kitchen.jpg
1949,Germany,currywurst,https://cdn.theculturetrip.com/wp-content/uploads/2017/02/currywurst-264630_1280.jpg
1950s,India,butter chicken,https://cafedelites.com/wp-content/uploads/2019/01/Butter-Chicken-IMAGE-27.jpg
1951,Taiwan,Mongolian barbecue,https://americangriddle.com/wp-content/uploads/2019/02/iStock-537871838.jpg
1955,Bulgaria,Shopska salad,https://diethood.com/wp-content/uploads/2015/07/Shopska-Salad-Macedonian-Chopped-Salad-500x500.jpg
1950s,Canada,poutine,https://www.kitchensanctuary.com/wp-content/uploads/2019/07/Poutine-square-FS-7606.jpg
1962,Canada,Hawaiian pizza,https://www.jessicagavin.com/wp-content/uploads/2020/07/hawaiian-pizza-16-1200.jpg
1963,Italy,carpaccio,https://images.squarespace-cdn.com/content/v1/50106d5684aed4702b7242ed/1588532006009-AZQW78AXAIM2UQG34XMZ/image-asset.jpeg?format=1000w
1964,USA,Buffalo wings,"https://reviewed-com-res.cloudinary.com/image/fetch/s--wSWXQZWM--/b_white,c_limit,cs_srgb,f_auto,fl_progressive.strip_profile,g_center,q_auto,w_972/https://reviewed-production.s3.amazonaws.com/1454617347000/buffalo-wings-hero.jpg"
1960s,Germany,Doner kebab sandwich,http://cdn.shopify.com/s/files/1/0387/3243/1500/articles/Doner-kebab-1920x1080.jpg?v=1607534562
1960s,Italy,tiramisu,https://recipetineats.com/wp-content/uploads/2016/03/Tiramisu_5.jpg
1960s,UK,sticky toffee pudding,https://celebratingsweets.com/wp-content/uploads/2020/10/Sticky-Toffee-Pudding-1-4.jpg
1960s,USA,uramaki,https://img.cybercook.com.br/receitas/297/uramaki-1-840x480.jpeg?q=75
1971,UK,banoffee pie,https://www.amummytoo.co.uk/wp-content/uploads/2022/04/classic-banoffee-pie-SQUARE.jpg
1970s,UK,chicken tikka masala,https://cafedelites.com/wp-content/uploads/2018/04/Best-Chicken-Tikka-Masala-IMAGE-2.jpg
1970s,USA,General Tso's chicken,https://www.recipetineats.com/wp-content/uploads/2020/10/General-Tsao-Chicken_1-SQ.jpg
1975,Canada,pasta primavera,https://www.cookingclassy.com/wp-content/uploads/2018/09/pasta-primavera-2.jpg
1980s,France,tartiflette,https://realfood.tesco.com/media/images/Tartiflette-HERO-e03cb151-c28e-4a31-b1c0-5d3d073e21a5-0-472x310.jpg
1981,France,chocolate lava cake,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLxF668Qw4QHmETBV_Pt_u-i9cpPMgSlV7HA&usqp=CAU
1982,Italy,ciabatta,https://homegrownhappiness.co.nz/wp-content/uploads/2021/02/sourdough-starter-recipes-scaled-e1614224921892.jpg
1980s,Taiwan,bubble tea,http://cdn.shopify.com/s/files/1/0533/6743/9558/articles/feature_Bubble-Tea_5e4a2d6d-3c1d-4aec-a772-9079c09dcb09.jpg?v=1659710571
1980s,Norway,salmon sushi,https://i.pinimg.com/originals/ad/53/0f/ad530f9e0f23f1b03bfaaa14b85e9e79.jpg
